client,n_query,none,oracle,delta,logit_abs_diff_mean,logit_abs_diff_max
0,178,32.022473216056824,32.022473216056824,0.0,0.00010457456664880738,0.0029816627502441406
1,99,14.141413569450378,14.141413569450378,0.0,0.00012846101890318096,0.0015308856964111328
2,140,1.4285714365541935,1.4285714365541935,0.0,0.00010205632861470804,0.001512289047241211
3,216,14.351852238178253,14.351852238178253,0.0,0.00014014246698934585,0.0028023123741149902
4,105,7.619047909975052,7.619047909975052,0.0,0.00012087631330359727,0.0012951642274856567
5,158,30.379748344421387,30.379748344421387,0.0,0.00010667422611732036,0.0010325908660888672
6,261,47.89271950721741,47.89271950721741,0.0,0.00013498043699655682,0.002170383930206299
7,197,20.812182128429413,20.812182128429413,0.0,0.00010804050543811172,0.0010905265808105469
8,193,19.170984625816345,19.170984625816345,0.0,0.00013936834875494242,0.0025225579738616943
9,176,23.295454680919647,23.295454680919647,0.0,8.93823234946467e-05,0.0007915496826171875
10,282,14.184397459030151,14.184397459030151,0.0,0.00012911204248666763,0.002804189920425415
11,180,65.00000357627869,65.00000357627869,0.0,0.00010461483179824427,0.00125885009765625
12,164,21.95121943950653,21.95121943950653,0.0,0.00011199538130313158,0.0016536712646484375
13,80,58.75000357627869,58.75000357627869,0.0,0.00012386437447275966,0.0012884140014648438
14,71,57.7464759349823,57.7464759349823,0.0,0.00010035109880845994,0.0006265640258789062
15,236,0.0,0.0,0.0,0.00012071087257936597,0.002373218536376953
16,21,66.66666865348816,66.66666865348816,0.0,9.041249722940847e-05,0.0011238455772399902
17,87,65.51724076271057,65.51724076271057,0.0,0.0001115209233830683,0.0008974075317382812
18,10,10.000000149011612,10.000000149011612,0.0,0.00019731115025933832,0.001432180404663086
19,91,45.0549453496933,45.0549453496933,0.0,0.00010717562690842897,0.0015041828155517578
20,152,78.28947305679321,78.28947305679321,0.0,0.00011804069072240964,0.0016800165176391602
21,242,0.0,0.0,0.0,0.00011501175322337076,0.0007071495056152344
22,175,65.71428775787354,65.71428775787354,0.0,0.00011924612044822425,0.002680063247680664
23,140,38.57142925262451,38.57142925262451,0.0,0.00011052688205381855,0.0017517507076263428
24,179,3.3519551157951355,3.3519551157951355,0.0,8.731360867386684e-05,0.0009649991989135742
25,36,38.88888955116272,38.88888955116272,0.0,0.0001469402341172099,0.002158641815185547
26,284,75.70422291755676,75.70422291755676,0.0,0.00012680518557317555,0.001654118299484253
27,195,82.56410360336304,82.56410360336304,0.0,9.772884368430823e-05,0.0022423267364501953
28,26,23.076924681663513,23.076924681663513,0.0,0.00010076209582621232,0.00048610568046569824
29,382,75.91623067855835,75.91623067855835,0.0,8.012515172595158e-05,0.0010466575622558594
30,275,29.454544186592102,29.454544186592102,0.0,0.00013245792069938034,0.0024526119232177734
31,202,62.871283292770386,62.871283292770386,0.0,0.00011909314343938604,0.0019690990447998047
32,198,29.797980189323425,29.797980189323425,0.0,0.00013373215915635228,0.001676023006439209
33,264,20.454546809196472,20.454546809196472,0.0,0.00010424930951558053,0.0026090145111083984
34,102,23.52941334247589,23.52941334247589,0.0,0.00011807679402409121,0.0013661980628967285
35,175,70.28571367263794,70.28571367263794,0.0,0.00011535910016391426,0.0029758214950561523
36,18,16.66666716337204,16.66666716337204,0.0,0.00010950571595458314,0.0006296634674072266
37,80,26.250001788139343,26.250001788139343,0.0,0.00019360042642802,0.00515437126159668
38,25,68.00000071525574,68.00000071525574,0.0,9.605342347640544e-05,0.0003719702363014221
39,160,51.249998807907104,51.249998807907104,0.0,0.0001174498102045618,0.0023956298828125
40,250,0.800000037997961,0.800000037997961,0.0,0.00010354645201005042,0.0018157958984375
41,100,9.999999403953552,9.999999403953552,0.0,9.60434990702197e-05,0.001192331314086914
42,320,56.25,56.25,0.0,0.00012178207543911412,0.004776477813720703
43,198,7.070706784725189,7.070706784725189,0.0,0.000134788773721084,0.003630399703979492
44,74,22.972974181175232,22.972974181175232,0.0,0.00011900989920832217,0.0016083717346191406
45,13,46.153849363327026,46.153849363327026,0.0,0.00013024800864513963,0.001124262809753418
46,79,15.189874172210693,15.189874172210693,0.0,0.00010494837624719366,0.0007929801940917969
47,32,62.5,62.5,0.0,0.00011033970076823607,0.0005078315734863281
48,161,1.8633540719747543,1.8633540719747543,0.0,0.00014029568410478532,0.00125885009765625
49,202,22.27722704410553,22.27722704410553,0.0,0.00010217420640401542,0.0008102655410766602
50,121,39.66941833496094,39.66941833496094,0.0,0.00011876298231072724,0.0018042325973510742
51,12,0.0,0.0,0.0,0.00011919799726456404,0.0008646249771118164
52,24,45.83333432674408,45.83333432674408,0.0,0.00014276579895522445,0.001776188611984253
53,121,27.272725105285645,27.272725105285645,0.0,9.322175901615992e-05,0.0007500648498535156
54,237,30.379745364189148,30.379745364189148,0.0,9.678811329649761e-05,0.0009484291076660156
55,210,70.47619223594666,70.47619223594666,0.0,0.00010079278581542894,0.0012211799621582031
56,118,16.101695597171783,16.101695597171783,0.0,0.0001322491589235142,0.003123760223388672
57,117,42.73504614830017,42.73504614830017,0.0,0.0001562159159220755,0.0031795501708984375
