client,context,offset,n_support,n_query,same_label_fraction
0,low_semantic_derangement,11,64,178,0.515625
0,high_semantic_derangement,9,64,178,0.671875
0,random_derangement_0,3,64,178,0.578125
0,random_derangement_1,12,64,178,0.625
0,random_derangement_2,39,64,178,0.546875
0,random_derangement_3,11,64,178,0.515625
0,random_derangement_4,57,64,178,0.578125
0,random_derangement_5,46,64,178,0.59375
0,random_derangement_6,10,64,178,0.625
0,random_derangement_7,27,64,178,0.640625
0,correct_pair,0,64,178,1.0
0,t005_original,49,64,178,0.609375
1,low_semantic_derangement,1,64,99,0.8125
1,high_semantic_derangement,11,64,99,0.859375
1,random_derangement_0,36,64,99,0.828125
1,random_derangement_1,32,64,99,0.8125
1,random_derangement_2,3,64,99,0.8125
1,random_derangement_3,10,64,99,0.8125
1,random_derangement_4,40,64,99,0.828125
1,random_derangement_5,44,64,99,0.84375
1,random_derangement_6,39,64,99,0.828125
1,random_derangement_7,37,64,99,0.8125
1,correct_pair,0,64,99,1.0
1,t005_original,28,64,99,0.828125
