condition,class,n_query,correct,accuracy
none,0,1516,281,18.535620052770447
none,1,1495,1156,77.32441471571906
none,2,1509,760,50.36447978793903
none,3,1482,189,12.753036437246964
none,4,1492,1,0.06702412868632708
none,5,1500,273,18.2
none,6,1527,1202,78.71643745907008
none,7,1508,227,15.053050397877984
none,8,1502,1057,70.3728362183755
none,9,1508,0,0.0
A,0,1516,281,18.535620052770447
A,1,1495,1156,77.32441471571906
A,2,1509,760,50.36447978793903
A,3,1482,189,12.753036437246964
A,4,1492,1,0.06702412868632708
A,5,1500,273,18.2
A,6,1527,1202,78.71643745907008
A,7,1508,227,15.053050397877984
A,8,1502,1057,70.3728362183755
A,9,1508,0,0.0
B,0,1516,281,18.535620052770447
B,1,1495,1156,77.32441471571906
B,2,1509,760,50.36447978793903
B,3,1482,189,12.753036437246964
B,4,1492,1,0.06702412868632708
B,5,1500,273,18.2
B,6,1527,1202,78.71643745907008
B,7,1508,227,15.053050397877984
B,8,1502,1057,70.3728362183755
B,9,1508,0,0.0
