pool,target,context,macro_class,sample_weighted,macro_client
A,brightness_dark,none,17.546026454211063,17.64080058514529,18.259971715975553
A,brightness_dark,clean_identity,17.546026454211063,17.64080058514529,18.259971715975553
A,brightness_dark,correct_pair,32.29653570328799,32.36252410399628,31.268559074494988
A,brightness_dark,same_class_derangement,14.528762881008678,14.528891548640201,13.453533583786339
A,brightness_dark,cross_class_derangement,18.710409433883946,18.75124675842809,17.480450639035553
A,brightness_dark,wrong_alt_source,14.903865455386008,14.981049271893077,15.88149869767949
A,brightness_dark,noise_source,12.884809315788658,12.86654697785757,13.23213202971965
A,contrast_low,none,19.95526398771052,20.08777179333732,20.05806868383661
A,contrast_low,clean_identity,19.95526398771052,20.08777179333732,20.05806868383661
A,contrast_low,correct_pair,28.56147342050601,28.63887226544318,27.36103107407689
A,contrast_low,same_class_derangement,14.460474540861444,14.469047144092027,13.226094915065914
A,contrast_low,cross_class_derangement,18.925132317501017,18.977325620054526,17.439575750380754
A,contrast_low,wrong_alt_source,22.733171407184606,22.85391315911962,21.93080638581887
A,contrast_low,noise_source,10.145171335421141,10.08710685550901,9.204582379199564
A,gaussian_noise,none,30.67664385146025,30.746725181195558,29.499900958500803
A,gaussian_noise,clean_identity,30.67664385146025,30.746725181195558,29.499900958500803
A,gaussian_noise,correct_pair,32.49955759017932,32.575304209056455,31.38728214194998
A,gaussian_noise,same_class_derangement,12.953750152962328,12.933040760688876,11.980833023320884
A,gaussian_noise,cross_class_derangement,16.952166320627505,16.962564000265974,15.783704354893416
A,gaussian_noise,wrong_alt_source,30.382434469751427,30.414256267039033,29.596547878813
A,gaussian_noise,noise_source,10.33691718141541,10.279938825719794,9.395586480386555
A,gaussian_blur,none,30.901579176174373,30.992752177671388,30.511363789904863
A,gaussian_blur,clean_identity,30.901579176174373,30.992752177671388,30.511363789904863
A,gaussian_blur,correct_pair,33.04849966816344,33.12055322827316,31.95070312730968
A,gaussian_blur,same_class_derangement,12.977576217955587,12.959638273821398,11.906223538797349
A,gaussian_blur,cross_class_derangement,17.99663842397099,18.02646452556686,16.710077146068215
A,gaussian_blur,wrong_alt_source,29.798137175692325,29.815812221557284,28.55547109665349
A,gaussian_blur,noise_source,10.198124519327735,10.140301881774054,9.213297572452575
B,brightness_dark,none,17.546026454211063,17.64080058514529,18.259971715975553
B,brightness_dark,clean_identity,17.546026454211063,17.64080058514529,18.259971715975553
B,brightness_dark,correct_pair,32.424807666744606,32.48886229137575,31.338011376559734
B,brightness_dark,same_class_derangement,22.12655868931889,22.1956247090897,21.429907199461013
B,brightness_dark,cross_class_derangement,11.733552114258226,11.85584147882173,11.020253703929484
B,brightness_dark,wrong_alt_source,15.489586518933976,15.572843939091696,16.56445667380467
B,brightness_dark,noise_source,10.0,10.033911829243966,11.551137597532943
B,contrast_low,none,19.95526398771052,20.08777179333732,20.05806868383661
B,contrast_low,clean_identity,19.95526398771052,20.08777179333732,20.05806868383661
B,contrast_low,correct_pair,28.1116255098242,28.186714542190305,26.8309675026685
B,contrast_low,same_class_derangement,20.008427496966995,20.101070549903586,19.24204897833988
B,contrast_low,cross_class_derangement,12.215961198347333,12.341246093490259,11.086546267848462
B,contrast_low,wrong_alt_source,22.693556051591294,22.814016889420838,21.889481714461
B,contrast_low,noise_source,8.717599748976372,8.757231198882904,9.791642591590062
B,gaussian_noise,none,30.67664385146025,30.746725181195558,29.499900958500803
B,gaussian_noise,clean_identity,30.67664385146025,30.746725181195558,29.499900958500803
B,gaussian_noise,correct_pair,32.40677112345037,32.482212913092624,31.267717452254146
B,gaussian_noise,same_class_derangement,21.96306396511925,22.0426890085777,21.432517382781953
B,gaussian_noise,cross_class_derangement,11.914204518014817,12.042024070749385,11.304717025253922
B,gaussian_noise,wrong_alt_source,30.537679919179993,30.567191967551032,29.870785533450544
B,gaussian_noise,noise_source,8.49708098168016,8.544451093822728,9.235568676842377
B,gaussian_blur,none,30.901579176174373,30.992752177671388,30.511363789904863
B,gaussian_blur,clean_identity,30.901579176174373,30.992752177671388,30.511363789904863
B,gaussian_blur,correct_pair,33.009919087373774,33.08065695857437,31.880620209500194
B,gaussian_blur,same_class_derangement,22.23430200153312,22.31531351818605,21.54013775428757
B,gaussian_blur,cross_class_derangement,12.329851887511001,12.460934902586608,11.618430233094841
B,gaussian_blur,wrong_alt_source,28.35423498515749,28.37289713411796,27.245230610948056
B,gaussian_blur,noise_source,8.572244653992788,8.610944876654033,9.489663630956784
