client,K,normalized_entropy,max_class_fraction,represented_classes,entropy_quartile
0,20,0.22504541292605024,0.85,3,2
1,20,0.18358022428449897,0.85,2,2
2,20,0.1712847410710057,0.9,3,2
3,20,-0.0,1.0,1,1
4,20,0.3670280240301799,0.55,3,3
5,20,0.3849866301909954,0.65,3,3
6,20,0.37162086641628495,0.5,3,3
7,20,0.14118174150460758,0.9,2,1
8,20,0.21732201127364886,0.8,2,2
9,20,0.2652949955741215,0.7,2,2
10,20,0.3556039942733158,0.7,3,3
11,20,0.2988548895792612,0.55,2,3
12,20,0.18358022428449897,0.85,2,2
13,20,0.3172903635978727,0.75,3,3
14,20,0.08621407475879368,0.95,2,1
15,20,-0.0,1.0,1,1
16,20,0.5052456816589913,0.5,5,4
17,20,0.4023767052555694,0.55,3,4
18,20,0.29854955310662773,0.75,3,3
19,20,0.3172903635978727,0.75,3,3
20,20,-0.0,1.0,1,1
21,20,-0.0,1.0,1,1
22,20,0.29228525323862886,0.6,2,2
23,20,0.5374816209824899,0.5,5,4
24,20,0.26616582133129196,0.8,3,2
25,20,0.43881668341155816,0.45,3,4
26,20,0.08621407475879368,0.95,2,1
27,20,-0.0,1.0,1,1
28,20,0.5053986284565879,0.65,6,4
29,20,-0.0,1.0,1,1
30,20,0.37162086641628495,0.5,3,3
31,20,-0.0,1.0,1,1
32,20,0.6385229941014448,0.35,5,4
33,20,0.18358022428449897,0.85,2,2
34,20,0.3172903635978727,0.75,3,3
35,20,0.2988548895792612,0.55,2,3
36,20,0.4385343715564183,0.7,5,4
37,20,0.34352144154944414,0.65,3,3
38,20,-0.0,1.0,1,1
39,20,-0.0,1.0,1,1
40,20,-0.0,1.0,1,1
41,20,0.34739336316427083,0.75,4,3
42,20,0.4023767052555694,0.55,3,4
43,20,0.29228525323862886,0.6,2,2
44,20,0.3670280240301799,0.55,3,3
45,20,0.3076310099728432,0.8,4,3
46,20,0.1712847410710057,0.9,3,2
47,20,0.5660814954471801,0.5,5,4
48,20,0.4072105587434522,0.6,3,4
49,20,0.18358022428449897,0.85,2,2
50,20,0.2442190502882155,0.75,2,2
51,20,0.1712847410710057,0.9,3,2
52,20,0.14118174150460758,0.9,2,1
53,20,0.2652949955741215,0.7,2,2
54,20,0.26616582133129196,0.8,3,2
55,20,0.08621407475879368,0.95,2,1
56,20,0.4802818720531094,0.6,4,4
57,20,0.5779694921683955,0.45,5,4
58,20,0.14118174150460758,0.9,2,1
59,20,0.6145365019512083,0.4,5,4
60,20,-0.0,1.0,1,1
61,20,0.358755552239424,0.75,4,3
62,20,0.5878285561418409,0.3,4,4
63,20,0.37162086641628495,0.5,3,3
64,20,0.4385343715564183,0.7,5,4
65,20,-0.0,1.0,1,1
66,20,0.1712847410710057,0.9,3,2
67,20,0.5362838323534155,0.55,5,4
68,20,0.45542455414570265,0.45,3,4
69,20,0.3239978696052099,0.7,3,3
70,20,0.21732201127364886,0.8,2,2
71,20,0.3172903635978727,0.75,3,3
72,20,0.46343299021718715,0.45,3,4
73,20,0.4023767052555694,0.55,3,4
74,20,-0.0,1.0,1,1
75,20,0.44717262228329563,0.5,3,4
76,20,0.37162086641628495,0.5,3,3
77,20,0.29228525323862886,0.6,2,2
78,20,0.29854955310662773,0.75,3,3
79,20,0.26616582133129196,0.8,3,2
80,20,0.14118174150460758,0.9,2,1
81,20,0.08621407475879368,0.95,2,1
82,20,0.08621407475879368,0.95,2,1
83,20,0.26616582133129196,0.8,3,2
84,20,0.45542455414570265,0.45,3,4
85,20,0.2811825026595474,0.65,2,2
86,20,0.4647156441454661,0.55,4,4
87,20,0.14118174150460758,0.9,2,2
88,20,0.4802818720531094,0.6,4,4
89,20,0.2652949955741215,0.7,2,2
90,20,0.5365043035268443,0.45,4,4
91,20,0.22504541292605024,0.85,3,2
92,20,0.3239978696052098,0.7,3,3
93,20,-0.0,1.0,1,1
94,20,0.08621407475879368,0.95,2,1
95,20,0.29854955310662773,0.75,3,3
96,20,0.08621407475879368,0.95,2,1
97,20,0.29854955310662773,0.75,3,3
98,20,0.34822537285722394,0.7,3,3
99,20,0.6814913078447037,0.35,6,4
