client,bank,true_context,selected,second,best_score,second_score,score_margin,zero_improvement,true_rank,J_clean,J_brightness_dark,J_contrast_low,J_gaussian_noise,J_gaussian_blur
0,A,clean,clean,gaussian_noise,6.451703363289342,17.326772563411403,10.875069200122061,0.0,1,6.451703363289342,3269.985072709737,207.82329396465002,17.326772563411403,34.61735785532949
0,B,clean,clean,gaussian_noise,5.772102090441718,16.527488442535937,10.755386352094218,0.0,1,5.772102090441718,2474.982448820262,231.87046185415215,16.527488442535937,38.9939782187847
0,A,brightness_dark,brightness_dark,gaussian_blur,129.61066205531327,260.6693960363758,131.05873398106255,160.15797217592055,1,289.7686342312338,129.61066205531327,272.18583215093497,342.05612172081817,260.6693960363758
0,B,brightness_dark,brightness_dark,gaussian_blur,131.6007728011531,258.0682779839732,126.46750518282008,158.2015059771165,1,289.8022787782696,131.6007728011531,272.60984253929337,342.2010299252021,258.0682779839732
0,A,contrast_low,contrast_low,gaussian_blur,17.02990287119618,64.45409026072377,47.42418738952759,98.72718861330651,1,115.7570914845027,866.3543497315992,17.02990287119618,188.73023096923754,64.45409026072377
0,B,contrast_low,contrast_low,gaussian_blur,19.133474385434965,62.209737536041935,43.07626315060697,96.68427414921669,1,115.81774853465166,587.0413632407204,19.133474385434965,187.69133352778618,62.209737536041935
0,A,gaussian_noise,gaussian_noise,clean,6.851820819238567,31.074282466813337,24.222461647574768,24.222461647574768,1,31.074282466813337,2811.9214304892284,445.21042503277187,6.851820819238567,113.04350680115007
0,B,gaussian_noise,gaussian_noise,clean,6.529240615149846,32.17400200407739,25.64476138892754,25.64476138892754,1,32.17400200407739,2090.0765896788207,508.6278836267458,6.529240615149846,126.35979241619854
0,A,gaussian_blur,gaussian_blur,clean,7.525212705910985,19.390449676139767,11.865236970228782,11.865236970228782,1,19.390449676139767,1975.2291399990468,60.60910580545338,56.90679207553525,7.525212705910985
0,B,gaussian_blur,gaussian_blur,clean,7.909490954252779,19.38891042874617,11.47941947449339,11.47941947449339,1,19.38891042874617,1577.0740127553772,64.89639724089434,56.31617593553446,7.909490954252779
1,A,clean,clean,gaussian_noise,3.0576254545026824,15.168096864641226,12.110471410138544,0.0,1,3.0576254545026824,4518.948635664229,230.90506874448954,15.168096864641226,33.29678997025874
1,B,clean,clean,gaussian_noise,3.110563674659054,14.756383121694208,11.645819447035155,0.0,1,3.110563674659054,3317.891418731395,261.5445838261894,14.756383121694208,38.98191068326679
1,A,brightness_dark,brightness_dark,gaussian_blur,131.03860069455888,266.12684206187726,135.08824136731837,166.0737894202093,1,297.1123901147682,131.03860069455888,274.33788536960753,349.9892001884158,266.12684206187726
1,B,brightness_dark,brightness_dark,gaussian_blur,134.85975880197918,264.3773834048902,129.51762460291104,163.0138800401631,1,297.87363884214227,134.85975880197918,278.24280490469334,350.84048555765986,264.3773834048902
1,A,contrast_low,contrast_low,gaussian_blur,12.333580264092099,61.438754365266156,49.10517410117406,100.56534839334964,1,112.89892865744173,1183.6377808036973,12.333580264092099,186.8505139287829,61.438754365266156
1,B,contrast_low,contrast_low,gaussian_blur,14.970692766754052,59.82232671600621,44.85163394925216,98.76676560322814,1,113.73745836998219,759.3339878716406,14.970692766754052,186.1993274138792,59.82232671600621
1,A,gaussian_noise,gaussian_noise,clean,2.966252718794071,29.0841339521362,26.11788123334213,26.11788123334213,1,29.0841339521362,3915.1389030150544,472.70949782791547,2.966252718794071,114.26923766805598
1,B,gaussian_noise,gaussian_noise,clean,4.1792666153021845,31.254409019781086,27.075142404478903,27.075142404478903,1,31.254409019781086,2607.469167991218,540.8077233958197,4.1792666153021845,129.3127536365539
1,A,gaussian_blur,gaussian_blur,clean,5.595451415188721,22.843516736762396,17.248065321573677,17.248065321573677,1,22.843516736762396,2663.788810099999,49.8922242831674,64.51633119721401,5.595451415188721
