salt,bank,target1,target2,orientation,same_client_overlap,control_mean,control_min,control_max,control_by_offset
T013-S0,A,clean,brightness_dark,0,0.57,0.435,0.38,0.46,"{""7"": 0.46, ""13"": 0.44, ""23"": 0.45, ""37"": 0.44, ""41"": 0.38, ""53"": 0.43, ""71"": 0.46, ""89"": 0.42}"
T013-S0,A,clean,brightness_dark,1,0.5,0.375,0.32,0.43,"{""7"": 0.38, ""13"": 0.38, ""23"": 0.4, ""37"": 0.37, ""41"": 0.32, ""53"": 0.35, ""71"": 0.43, ""89"": 0.37}"
T013-S0,A,clean,contrast_low,0,0.52,0.28875,0.23,0.34,"{""7"": 0.3, ""13"": 0.34, ""23"": 0.29, ""37"": 0.31, ""41"": 0.31, ""53"": 0.23, ""71"": 0.25, ""89"": 0.28}"
T013-S0,A,clean,contrast_low,1,0.59,0.3075,0.26,0.36,"{""7"": 0.32, ""13"": 0.36, ""23"": 0.26, ""37"": 0.3, ""41"": 0.31, ""53"": 0.26, ""71"": 0.33, ""89"": 0.32}"
T013-S0,A,clean,gaussian_noise,0,0.78,0.43625,0.38,0.48,"{""7"": 0.46, ""13"": 0.43, ""23"": 0.45, ""37"": 0.48, ""41"": 0.38, ""53"": 0.41, ""71"": 0.43, ""89"": 0.45}"
T013-S0,A,clean,gaussian_noise,1,0.79,0.40125,0.34,0.46,"{""7"": 0.36, ""13"": 0.46, ""23"": 0.44, ""37"": 0.44, ""41"": 0.41, ""53"": 0.34, ""71"": 0.38, ""89"": 0.38}"
T013-S0,A,clean,gaussian_blur,0,0.68,0.37,0.32,0.45,"{""7"": 0.41, ""13"": 0.45, ""23"": 0.35, ""37"": 0.38, ""41"": 0.35, ""53"": 0.36, ""71"": 0.32, ""89"": 0.34}"
T013-S0,A,clean,gaussian_blur,1,0.67,0.315,0.24,0.36,"{""7"": 0.31, ""13"": 0.35, ""23"": 0.3, ""37"": 0.33, ""41"": 0.33, ""53"": 0.24, ""71"": 0.3, ""89"": 0.36}"
T013-S0,A,brightness_dark,contrast_low,0,0.53,0.375,0.31,0.47,"{""7"": 0.41, ""13"": 0.47, ""23"": 0.35, ""37"": 0.4, ""41"": 0.39, ""53"": 0.31, ""71"": 0.31, ""89"": 0.36}"
T013-S0,A,brightness_dark,contrast_low,1,0.62,0.41625,0.36,0.51,"{""7"": 0.41, ""13"": 0.51, ""23"": 0.43, ""37"": 0.38, ""41"": 0.41, ""53"": 0.39, ""71"": 0.36, ""89"": 0.44}"
T013-S0,A,brightness_dark,gaussian_noise,0,0.55,0.4075,0.37,0.43,"{""7"": 0.41, ""13"": 0.43, ""23"": 0.37, ""37"": 0.42, ""41"": 0.41, ""53"": 0.43, ""71"": 0.38, ""89"": 0.41}"
T013-S0,A,brightness_dark,gaussian_noise,1,0.52,0.425,0.38,0.47,"{""7"": 0.47, ""13"": 0.46, ""23"": 0.4, ""37"": 0.4, ""41"": 0.45, ""53"": 0.42, ""71"": 0.38, ""89"": 0.42}"
T013-S0,A,brightness_dark,gaussian_blur,0,0.54,0.37875,0.34,0.45,"{""7"": 0.38, ""13"": 0.45, ""23"": 0.34, ""37"": 0.38, ""41"": 0.4, ""53"": 0.35, ""71"": 0.35, ""89"": 0.38}"
T013-S0,A,brightness_dark,gaussian_blur,1,0.62,0.42625,0.37,0.47,"{""7"": 0.46, ""13"": 0.47, ""23"": 0.42, ""37"": 0.37, ""41"": 0.47, ""53"": 0.43, ""71"": 0.38, ""89"": 0.41}"
T013-S0,A,contrast_low,gaussian_noise,0,0.56,0.37375,0.34,0.42,"{""7"": 0.4, ""13"": 0.37, ""23"": 0.39, ""37"": 0.42, ""41"": 0.35, ""53"": 0.35, ""71"": 0.37, ""89"": 0.34}"
T013-S0,A,contrast_low,gaussian_noise,1,0.52,0.3,0.27,0.34,"{""7"": 0.29, ""13"": 0.31, ""23"": 0.31, ""37"": 0.34, ""41"": 0.29, ""53"": 0.27, ""71"": 0.31, ""89"": 0.28}"
T013-S0,A,contrast_low,gaussian_blur,0,0.71,0.34625,0.31,0.43,"{""7"": 0.33, ""13"": 0.39, ""23"": 0.31, ""37"": 0.43, ""41"": 0.32, ""53"": 0.33, ""71"": 0.34, ""89"": 0.32}"
T013-S0,A,contrast_low,gaussian_blur,1,0.67,0.33875,0.27,0.38,"{""7"": 0.36, ""13"": 0.36, ""23"": 0.32, ""37"": 0.38, ""41"": 0.31, ""53"": 0.36, ""71"": 0.35, ""89"": 0.27}"
T013-S0,A,gaussian_noise,gaussian_blur,0,0.68,0.385,0.33,0.48,"{""7"": 0.41, ""13"": 0.48, ""23"": 0.37, ""37"": 0.4, ""41"": 0.37, ""53"": 0.37, ""71"": 0.33, ""89"": 0.35}"
T013-S0,A,gaussian_noise,gaussian_blur,1,0.65,0.36625,0.3,0.42,"{""7"": 0.42, ""13"": 0.42, ""23"": 0.34, ""37"": 0.35, ""41"": 0.34, ""53"": 0.3, ""71"": 0.36, ""89"": 0.4}"
T013-S0,B,clean,brightness_dark,0,0.59,0.42875,0.38,0.49,"{""7"": 0.41, ""13"": 0.42, ""23"": 0.49, ""37"": 0.4, ""41"": 0.38, ""53"": 0.45, ""71"": 0.47, ""89"": 0.41}"
T013-S0,B,clean,brightness_dark,1,0.5,0.40875,0.34,0.47,"{""7"": 0.42, ""13"": 0.43, ""23"": 0.41, ""37"": 0.4, ""41"": 0.34, ""53"": 0.39, ""71"": 0.47, ""89"": 0.41}"
T013-S0,B,clean,contrast_low,0,0.53,0.30375,0.25,0.34,"{""7"": 0.3, ""13"": 0.32, ""23"": 0.29, ""37"": 0.31, ""41"": 0.31, ""53"": 0.25, ""71"": 0.31, ""89"": 0.34}"
T013-S0,B,clean,contrast_low,1,0.57,0.3175,0.26,0.38,"{""7"": 0.32, ""13"": 0.38, ""23"": 0.26, ""37"": 0.3, ""41"": 0.31, ""53"": 0.29, ""71"": 0.34, ""89"": 0.34}"
T013-S0,B,clean,gaussian_noise,0,0.75,0.4475,0.42,0.5,"{""7"": 0.45, ""13"": 0.44, ""23"": 0.5, ""37"": 0.48, ""41"": 0.43, ""53"": 0.42, ""71"": 0.42, ""89"": 0.44}"
T013-S0,B,clean,gaussian_noise,1,0.81,0.45125,0.39,0.51,"{""7"": 0.41, ""13"": 0.51, ""23"": 0.47, ""37"": 0.46, ""41"": 0.44, ""53"": 0.39, ""71"": 0.47, ""89"": 0.46}"
T013-S0,B,clean,gaussian_blur,0,0.68,0.40375,0.35,0.47,"{""7"": 0.44, ""13"": 0.47, ""23"": 0.4, ""37"": 0.4, ""41"": 0.44, ""53"": 0.35, ""71"": 0.37, ""89"": 0.36}"
T013-S0,B,clean,gaussian_blur,1,0.64,0.32625,0.25,0.38,"{""7"": 0.33, ""13"": 0.36, ""23"": 0.31, ""37"": 0.33, ""41"": 0.32, ""53"": 0.25, ""71"": 0.33, ""89"": 0.38}"
T013-S0,B,brightness_dark,contrast_low,0,0.55,0.385,0.32,0.42,"{""7"": 0.42, ""13"": 0.42, ""23"": 0.38, ""37"": 0.41, ""41"": 0.38, ""53"": 0.32, ""71"": 0.34, ""89"": 0.41}"
T013-S0,B,brightness_dark,contrast_low,1,0.63,0.39375,0.32,0.47,"{""7"": 0.39, ""13"": 0.47, ""23"": 0.39, ""37"": 0.36, ""41"": 0.41, ""53"": 0.37, ""71"": 0.32, ""89"": 0.44}"
T013-S0,B,brightness_dark,gaussian_noise,0,0.53,0.42,0.38,0.47,"{""7"": 0.43, ""13"": 0.43, ""23"": 0.39, ""37"": 0.47, ""41"": 0.44, ""53"": 0.42, ""71"": 0.38, ""89"": 0.4}"
T013-S0,B,brightness_dark,gaussian_noise,1,0.57,0.44625,0.42,0.48,"{""7"": 0.48, ""13"": 0.47, ""23"": 0.43, ""37"": 0.42, ""41"": 0.47, ""53"": 0.42, ""71"": 0.42, ""89"": 0.46}"
T013-S0,B,brightness_dark,gaussian_blur,0,0.56,0.3975,0.35,0.47,"{""7"": 0.39, ""13"": 0.47, ""23"": 0.35, ""37"": 0.41, ""41"": 0.43, ""53"": 0.37, ""71"": 0.35, ""89"": 0.41}"
