salt,bank,target,policy,zero,accuracy,gain_pp,capture_vs_P00,capture_vs_T014_class_context
T013-S0,A,clean,P00,34.13868991976854,40.265006000742666,6.126316080974129,1.0,0.9777699483203429
T013-S0,A,clean,P01,34.13868991976854,36.188022687700176,2.0493327679316335,0.33451306475942955,0.327076822042307
T013-S0,A,clean,P10,34.13868991976854,40.1282092157846,5.989519296016062,0.9776706289473208,0.955936960340139
T013-S0,A,clean,P11,34.13868991976854,35.357386760168964,1.2186968404004257,0.198928168950539,0.19450598547422895
T013-S0,A,clean,zero_soft,34.13868991976854,35.53562957903549,1.3969396592669512,0.22802278576603044,0.22295382745431222
T013-S0,A,clean,zero_hard,34.13868991976854,35.7060865349167,1.5673966151481604,0.25584651435401173,0.2501590331178619
T013-S0,A,clean,uniform,34.13868991976854,34.32098622560271,0.18229630583417034,0.029756268436803197,0.029094785051659314
T013-S0,A,brightness_dark,P00,17.54602645421106,35.477957433844004,17.93193097963294,1.0,0.9983265585069158
T013-S0,A,brightness_dark,P01,17.54602645421106,32.296535703287994,14.75050924907693,0.82258342762029,0.8212068823809868
T013-S0,A,brightness_dark,P10,17.54602645421106,35.477957433844004,17.93193097963294,1.0,0.9983265585069158
T013-S0,A,brightness_dark,P11,17.54602645421106,32.296535703287994,14.75050924907693,0.82258342762029,0.8212068823809868
T013-S0,A,brightness_dark,zero_soft,17.54602645421106,30.380874814801768,12.834848360590707,0.7157538346075784,0.7145560624419118
T013-S0,A,brightness_dark,zero_hard,17.54602645421106,22.206998393318393,4.660971939107335,0.2599258241848722,0.25949085352555706
T013-S0,A,brightness_dark,uniform,17.54602645421106,32.296535703287994,14.75050924907693,0.82258342762029,0.8212068823809868
T013-S0,A,contrast_low,P00,19.95526398771052,33.49896897089437,13.543704983183844,1.0,0.9869078655305018
T013-S0,A,contrast_low,P01,19.95526398771052,28.620132167300067,8.664868179589547,0.6397708891583236,0.6313949226477925
T013-S0,A,contrast_low,P10,19.95526398771052,33.49896897089437,13.543704983183844,1.0,0.9869078655305018
T013-S0,A,contrast_low,P11,19.95526398771052,28.620132167300067,8.664868179589547,0.6397708891583236,0.6313949226477925
T013-S0,A,contrast_low,zero_soft,19.95526398771052,27.835062520858557,7.879798533148037,0.5818052403630886,0.5741881679211963
T013-S0,A,contrast_low,zero_hard,19.95526398771052,22.979967671419395,3.024703683708876,0.22332911765756955,0.2204052628182423
T013-S0,A,contrast_low,uniform,19.95526398771052,28.561473420506015,8.606209432795497,0.6354398182388904,0.6271205546912334
T013-S0,A,gaussian_noise,P00,30.67664385146025,37.518943422091645,6.842299570631401,1.0,0.993184124193368
T013-S0,A,gaussian_noise,P01,30.67664385146025,33.04130637748285,2.3646625260226,0.3455947085643886,0.34323917795138453
T013-S0,A,gaussian_noise,P10,30.67664385146025,37.518943422091645,6.842299570631401,1.0,0.993184124193368
T013-S0,A,gaussian_noise,P11,30.67664385146025,33.04130637748285,2.3646625260226,0.3455947085643886,0.34323917795138453
T013-S0,A,gaussian_noise,zero_soft,30.67664385146025,32.91527299490676,2.238629143446514,0.3271749680553574,0.32494498410605327
T013-S0,A,gaussian_noise,zero_hard,30.67664385146025,32.84802391099708,2.171380059536831,0.3173465349071903,0.3151835403375978
T013-S0,A,gaussian_noise,uniform,30.67664385146025,32.499557590179315,1.8229137387190708,0.2664182881649033,0.26460241420015584
T013-S0,A,gaussian_blur,P00,30.901579176174376,40.050731421785706,9.149152245611331,1.0,1.0014854277952379
T013-S0,A,gaussian_blur,P01,30.901579176174376,34.00988302795514,3.1083038517807644,0.33973681586419735,0.3402414703735476
T013-S0,A,gaussian_blur,P10,30.901579176174376,40.050731421785706,9.149152245611331,1.0,1.0014854277952379
T013-S0,A,gaussian_blur,P11,30.901579176174376,32.15118965246794,1.249610476293568,0.13658210539593782,0.13678498825162505
T013-S0,A,gaussian_blur,zero_soft,30.901579176174376,33.37019762024217,2.4686184440678,0.2698193644391422,0.2702201616227735
T013-S0,A,gaussian_blur,zero_hard,30.901579176174376,33.89513733643372,2.993558160259342,0.32719514113400977,0.327681165891117
T013-S0,A,gaussian_blur,uniform,30.901579176174376,31.263384887993965,0.3618057118195894,0.03954527174833499,0.0396040133941602
T013-S0,B,clean,P00,34.13868991976854,40.30673313862579,6.168043218857249,1.0,1.0033765045066225
T013-S0,B,clean,P01,34.13868991976854,36.002040043345616,1.8633501235770789,0.3020974492980776,0.30311748269707167
T013-S0,B,clean,P10,34.13868991976854,40.123787585559796,5.985097665791255,0.9703397744512094,0.973616131072599
T013-S0,B,clean,P11,34.13868991976854,35.098890711573326,0.9602007918047876,0.15567348634478012,0.1561991185729849
T013-S0,B,clean,zero_soft,34.13868991976854,35.283490339189775,1.1448004194212336,0.18560188033723446,0.18622856592263073
T013-S0,B,clean,zero_hard,34.13868991976854,35.47409857468789,1.3354086549193525,0.21650442572073336,0.21723545388988313
T013-S0,B,clean,uniform,34.13868991976854,34.20201827447402,0.063328354705481,0.010267171039247975,0.01030183818853226
T013-S0,B,brightness_dark,P00,17.54602645421106,35.255357259050946,17.709330804839887,1.0,0.9868062034054014
T013-S0,B,brightness_dark,P01,17.54602645421106,32.424807666744606,14.878781212533545,0.8401662025798985,0.829081220597403
T013-S0,B,brightness_dark,P10,17.54602645421106,35.255357259050946,17.709330804839887,1.0,0.9868062034054014
T013-S0,B,brightness_dark,P11,17.54602645421106,32.424807666744606,14.878781212533545,0.8401662025798985,0.829081220597403
T013-S0,B,brightness_dark,zero_soft,17.54602645421106,30.599783302285054,13.053756848073993,0.7371118080027314,0.7273865047404664
