gate,salt,bank,target,capture,passed
SUPPORT_COMP,T013-S0,A,brightness_dark,0.9983265585069158,True
SEM_EST,T013-S0,A,brightness_dark,0.82258342762029,True
SEM_SRC,T013-S0,A,brightness_dark,0.82258342762029,True
SUPPORT_COMP,T013-S0,A,contrast_low,0.9869078655305018,True
SEM_EST,T013-S0,A,contrast_low,0.6397708891583236,False
SEM_SRC,T013-S0,A,contrast_low,0.6397708891583236,False
SUPPORT_COMP,T013-S0,A,gaussian_noise,0.993184124193368,True
SEM_EST,T013-S0,A,gaussian_noise,0.3455947085643886,False
SEM_SRC,T013-S0,A,gaussian_noise,0.3455947085643886,False
SUPPORT_COMP,T013-S0,A,gaussian_blur,1.0014854277952379,True
SEM_EST,T013-S0,A,gaussian_blur,0.33973681586419735,False
SEM_SRC,T013-S0,A,gaussian_blur,0.13658210539593782,False
SUPPORT_COMP,T013-S0,B,brightness_dark,0.9868062034054014,True
SEM_EST,T013-S0,B,brightness_dark,0.8401662025798985,True
SEM_SRC,T013-S0,B,brightness_dark,0.8401662025798985,True
SUPPORT_COMP,T013-S0,B,contrast_low,0.9816407707849834,True
SEM_EST,T013-S0,B,contrast_low,0.6160208072172692,False
SEM_SRC,T013-S0,B,contrast_low,0.6160208072172692,False
SUPPORT_COMP,T013-S0,B,gaussian_noise,0.9943109360463769,True
SEM_EST,T013-S0,B,gaussian_noise,0.32945233327978396,False
SEM_SRC,T013-S0,B,gaussian_noise,0.32945233327978396,False
SUPPORT_COMP,T013-S0,B,gaussian_blur,0.9918922576706474,True
SEM_EST,T013-S0,B,gaussian_blur,0.3501111365116993,False
SEM_SRC,T013-S0,B,gaussian_blur,0.18782225264840294,False
SUPPORT_COMP,T013-S1,A,brightness_dark,1.0008984693637835,True
SEM_EST,T013-S1,A,brightness_dark,0.8229133237518184,True
SEM_SRC,T013-S1,A,brightness_dark,0.8229133237518184,True
SUPPORT_COMP,T013-S1,A,contrast_low,0.9786631542404921,True
SEM_EST,T013-S1,A,contrast_low,0.6363569772949813,False
SEM_SRC,T013-S1,A,contrast_low,0.6363569772949813,False
SUPPORT_COMP,T013-S1,A,gaussian_noise,0.9809166968316663,True
SEM_EST,T013-S1,A,gaussian_noise,0.3410524888866316,False
SEM_SRC,T013-S1,A,gaussian_noise,0.3410524888866316,False
SUPPORT_COMP,T013-S1,A,gaussian_blur,1.020124208704099,True
SEM_EST,T013-S1,A,gaussian_blur,0.3539640363164926,False
SEM_SRC,T013-S1,A,gaussian_blur,0.1509599906177635,False
SUPPORT_COMP,T013-S1,B,brightness_dark,0.9901167738814344,True
SEM_EST,T013-S1,B,brightness_dark,0.8382636973443593,True
SEM_SRC,T013-S1,B,brightness_dark,0.8382636973443593,True
SUPPORT_COMP,T013-S1,B,contrast_low,0.9744978099644495,True
SEM_EST,T013-S1,B,contrast_low,0.6230593630788919,False
SEM_SRC,T013-S1,B,contrast_low,0.6230593630788919,False
SUPPORT_COMP,T013-S1,B,gaussian_noise,0.9838731804678255,True
SEM_EST,T013-S1,B,gaussian_noise,0.323618594143388,False
SEM_SRC,T013-S1,B,gaussian_noise,0.323618594143388,False
SUPPORT_COMP,T013-S1,B,gaussian_blur,0.9956968656507457,True
SEM_EST,T013-S1,B,gaussian_blur,0.35908492690701793,False
SEM_SRC,T013-S1,B,gaussian_blur,0.1966773269479135,False
SUPPORT_COMP,T013-S2,A,brightness_dark,1.0001831616726689,True
SEM_EST,T013-S2,A,brightness_dark,0.8225886170671889,True
SEM_SRC,T013-S2,A,brightness_dark,0.8225886170671889,True
SUPPORT_COMP,T013-S2,A,contrast_low,0.9846933307423936,True
SEM_EST,T013-S2,A,contrast_low,0.632544742128731,False
SEM_SRC,T013-S2,A,contrast_low,0.632544742128731,False
SUPPORT_COMP,T013-S2,A,gaussian_noise,0.9892692589550682,True
SEM_EST,T013-S2,A,gaussian_noise,0.34399101730773585,False
SEM_SRC,T013-S2,A,gaussian_noise,0.34399101730773585,False
SUPPORT_COMP,T013-S2,A,gaussian_blur,0.9933681565962087,True
SEM_EST,T013-S2,A,gaussian_blur,0.34535239451491595,False
SEM_SRC,T013-S2,A,gaussian_blur,0.14055197421155272,False
SUPPORT_COMP,T013-S2,B,brightness_dark,0.9949771434536008,True
SEM_EST,T013-S2,B,brightness_dark,0.836060468275388,True
SEM_SRC,T013-S2,B,brightness_dark,0.836060468275388,True
SUPPORT_COMP,T013-S2,B,contrast_low,0.9738856399728683,True
SEM_EST,T013-S2,B,contrast_low,0.6197039676711755,False
SEM_SRC,T013-S2,B,contrast_low,0.6197039676711755,False
SUPPORT_COMP,T013-S2,B,gaussian_noise,0.9943787052965415,True
SEM_EST,T013-S2,B,gaussian_noise,0.3259205226860283,False
SEM_SRC,T013-S2,B,gaussian_noise,0.3259205226860283,False
SUPPORT_COMP,T013-S2,B,gaussian_blur,0.9820446992502753,True
SEM_EST,T013-S2,B,gaussian_blur,0.3605498136809911,False
SEM_SRC,T013-S2,B,gaussian_blur,0.19886858359289566,False
SUPPORT_COMP,T013-S3,A,brightness_dark,1.0031664587779958,True
SEM_EST,T013-S3,A,brightness_dark,0.8222823348459875,True
SEM_SRC,T013-S3,A,brightness_dark,0.8222823348459875,True
SUPPORT_COMP,T013-S3,A,contrast_low,0.9860481633734949,True
SEM_EST,T013-S3,A,contrast_low,0.6364183462631487,False
SEM_SRC,T013-S3,A,contrast_low,0.6364183462631487,False
SUPPORT_COMP,T013-S3,A,gaussian_noise,0.9865879774822466,True
SEM_EST,T013-S3,A,gaussian_noise,0.3449136695845339,False
SEM_SRC,T013-S3,A,gaussian_noise,0.3449136695845339,False
SUPPORT_COMP,T013-S3,A,gaussian_blur,0.9955518160756254,True
SEM_EST,T013-S3,A,gaussian_blur,0.355036029908094,False
SEM_SRC,T013-S3,A,gaussian_blur,0.15053740583563072,False
SUPPORT_COMP,T013-S3,B,brightness_dark,0.9942094317808804,True
SEM_EST,T013-S3,B,brightness_dark,0.839215266583632,True
SEM_SRC,T013-S3,B,brightness_dark,0.839215266583632,True
SUPPORT_COMP,T013-S3,B,contrast_low,0.9840359709898455,True
SEM_EST,T013-S3,B,contrast_low,0.6132677737247652,False
SEM_SRC,T013-S3,B,contrast_low,0.6132677737247652,False
SUPPORT_COMP,T013-S3,B,gaussian_noise,0.9829560618547293,True
SEM_EST,T013-S3,B,gaussian_noise,0.32199608554239245,False
SEM_SRC,T013-S3,B,gaussian_noise,0.32199608554239245,False
SUPPORT_COMP,T013-S3,B,gaussian_blur,0.9855995510244313,True
SEM_EST,T013-S3,B,gaussian_blur,0.3567048809211233,False
SEM_SRC,T013-S3,B,gaussian_blur,0.19538519825731543,False
