client,bank,context,family,counts,count_min,count_median,singular_values,rank,condition,matrix_sha256
0,A,clean,H,"[1516, 1468, 1509, 1482, 1491, 1500, 1518, 1367, 1502, 1508]",1367,1501.0,"[1.432440093285608, 1.0482718785339311, 0.6673008098889112, 0.4488073120393474, 0.19364288839198288, 0.14222559422812614, 0.12241856531024406, 0.06466145193338906, 0.0007213096116032886, 0.0]",9,inf,c605cbade9caea8251b2f40aaa46abf41ea6f46767c333c8c294632610518439
0,A,clean,S,"[167, 186, 233, 195, 182, 225, 162, 214, 185, 231]",162,190.5,"[1.182926085168106, 0.7482636123533397, 0.35401050267269585, 0.2557784850067444, 0.14368421222829078, 0.08015671990850393, 0.07667520271822165, 0.025450458321543076, 0.017054506229161624, 0.015839719021537958]",10,74.68100182582972,ddf92bcf94200f564892d75b8e890c34100765a5b7de086fd639bf02266e450c
0,A,brightness_dark,H,"[1516, 1468, 1509, 1482, 1491, 1500, 1518, 1367, 1502, 1508]",1367,1501.0,"[1.4418394663608278, 1.0424078878131853, 0.6592111002530346, 0.44695253967322196, 0.16950514118064217, 0.1205093798765421, 0.11422233316849267, 0.028647096323539612, 0.0015669252886433736, 0.0]",9,inf,69093336db56e172dd90d7d699e328dcef3a056787f170dcdfe22d7b909db7f3
0,A,brightness_dark,S,"[167, 186, 233, 195, 182, 225, 162, 214, 185, 231]",162,190.5,"[1.1810696333391477, 0.7385072414208258, 0.3239562924304196, 0.22654432362075197, 0.11089220006247884, 0.07107915661504881, 0.05630397242620178, 0.015629110093670816, 0.011419025447727847, 0.006060196820170257]",10,194.88964936059065,d89abc4e6256a547fa8683cf1dfb36eb3dd99ce466036eecd8650b2d33a389f4
0,A,contrast_low,H,"[1516, 1468, 1509, 1482, 1491, 1500, 1518, 1367, 1502, 1508]",1367,1501.0,"[1.5355977665769158, 0.9983182957587298, 0.5821820237155856, 0.3135783460818652, 0.10773933259449739, 0.09566192815808569, 0.041026189974410265, 0.02342523652547808, 6.182773386300523e-18, 0.0]",8,inf,6995abbd6d51ec5db422039f40df30cf337afb3c10acedb82e421326e1bb9ef1
0,A,contrast_low,S,"[167, 186, 233, 195, 182, 225, 162, 214, 185, 231]",162,190.5,"[1.1930983501236183, 0.6761528700951313, 0.29314158521077044, 0.16472437241251436, 0.08992153767547875, 0.052762970878193, 0.03387863166804509, 0.014110481791211724, 0.0073102882571569, 0.0071843494255820275]",10,166.06908704568772,4face29a7b76619aab0e5b154284a16a6034cce13713a6ad41ec1b25ebe11717
0,A,gaussian_noise,H,"[1516, 1468, 1509, 1482, 1491, 1500, 1518, 1367, 1502, 1508]",1367,1501.0,"[1.441584889759996, 1.0193464759593729, 0.6302921980660177, 0.41240443122616227, 0.18246442835193097, 0.1356454099361722, 0.09199125646756617, 0.05175949191067524, 0.002166559160438986, 0.0]",9,inf,d789d04337f38ed9ba8e77b8ccb7dcf0793ec8364f3d52b4c8ada70f73f5842a
0,A,gaussian_noise,S,"[167, 186, 233, 195, 182, 225, 162, 214, 185, 231]",162,190.5,"[1.1843014548025181, 0.7130995306397034, 0.32472951381429743, 0.2362030729095808, 0.137035527673581, 0.0749545608606438, 0.06656069990148762, 0.023374209881990304, 0.01576455736933864, 0.014217401582957038]",10,83.29943048258461,063ab3e86f58344278dfa0653eda56a4478a468286170a8a1fb990e16151f87d
0,A,gaussian_blur,H,"[1516, 1468, 1509, 1482, 1491, 1500, 1518, 1367, 1502, 1508]",1367,1501.0,"[1.4393758802732162, 1.0293912013147335, 0.6404262831239463, 0.40292970787498167, 0.1942574160878038, 0.13190705367089292, 0.11393580245593656, 0.06805666036727184, 0.0022136903809730647, 0.0]",9,inf,42efc56e6481dd487c2ab05cf456d254a866a873ba83175e774154ca8445f19c
0,A,gaussian_blur,S,"[167, 186, 233, 195, 182, 225, 162, 214, 185, 231]",162,190.5,"[1.1868087700844117, 0.7275614965000351, 0.3161078914838296, 0.23022888496614652, 0.13581659236936122, 0.07829918302452436, 0.0668989476988363, 0.02447562037891534, 0.015565767970028233, 0.015321518435567467]",10,77.46025794214668,32e11fc37e2e7b8c6116e4c360d6630fef724ca6a9c6d4745131dbe0c282f561
0,B,clean,H,"[1516, 1468, 1509, 1482, 1491, 1500, 1518, 1367, 1502, 1508]",1367,1501.0,"[1.432440093285608, 1.0482718785339311, 0.6673008098889112, 0.4488073120393474, 0.19364288839198288, 0.14222559422812614, 0.12241856531024406, 0.06466145193338906, 0.0007213096116032886, 0.0]",9,inf,c605cbade9caea8251b2f40aaa46abf41ea6f46767c333c8c294632610518439
0,B,clean,S,"[167, 186, 233, 195, 182, 225, 162, 214, 185, 231]",162,190.5,"[1.182926085168106, 0.7482636123533397, 0.35401050267269585, 0.2557784850067444, 0.14368421222829078, 0.08015671990850393, 0.07667520271822165, 0.025450458321543076, 0.017054506229161624, 0.015839719021537958]",10,74.68100182582972,ddf92bcf94200f564892d75b8e890c34100765a5b7de086fd639bf02266e450c
0,B,brightness_dark,H,"[1516, 1468, 1509, 1482, 1491, 1500, 1518, 1367, 1502, 1508]",1367,1501.0,"[1.4333372654484131, 1.0375237529649277, 0.6609617697639901, 0.44193486422703426, 0.17788965831948308, 0.12285371495766574, 0.11686872850472454, 0.03172691112051204, 0.0016524094476481112, 0.0]",9,inf,33ec220bd1d7774f4acdd75ad9b4817d02a83df90d662e7288e65e70d8739499
0,B,brightness_dark,S,"[167, 186, 233, 195, 182, 225, 162, 214, 185, 231]",162,190.5,"[1.1779585157230594, 0.7385515345449474, 0.3260469299050502, 0.22861369490416192, 0.1126849636380191, 0.07257792599048339, 0.05786242145838861, 0.015934641611338524, 0.011501010496260747, 0.005943150999091402]",10,198.20437271459997,d67cbe49811502744a0cc847aad6a7ee2a24c050dc8f4bb762d29f1291e2202c
0,B,contrast_low,H,"[1516, 1468, 1509, 1482, 1491, 1500, 1518, 1367, 1502, 1508]",1367,1501.0,"[1.5545740148324874, 0.9931747313505969, 0.6043850048004362, 0.30709226949769597, 0.09420708627690912, 0.07438485494134815, 0.033175488518933184, 0.025840489620056303, 4.1455637078184666e-18, 0.0]",8,inf,8f6d9e2a93de4aec7bd2e2782f01880100af755668c5188bce8c90f226200a7e
0,B,contrast_low,S,"[167, 186, 233, 195, 182, 225, 162, 214, 185, 231]",162,190.5,"[1.2041488569022962, 0.6847956204739064, 0.29355498215222325, 0.16189591379400753, 0.08702777678830113, 0.04601774471925234, 0.03521076810841873, 0.01271579351285096, 0.007367193938703057, 0.006583289478035945]",10,182.90990559047106,ce096088eb472aeb3d818c42ba2c92d96c0e2a0b7db0f9e2af808cf2bd82efe4
0,B,gaussian_noise,H,"[1516, 1468, 1509, 1482, 1491, 1500, 1518, 1367, 1502, 1508]",1367,1501.0,"[1.4477422599530319, 1.021363634282198, 0.6279724960755151, 0.4026949738496409, 0.18617233034052372, 0.13013411186755752, 0.09073525091498313, 0.05381898099003769, 0.0016951575080799651, 0.0]",9,inf,c240c2e737197140de0c5ee4ca9bea843168c2f2209c3e63746ee92eaac4caec
0,B,gaussian_noise,S,"[167, 186, 233, 195, 182, 225, 162, 214, 185, 231]",162,190.5,"[1.1850927479938889, 0.7136253433793742, 0.32040079131388605, 0.2341843402354545, 0.13656039559272706, 0.07268552630805489, 0.0655199349549603, 0.023320943785286586, 0.015521278015473748, 0.013713092688132282]",10,86.42053072531941,56d6119e2beed5bef2d1c2dad82534a8c340c20676eca2ed3570062d980a2708
