salt,bank,target,policy,macro_class,sample_weighted,macro_client,state_choice_frequency,oracle_hit_rate,regret_median,regret_p75,regret_p90,regret_gt2_fraction,regret_gt5_fraction
T013-S0,A,clean,BBSE-H-01,38.66931984982816,38.73262849923532,37.28066712809199,"{""clean"": 37, ""brightness_dark"": 61, ""contrast_low"": 5, ""gaussian_noise"": 71, ""gaussian_blur"": 26}",0.59,0.0,4.172120418848168,10.74285714285714,0.345,0.215
T013-S0,A,clean,BBSE-H-11,38.31895919340718,38.3802114502294,37.09059030350812,"{""clean"": 34, ""brightness_dark"": 60, ""contrast_low"": 5, ""gaussian_noise"": 70, ""gaussian_blur"": 31}",0.575,0.0,4.325396825396825,11.011111111111111,0.36,0.23
T013-S0,A,clean,BBSE-S-01,38.51476644040017,38.57969279872332,37.127365297435745,"{""clean"": 18, ""brightness_dark"": 73, ""contrast_low"": 9, ""gaussian_noise"": 85, ""gaussian_blur"": 15}",0.625,0.0,3.9721043056397813,10.381773399014776,0.325,0.215
T013-S0,A,clean,BBSE-S-11,38.137846463612014,38.20067823658488,36.65218523969961,"{""clean"": 17, ""brightness_dark"": 74, ""contrast_low"": 7, ""gaussian_noise"": 79, ""gaussian_blur"": 23}",0.6,0.0,4.717880289744567,11.11111111111111,0.36,0.24
T013-S0,A,brightness_dark,BBSE-H-01,31.775763825062718,31.837223219628964,30.880693738906572,"{""clean"": 4, ""brightness_dark"": 98, ""contrast_low"": 40, ""gaussian_noise"": 48, ""gaussian_blur"": 10}",0.62,0.0,7.769230769230769,15.239417071478137,0.335,0.3
T013-S0,A,brightness_dark,BBSE-H-11,31.775763825062718,31.837223219628964,30.880693738906572,"{""clean"": 4, ""brightness_dark"": 98, ""contrast_low"": 40, ""gaussian_noise"": 48, ""gaussian_blur"": 10}",0.62,0.0,7.769230769230769,15.239417071478137,0.335,0.3
T013-S0,A,brightness_dark,BBSE-S-01,33.32362545513498,33.379878981315244,32.61276392170076,"{""clean"": 10, ""brightness_dark"": 113, ""contrast_low"": 38, ""gaussian_noise"": 31, ""gaussian_blur"": 8}",0.72,0.0,1.420408163265306,10.596133190118149,0.235,0.185
T013-S0,A,brightness_dark,BBSE-S-11,33.32362545513498,33.379878981315244,32.61276392170076,"{""clean"": 10, ""brightness_dark"": 113, ""contrast_low"": 38, ""gaussian_noise"": 31, ""gaussian_blur"": 8}",0.72,0.0,1.420408163265306,10.596133190118149,0.235,0.185
T013-S0,A,contrast_low,BBSE-H-01,29.362159533491493,29.456745794268237,29.764841351206773,"{""clean"": 3, ""brightness_dark"": 49, ""contrast_low"": 101, ""gaussian_noise"": 37, ""gaussian_blur"": 10}",0.635,0.0,4.77787498784874,14.948275862068964,0.33,0.24
T013-S0,A,contrast_low,BBSE-H-11,29.362159533491493,29.456745794268237,29.764841351206773,"{""clean"": 3, ""brightness_dark"": 49, ""contrast_low"": 101, ""gaussian_noise"": 37, ""gaussian_blur"": 10}",0.635,0.0,4.77787498784874,14.948275862068964,0.33,0.24
