client,bank,context,max_abs_error,L1
0,A,clean,3.3306690738754696e-16,6.453171330633722e-16
0,A,brightness_dark,1.5487611193520933e-15,4.2840730962723234e-15
0,A,contrast_low,8.881784197001252e-16,1.915134717478395e-15
0,A,gaussian_noise,4.440892098500626e-16,1.4044321261508229e-15
0,A,gaussian_blur,1.1102230246251565e-15,2.3542675745399524e-15
0,B,clean,3.3306690738754696e-16,6.453171330633722e-16
0,B,brightness_dark,3.7470027081099033e-16,8.465450562766819e-16
0,B,contrast_low,1.0150610510858574e-15,4.684744655695081e-15
0,B,gaussian_noise,4.371503159461554e-16,1.0755285551056204e-15
0,B,gaussian_blur,5.828670879282072e-16,1.5681900222830336e-15
1,A,clean,4.440892098500626e-16,1.1888638222027719e-15
1,A,brightness_dark,1.942890293094024e-15,4.270889197854899e-15
1,A,contrast_low,1.4710455076283324e-15,2.942091015256665e-15
1,A,gaussian_noise,2.220446049250313e-16,8.650487733537679e-16
1,A,gaussian_blur,9.71445146547012e-16,3.70536934468646e-15
1,B,clean,4.440892098500626e-16,1.1888638222027719e-15
1,B,brightness_dark,2.220446049250313e-16,4.163336342344337e-16
1,B,contrast_low,8.881784197001252e-16,1.4543921622589548e-15
1,B,gaussian_noise,1.1768364061026659e-15,2.9060087669563473e-15
1,B,gaussian_blur,7.771561172376096e-16,1.3600232051658168e-15
2,A,clean,6.344131569286609e-16,2.2600968715583544e-15
2,A,brightness_dark,1.3183898417423734e-15,3.1225022567582528e-15
2,A,contrast_low,9.922618282587337e-16,1.887379141862766e-15
2,A,gaussian_noise,7.771561172376096e-16,2.275957200481571e-15
2,A,gaussian_blur,5.898059818321144e-16,1.5515366769136562e-15
2,B,clean,6.344131569286609e-16,2.2600968715583544e-15
2,B,brightness_dark,7.771561172376096e-16,1.6375789613221059e-15
2,B,contrast_low,2.095545958979983e-15,5.88418203051333e-15
2,B,gaussian_noise,3.608224830031759e-16,8.93729534823251e-16
2,B,gaussian_blur,1.429412144204889e-15,3.164135620181696e-15
3,A,clean,0.0,0.0
3,A,brightness_dark,1.1102230246251565e-15,2.1649348980190553e-15
3,A,contrast_low,2.220446049250313e-16,3.3306690738754696e-16
3,A,gaussian_noise,2.220446049250313e-16,4.718447854656915e-16
3,A,gaussian_blur,1.7763568394002505e-15,3.497202527569243e-15
3,B,clean,0.0,0.0
3,B,brightness_dark,1.1102230246251565e-16,1.1102230246251565e-16
3,B,contrast_low,1.887379141862766e-15,3.808064974464287e-15
3,B,gaussian_noise,1.3322676295501878e-15,2.7131075164277263e-15
3,B,gaussian_blur,1.3322676295501878e-15,2.6645352591003757e-15
4,A,clean,6.661338147750939e-16,2.5951463200613034e-15
4,A,brightness_dark,3.552713678800501e-16,1.03667074924374e-15
4,A,contrast_low,1.4765966227514583e-15,5.2638449155040236e-15
4,A,gaussian_noise,1.0824674490095276e-15,2.192690473634684e-15
4,A,gaussian_blur,6.661338147750939e-16,1.2531642390456454e-15
4,B,clean,6.661338147750939e-16,2.5951463200613034e-15
4,B,brightness_dark,1.3877787807814457e-15,5.43315392675936e-15
4,B,contrast_low,2.3175905639050143e-15,4.713821925387643e-15
4,B,gaussian_noise,3.885780586188048e-16,7.37835718448802e-16
4,B,gaussian_blur,6.522560269672795e-16,1.3183898417423734e-15
5,A,clean,1.3877787807814457e-16,1.942890293094024e-16
5,A,brightness_dark,5.551115123125783e-16,1.2490009027033011e-15
5,A,contrast_low,8.604228440844963e-16,1.6375789613221059e-15
5,A,gaussian_noise,1.6653345369377348e-15,3.4486302702418925e-15
5,A,gaussian_blur,4.440892098500626e-16,1.5654144647214709e-15
5,B,clean,1.3877787807814457e-16,1.942890293094024e-16
5,B,brightness_dark,1.2212453270876722e-15,3.175237850427948e-15
5,B,contrast_low,6.38378239159465e-16,1.4432899320127035e-15
5,B,gaussian_noise,1.7097434579227411e-15,3.919087276926802e-15
5,B,gaussian_blur,9.992007221626409e-16,2.042017348864127e-15
6,A,clean,1.1102230246251565e-15,2.1441182163073336e-15
6,A,brightness_dark,1.4918621893400541e-15,2.949029909160572e-15
6,A,contrast_low,1.1657341758564144e-15,3.600294665570151e-15
6,A,gaussian_noise,5.551115123125783e-16,2.1262753462687147e-15
6,A,gaussian_blur,8.326672684688674e-16,2.5951463200613034e-15
6,B,clean,1.1102230246251565e-15,2.1441182163073336e-15
6,B,brightness_dark,7.771561172376096e-16,1.5681900222830336e-15
6,B,contrast_low,2.831068712794149e-15,7.480127628411992e-15
6,B,gaussian_noise,2.220446049250313e-16,7.077671781985373e-16
6,B,gaussian_blur,8.881784197001252e-16,3.8253130821682845e-15
7,A,clean,1.5265566588595902e-16,4.85722573273506e-16
7,A,brightness_dark,1.0269562977782698e-15,2.1094237467877974e-15
7,A,contrast_low,9.3443771239284e-16,1.8920050711320373e-15
7,A,gaussian_noise,9.159339953157541e-16,2.0122792321330962e-15
7,A,gaussian_blur,1.0130785099704553e-15,2.08629410044144e-15
7,B,clean,1.5265566588595902e-16,4.85722573273506e-16
7,B,brightness_dark,1.1102230246251565e-15,2.1371793224034263e-15
7,B,contrast_low,1.3692750637043598e-15,2.798687207909249e-15
7,B,gaussian_noise,4.625929269271485e-16,9.205599245850256e-16
7,B,gaussian_blur,4.718447854656915e-16,8.881784197001252e-16
8,A,clean,1.6653345369377348e-15,3.250177904590146e-15
8,A,brightness_dark,9.020562075079397e-16,2.0122792321330962e-15
8,A,contrast_low,8.881784197001252e-16,1.9128217528437594e-15
8,A,gaussian_noise,1.1379786002407855e-15,2.909998630951094e-15
8,A,gaussian_blur,3.3306690738754696e-16,8.881784197001252e-16
8,B,clean,1.6653345369377348e-15,3.250177904590146e-15
8,B,brightness_dark,1.535808517398133e-15,3.117876327488981e-15
8,B,contrast_low,7.771561172376096e-16,2.3342439092743915e-15
8,B,gaussian_noise,6.661338147750939e-16,1.2952601953960159e-15
