client,bank,context,max_error,objective,iterations
0,A,clean,2.6913407665727996e-16,9.932080908515737e-33,1
0,A,brightness_dark,1.4668893506618941e-15,5.038864680280011e-32,1
0,A,contrast_low,8.519544785999353e-16,3.488491075048286e-32,1
0,A,gaussian_noise,4.3021142204224816e-16,1.2717156164031967e-32,1
0,A,gaussian_blur,1.0269562977782698e-15,6.734886737556021e-32,1
0,B,clean,2.6913407665727996e-16,9.932080908515737e-33,1
0,B,brightness_dark,3.875769199371611e-16,5.923739211759803e-33,1
0,B,contrast_low,1.0105085380026998e-15,4.063862645933973e-32,1
0,B,gaussian_noise,3.7470027081099033e-16,9.852335371755953e-33,1
0,B,gaussian_blur,5.412337245047638e-16,2.767471052118315e-32,1
1,A,clean,4.440892098500626e-16,4.587625312841158e-33,1
1,A,brightness_dark,1.8592946937735077e-15,1.1520070332973775e-31,1
1,A,contrast_low,1.3600232051658168e-15,6.928532974933081e-32,1
1,A,gaussian_noise,2.220446049250313e-16,3.20787706361999e-33,1
1,A,gaussian_blur,9.159339953157541e-16,1.8297839104447793e-32,1
1,B,clean,4.440892098500626e-16,4.587625312841158e-33,1
1,B,brightness_dark,2.220446049250313e-16,2.407412430484045e-34,1
1,B,contrast_low,8.881784197001252e-16,2.3333844982466604e-32,1
1,B,gaussian_noise,1.1537902893911354e-15,2.4585699446318308e-32,1
1,B,gaussian_blur,7.771561172376096e-16,6.573740567990495e-33,1
2,A,clean,6.193720261923587e-16,4.772695143434619e-33,1
2,A,brightness_dark,1.2906342661267445e-15,6.6540879578579e-32,1
2,A,contrast_low,9.645062526431047e-16,1.7814851985581932e-32,1
2,A,gaussian_noise,6.661338147750939e-16,8.012470421758522e-32,1
2,A,gaussian_blur,6.036837696399289e-16,3.3475069845880643e-32,1
2,B,clean,6.193720261923587e-16,4.772695143434619e-33,1
2,B,brightness_dark,6.661338147750939e-16,7.437098850872835e-32,1
2,B,contrast_low,2.123301534595612e-15,1.5925033227651956e-32,1
2,B,gaussian_noise,3.3306690738754696e-16,3.695378080793009e-33,1
2,B,gaussian_blur,1.429412144204889e-15,8.197239325798173e-33,1
3,A,clean,0.0,0.0,1
3,A,brightness_dark,9.992007221626409e-16,3.5063962050000113e-32,1
3,A,contrast_low,2.220446049250313e-16,3.3839190975991355e-33,1
3,A,gaussian_noise,2.220446049250313e-16,3.123617628553048e-33,1
3,A,gaussian_blur,1.7763568394002505e-15,2.907552362917105e-32,1
3,B,clean,0.0,0.0,1
3,B,brightness_dark,9.893480327072532e-17,8.967611303553067e-34,1
3,B,contrast_low,1.887379141862766e-15,1.3568928774592603e-31,1
3,B,gaussian_noise,1.3322676295501878e-15,8.55835119037078e-33,1
3,B,gaussian_blur,1.3322676295501878e-15,2.998432182167878e-32,1
4,A,clean,6.661338147750939e-16,1.779077786127709e-32,1
4,A,brightness_dark,3.748981666490889e-16,7.974553675978398e-33,1
4,A,contrast_low,1.3750419360512731e-15,9.131315348825982e-32,1
4,A,gaussian_noise,1.0200174038743626e-15,2.9900062386611837e-32,1
4,A,gaussian_blur,6.106226635438361e-16,1.7477814245314165e-32,1
4,B,clean,6.661338147750939e-16,1.779077786127709e-32,1
4,B,brightness_dark,1.3322676295501878e-15,4.723945041717317e-32,1
4,B,contrast_low,2.2690183065776637e-15,9.298630512744623e-33,1
4,B,gaussian_noise,3.3306690738754696e-16,7.679645653244103e-33,1
4,B,gaussian_blur,5.620504062164855e-16,9.009741021086538e-33,1
5,A,clean,1.3877787807814457e-16,4.092601131822876e-34,1
5,A,brightness_dark,5.551115123125783e-16,4.286698759030652e-33,1
5,A,contrast_low,8.326672684688674e-16,2.939601040897924e-32,1
5,A,gaussian_noise,1.5543122344752192e-15,6.254607957674454e-32,1
5,A,gaussian_blur,4.440892098500626e-16,1.807515345462802e-32,1
5,B,clean,1.3877787807814457e-16,4.092601131822876e-34,1
5,B,brightness_dark,1.2212453270876722e-15,1.389227435666199e-32,1
5,B,contrast_low,6.106226635438361e-16,2.625433718719756e-32,1
5,B,gaussian_noise,1.7183731160566681e-15,1.507642034590633e-32,1
5,B,gaussian_blur,9.992007221626409e-16,9.539371755793028e-33,1
6,A,clean,1.0547118733938987e-15,3.0732124307897885e-32,1
6,A,brightness_dark,1.4617810312467265e-15,1.76764257708291e-32,1
6,A,contrast_low,1.1102230246251565e-15,3.879545131725038e-32,1
6,A,gaussian_noise,5.551115123125783e-16,3.793179210781423e-33,1
6,A,gaussian_blur,7.771561172376096e-16,6.090302059293918e-32,1
6,B,clean,1.0547118733938987e-15,3.0732124307897885e-32,1
6,B,brightness_dark,7.771561172376096e-16,1.6370404527291505e-32,1
6,B,contrast_low,2.7755575615628914e-15,1.070470983542421e-31,1
6,B,gaussian_noise,2.1510571102112408e-16,6.802444748886479e-33,1
6,B,gaussian_blur,8.743006318923108e-16,6.007246330442218e-32,1
7,A,clean,1.8041124150158794e-16,5.2301035052265874e-33,1
7,A,brightness_dark,1.0130785099704553e-15,1.0277394129013293e-31,1
7,A,contrast_low,8.575177657322316e-16,6.592849404157462e-32,1
7,A,gaussian_noise,9.43689570931383e-16,5.239883618225429e-32,1
7,A,gaussian_blur,9.159339953157541e-16,1.047465148503608e-31,1
7,B,clean,1.8041124150158794e-16,5.2301035052265874e-33,1
7,B,brightness_dark,9.992007221626409e-16,1.6202036120434527e-31,1
7,B,contrast_low,1.2432047206924397e-15,1.2920732977684774e-31,1
7,B,gaussian_noise,4.555386368545358e-16,7.92189152906156e-33,1
7,B,gaussian_blur,3.7470027081099033e-16,1.755154125099774e-32,1
8,A,clean,1.6653345369377348e-15,1.456484520442847e-32,1
8,A,brightness_dark,8.883382309508496e-16,1.2520049271286086e-32,1
8,A,contrast_low,8.881784197001252e-16,1.4698757520874146e-32,1
8,A,gaussian_noise,1.1379786002407855e-15,1.862283978256314e-32,1
8,A,gaussian_blur,3.0531133177191805e-16,5.8259380817713885e-33,1
8,B,clean,1.6653345369377348e-15,1.456484520442847e-32,1
8,B,brightness_dark,1.4995204289015099e-15,3.9290475498268664e-32,1
8,B,contrast_low,7.771561172376096e-16,1.1460787801873106e-32,1
8,B,gaussian_noise,6.661338147750939e-16,2.517100159347974e-32,1
8,B,gaussian_blur,4.163336342344337e-16,5.622812657949297e-33,1
9,A,clean,8.326672684688674e-16,2.798015097330081e-32,1
9,A,brightness_dark,3.3306690738754696e-16,1.7589157070224052e-33,1
9,A,contrast_low,1.3322676295501878e-15,4.864477742346823e-33,1
9,A,gaussian_noise,3.318129848147804e-15,1.4942808956014466e-31,1
9,A,gaussian_blur,2.220446049250313e-16,5.89816045468591e-33,1
9,B,clean,8.326672684688674e-16,2.798015097330081e-32,1
9,B,brightness_dark,1.0858287946472513e-15,2.2948658993589157e-32,1
9,B,contrast_low,1.0935613653472113e-15,3.269266080597333e-32,1
9,B,gaussian_noise,7.216449660063518e-16,1.832040859598358e-32,1
9,B,gaussian_blur,1.0027945577168555e-15,5.736863821843479e-32,1
10,A,clean,2.220446049250313e-15,5.096642578611628e-32,1
10,A,brightness_dark,1.582067810090848e-15,1.1136689903419191e-31,1
10,A,contrast_low,8.326672684688674e-16,8.961592772476857e-33,1
10,A,gaussian_noise,1.3322676295501878e-15,3.114138442108017e-32,1
10,A,gaussian_blur,7.494005416219807e-16,5.815405652388021e-33,1
10,B,clean,2.220446049250313e-15,5.096642578611628e-32,1
10,B,brightness_dark,8.049116928532385e-16,9.521918015672018e-32,1
10,B,contrast_low,2.0539125955565396e-15,8.143072546112282e-33,1
10,B,gaussian_noise,4.440892098500626e-16,9.62964972193618e-34,1
10,B,gaussian_blur,1.0269562977782698e-15,5.995961584674324e-33,1
11,A,clean,8.326672684688674e-16,5.472650307597855e-32,1
11,A,brightness_dark,4.996003610813204e-16,1.5371328368640626e-32,1
11,A,contrast_low,8.881784197001252e-16,1.9211151195262678e-32,1
11,A,gaussian_noise,5.551115123125783e-17,1.6370404527291505e-33,1
11,A,gaussian_blur,1.0547118733938987e-15,1.5110124119933107e-31,1
11,B,clean,8.326672684688674e-16,5.472650307597855e-32,1
11,B,brightness_dark,4.440892098500626e-16,5.248159098455218e-33,1
11,B,contrast_low,8.326672684688674e-16,6.586680409804347e-32,1
11,B,gaussian_noise,3.3306690738754696e-16,9.593538535478919e-33,1
11,B,gaussian_blur,4.440892098500626e-16,3.400470058058713e-33,1
12,A,clean,4.996003610813204e-16,2.7941030521305445e-33,1
12,A,brightness_dark,1.0533617304001516e-15,1.562410667384145e-32,1
12,A,contrast_low,8.049116928532385e-16,5.177441358309749e-33,1
12,A,gaussian_noise,5.858952033074853e-16,3.7570680243241624e-33,1
12,A,gaussian_blur,9.992007221626409e-16,9.10001898722969e-33,1
12,B,clean,4.996003610813204e-16,2.7941030521305445e-33,1
12,B,brightness_dark,8.049116928532385e-16,4.9487371774137646e-33,1
12,B,contrast_low,1.619625893446237e-15,2.4024170496907904e-31,1
12,B,gaussian_noise,3.0531133177191805e-16,8.907425992790966e-34,1
12,B,gaussian_blur,7.771561172376096e-16,1.1200486332827019e-32,1
13,A,clean,2.636779683484747e-16,2.2870418089598426e-34,1
13,A,brightness_dark,3.3306690738754696e-16,1.9572263059835284e-32,1
13,A,contrast_low,1.9012569296705806e-15,3.9475545328862125e-32,1
13,A,gaussian_noise,1.3877787807814457e-15,2.1576433908213252e-32,1
13,A,gaussian_blur,4.85722573273506e-16,1.2723174695108177e-32,1
13,B,clean,2.636779683484747e-16,2.2870418089598426e-34,1
13,B,brightness_dark,1.4155343563970746e-15,6.801541969225048e-32,1
13,B,contrast_low,1.3600232051658168e-15,1.3686139667301795e-32,1
13,B,gaussian_noise,6.721682102416756e-16,1.5401421024021677e-32,1
13,B,gaussian_blur,1.2906342661267445e-15,5.2963073470648986e-33,1
14,A,clean,1.1297440078903828e-15,8.476499167734322e-32,1
14,A,brightness_dark,1.2212453270876722e-15,4.979130759348626e-32,1
14,A,contrast_low,4.440892098500626e-16,1.0851787688599095e-32,1
14,A,gaussian_noise,7.22967555498455e-16,3.8363621712532307e-32,1
14,A,gaussian_blur,8.881784197001252e-16,9.131315348825982e-32,1
14,B,clean,1.1297440078903828e-15,8.476499167734322e-32,1
14,B,brightness_dark,1.7763568394002505e-15,4.562422713959528e-31,1
14,B,contrast_low,1.0130785099704553e-15,1.4693980311832404e-31,1
14,B,gaussian_noise,8.881784197001252e-16,3.504289719123338e-33,1
14,B,gaussian_blur,8.15591843976397e-16,9.211361812139576e-32,1
15,A,clean,0.0,0.0,1
15,A,brightness_dark,0.0,0.0,1
15,A,contrast_low,0.0,0.0,1
15,A,gaussian_noise,0.0,0.0,1
15,A,gaussian_blur,1.3322676295501878e-15,1.5894940572270906e-32,1
15,B,clean,0.0,0.0,1
15,B,brightness_dark,1.9984014443252818e-15,3.5707944875154595e-32,1
15,B,contrast_low,2.886579864025407e-15,5.705567460247186e-33,1
15,B,gaussian_noise,4.440892098500626e-16,7.23728361914266e-34,1
15,B,gaussian_blur,8.881784197001252e-16,1.3240768367662246e-32,1
16,A,clean,1.2211485016004747e-15,3.159277425179593e-32,1
16,A,brightness_dark,1.2906342661267445e-15,6.25566120061279e-32,1
16,A,contrast_low,9.645062526431047e-16,1.180895982463186e-31,1
