client,bank,context,pi,iterations,updates,trace,converged,cap_hit,direct_KKT,objective,initial_objective,active_classes,clipped_coordinates,L1_change,differs_from_BBSE
0,A,clean,"[0.0, 0.11721363852873878, 0.0, 0.14768433747703114, 0.0, 0.0, 0.20959006436734073, 0.47696329536192694, 0.0, 0.0485486642649704]",2,2,"[{'active': [3, 7, 9], 'minimum': 0.19382043608762334, 'action': 'add', 'coordinate': 6}, {'active': [3, 6, 7, 9], 'minimum': 0.1229444545545022, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.0485486642649704, 'action': 'accept'}]",True,False,7.993605777301127e-15,0.00020135998395897945,0.0025883625389112003,5,0,0.9438198221385173,True
0,A,brightness_dark,"[0.0, 0.06448907381111013, 0.0, 0.2868739522910033, 0.0, 0.0, 0.09390717457991737, 0.4888544344884962, 0.0, 0.06587536482949474]",2,2,"[{'active': [3, 7, 9], 'minimum': 0.14197764007102975, 'action': 'add', 'coordinate': 6}, {'active': [3, 6, 7, 9], 'minimum': 0.10062257817057008, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.06448907381111013, 'action': 'accept'}]",True,False,2.1760371282653068e-14,0.0003009915643457914,0.0017776251014162499,5,0,0.39417175890777345,True
0,A,contrast_low,"[0.0, 0.18549047891727355, 0.0, 0.15698167812056596, 0.0, 0.0, 0.3171787810611866, 0.2996654890504573, 0.0, 0.04068357285054702]",4,4,"[{'active': [6, 7, 9], 'minimum': 0.2681702559838435, 'action': 'add', 'coordinate': 1}, {'active': [1, 6, 7, 9], 'minimum': 0.09875908386589005, 'action': 'add', 'coordinate': 5}, {'active': [1, 5, 6, 7, 9], 'minimum': 0.10852207833150374, 'action': 'add', 'coordinate': 3}, {'active': [1, 3, 5, 6, 7, 9], 'minimum': -0.03220169180661969, 'action': 'remove', 'coordinate': 5}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.04068357285054702, 'action': 'accept'}]",True,False,3.042011087472929e-14,0.0002697982952223886,0.0017430803613375507,5,0,0.9205490612493483,True
0,A,gaussian_noise,"[0.0, 0.0, 0.0, 0.03861302234612507, 0.0, 0.0, 0.25392865808724163, 0.48579028800286495, 0.0, 0.2216680315637687]",0,0,"[{'active': [3, 6, 7, 9], 'minimum': 0.03861302234612507, 'action': 'accept'}]",True,False,4.440892098500626e-16,0.00012405872935599237,0.0036298420669190197,4,0,0.6874778746549695,True
0,A,gaussian_blur,"[0.0, 0.19033918896283808, 0.0, 0.07118164186663911, 0.0, 0.0, 0.2292986275238258, 0.4654782301418354, 0.0, 0.043702311504844715]",1,1,"[{'active': [3, 6, 7, 9], 'minimum': 0.030829096635353465, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.043702311504844715, 'action': 'accept'}]",True,False,1.687538997430238e-14,0.0001620244981922446,0.002364319253471716,5,0,0.9862298534164875,True
0,B,clean,"[0.0, 0.11721363852873878, 0.0, 0.14768433747703114, 0.0, 0.0, 0.20959006436734073, 0.47696329536192694, 0.0, 0.0485486642649704]",2,2,"[{'active': [3, 7, 9], 'minimum': 0.19382043608762334, 'action': 'add', 'coordinate': 6}, {'active': [3, 6, 7, 9], 'minimum': 0.1229444545545022, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.0485486642649704, 'action': 'accept'}]",True,False,7.993605777301127e-15,0.00020135998395897945,0.0025883625389112003,5,0,0.9438198221385173,True
0,B,brightness_dark,"[0.0, 0.06402985819718054, 0.0, 0.28421549362873044, 0.0, 0.0, 0.09554391510921434, 0.4910256271028812, 0.0, 0.06518510596200144]",2,2,"[{'active': [3, 7, 9], 'minimum': 0.1407960113718213, 'action': 'add', 'coordinate': 6}, {'active': [3, 6, 7, 9], 'minimum': 0.10207149646767005, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.06402985819718054, 'action': 'accept'}]",True,False,7.993605777301127e-15,0.0003023761926351405,0.0017546068474456002,5,0,0.38814806728456785,True
0,B,contrast_low,"[0.0, 0.17890911399577902, 0.0, 0.16689758096618235, 0.0, 0.0, 0.3150023083553153, 0.296466831846094, 0.0, 0.042724164836627665]",4,4,"[{'active': [6, 7, 9], 'minimum': 0.2625780477324373, 'action': 'add', 'coordinate': 5}, {'active': [5, 6, 7, 9], 'minimum': 0.14525157071613842, 'action': 'add', 'coordinate': 1}, {'active': [1, 5, 6, 7, 9], 'minimum': 0.11689475015722905, 'action': 'add', 'coordinate': 3}, {'active': [1, 3, 5, 6, 7, 9], 'minimum': -0.1501309441125045, 'action': 'remove', 'coordinate': 5}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.042724164836627665, 'action': 'accept'}]",True,False,1.6653345369377348e-15,0.000280819032951634,0.0020127466141488565,5,0,0.9100307327239724,True
0,B,gaussian_noise,"[0.0, 0.0, 0.0, 0.03559187250921017, 0.0, 0.0, 0.2593874854647358, 0.48634812532116056, 0.0, 0.21867251670489624]",0,0,"[{'active': [3, 6, 7, 9], 'minimum': 0.03559187250921017, 'action': 'accept'}]",True,False,2.6645352591003757e-15,0.00011935769718294164,0.003484171530411017,4,0,0.6910217941944055,True
0,B,gaussian_blur,"[0.0, 0.1958687622904023, 0.0, 0.06825712423271746, 0.0, 0.0, 0.22604985538353262, 0.46736732633663713, 0.0, 0.0424569317567034]",1,1,"[{'active': [3, 6, 7, 9], 'minimum': 0.027499244773892373, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.0424569317567034, 'action': 'accept'}]",True,False,7.105427357601002e-15,0.0001611131092887099,0.0025915877042240643,5,0,0.9973947475070133,True
