client,bank,context,iterations,updates,trace,converged,cap_hit,direct_KKT,objective,initial_objective,active_classes,clipped_coordinates,L1_change,differs_from_BBSE,reference_KKT,reference_objective,prevalence_error,objective_error,old_PGD_cap,old_PGD_iterations,old_PGD_prevalence_error,reference_agreement
0,A,clean,2,2,"[{'active': [3, 7, 9], 'minimum': 0.19382043608762334, 'action': 'add', 'coordinate': 6}, {'active': [3, 6, 7, 9], 'minimum': 0.1229444545545022, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.0485486642649704, 'action': 'accept'}]",True,False,7.993605777301127e-15,0.00020135998395897945,0.0025883625389112003,5,0,0.9438198221385173,True,1.7943545954635098e-17,0.0002013599839589783,1.176836406102666e-14,1.1384122811097797e-18,False,13800,7.325943879310515e-10,True
0,A,brightness_dark,2,2,"[{'active': [3, 7, 9], 'minimum': 0.14197764007102975, 'action': 'add', 'coordinate': 6}, {'active': [3, 6, 7, 9], 'minimum': 0.10062257817057008, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.06448907381111013, 'action': 'accept'}]",True,False,2.1760371282653068e-14,0.0003009915643457914,0.0017776251014162499,5,0,0.39417175890777345,True,2.2442984970449942e-17,0.0003009915643457778,1.5432100042289676e-14,1.360673726469308e-17,True,20000,9.713019001600376e-08,True
0,A,contrast_low,4,4,"[{'active': [6, 7, 9], 'minimum': 0.2681702559838435, 'action': 'add', 'coordinate': 1}, {'active': [1, 6, 7, 9], 'minimum': 0.09875908386589005, 'action': 'add', 'coordinate': 5}, {'active': [1, 5, 6, 7, 9], 'minimum': 0.10852207833150374, 'action': 'add', 'coordinate': 3}, {'active': [1, 3, 5, 6, 7, 9], 'minimum': -0.03220169180661969, 'action': 'remove', 'coordinate': 5}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.04068357285054702, 'action': 'accept'}]",True,False,3.042011087472929e-14,0.0002697982952223886,0.0017430803613375507,5,0,0.9205490612493483,True,4.185020385794047e-17,0.00026979829522233624,2.99482660892636e-14,5.2366964931049864e-17,True,20000,0.0021014827149848994,True
0,A,gaussian_noise,0,0,"[{'active': [3, 6, 7, 9], 'minimum': 0.03861302234612507, 'action': 'accept'}]",True,False,4.440892098500626e-16,0.00012405872935599237,0.0036298420669190197,4,0,0.6874778746549695,True,1.6506978076091805e-17,0.00012405872935599232,2.886579864025407e-15,5.421010862427522e-20,False,6441,3.1372095199433403e-10,True
0,A,gaussian_blur,1,1,"[{'active': [3, 6, 7, 9], 'minimum': 0.030829096635353465, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.043702311504844715, 'action': 'accept'}]",True,False,1.687538997430238e-14,0.0001620244981922446,0.002364319253471716,5,0,0.9862298534164875,True,1.1133401058710524e-17,0.00016202449819224547,1.3697376566312869e-14,8.673617379884035e-19,True,20000,1.2226795201297769e-09,True
0,B,clean,2,2,"[{'active': [3, 7, 9], 'minimum': 0.19382043608762334, 'action': 'add', 'coordinate': 6}, {'active': [3, 6, 7, 9], 'minimum': 0.1229444545545022, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.0485486642649704, 'action': 'accept'}]",True,False,7.993605777301127e-15,0.00020135998395897945,0.0025883625389112003,5,0,0.9438198221385173,True,1.7943545954635098e-17,0.0002013599839589783,1.176836406102666e-14,1.1384122811097797e-18,False,13800,7.325943879310515e-10,True
0,B,brightness_dark,2,2,"[{'active': [3, 7, 9], 'minimum': 0.1407960113718213, 'action': 'add', 'coordinate': 6}, {'active': [3, 6, 7, 9], 'minimum': 0.10207149646767005, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.06402985819718054, 'action': 'accept'}]",True,False,7.993605777301127e-15,0.0003023761926351405,0.0017546068474456002,5,0,0.38814806728456785,True,6.028164079019405e-17,0.0003023761926351362,1.9539925233402755e-14,4.336808689942018e-18,True,20000,5.8648948114692345e-08,True
0,B,contrast_low,4,4,"[{'active': [6, 7, 9], 'minimum': 0.2625780477324373, 'action': 'add', 'coordinate': 5}, {'active': [5, 6, 7, 9], 'minimum': 0.14525157071613842, 'action': 'add', 'coordinate': 1}, {'active': [1, 5, 6, 7, 9], 'minimum': 0.11689475015722905, 'action': 'add', 'coordinate': 3}, {'active': [1, 3, 5, 6, 7, 9], 'minimum': -0.1501309441125045, 'action': 'remove', 'coordinate': 5}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.042724164836627665, 'action': 'accept'}]",True,False,1.6653345369377348e-15,0.000280819032951634,0.0020127466141488565,5,0,0.9100307327239724,True,2.47198095326695e-17,0.00028081903295163694,9.103828801926284e-15,2.927345865710862e-18,True,20000,5.897201313449785e-06,True
0,B,gaussian_noise,0,0,"[{'active': [3, 6, 7, 9], 'minimum': 0.03559187250921017, 'action': 'accept'}]",True,False,2.6645352591003757e-15,0.00011935769718294164,0.003484171530411017,4,0,0.6910217941944055,True,1.8126505071242027e-17,0.00011935769718294147,1.9984014443252818e-15,1.7618285302889447e-19,False,6490,3.148207042280582e-10,True
0,B,gaussian_blur,1,1,"[{'active': [3, 6, 7, 9], 'minimum': 0.027499244773892373, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.0424569317567034, 'action': 'accept'}]",True,False,7.105427357601002e-15,0.0001611131092887099,0.0025915877042240643,5,0,0.9973947475070133,True,1.802486111757151e-17,0.0001611131092887103,1.1608769501236793e-14,4.0657581468206416e-19,True,20000,3.123123031023578e-09,True
