client,bank,context,salt,valid_positive_P00_gain,P00_gain_contribution_exact,actual_macro_contribution_exact,capture_deficit_actual,capture_deficit_null_median,capture_deficit_null_p95,capture_deficit_percentile,capture_deficit_above_p95
0,A,clean,T013-S0,True,2628625/26481234,1965100/4413539,0.3311198820676209,0.0,1.0691285367825385,0.8515625,False
1,A,clean,T013-S0,True,4129/28275,62191/260130,0.0,0.0,0.9549843629892489,0.78125,False
2,A,clean,T013-S0,False,-5/42978,865/42978,,,,,
3,A,clean,T013-S0,True,95/758,125/379,0.0,0.0,0.0,0.984375,False
4,A,clean,T013-S0,True,2128/18775,3129/18775,0.0,0.0,0.9411810776942355,0.9140625,False
5,A,clean,T013-S0,True,409752/4765925,9287329/28595550,0.9153784891023513,0.0,0.9153784891023513,0.9921875,False
6,A,clean,T013-S0,False,0,39085745/47649017,,,,,
7,A,clean,T013-S0,True,113/17043,1642/5681,-1.0884955752212389,-1.088495575221239,3.0088495575221237,0.5625,False
8,A,clean,T013-S0,True,20083/56850,2037701/3399630,0.0,0.0,0.0,0.953125,False
9,A,clean,T013-S0,True,39384554/371179497,12216575/32276478,0.0,0.0,0.8747570557736923,0.7890625,False
10,A,clean,T013-S0,True,106422718/3197590617,1448200771/6395181234,2.1902412791223766,0.0,4.383257022245946,0.8046875,False
11,A,clean,T013-S0,True,22565/1133259,903335/1133259,0.0,0.0,0.0,0.9921875,False
12,A,clean,T013-S0,True,15429575/193044358,4233863801/13320060702,0.0,0.0,0.9990226561651893,0.796875,False
13,A,clean,T013-S0,True,30/299,9299/22425,0.0,0.0,0.06666666666666665,0.609375,False
14,A,clean,T013-S0,True,30/503,49852/150397,0.0,0.0,0.0,1.0,False
15,A,clean,T013-S0,True,15/746,10/373,-0.3333333333333333,-0.33333333333333326,0.6666666666666667,0.0,False
16,A,clean,T013-S0,False,0,10619558/114295441,,,,,
17,A,clean,T013-S0,False,-11932/224549,73388/224549,,,,,
18,A,clean,T013-S0,False,0,5/758,,,,,
19,A,clean,T013-S0,True,2379500/71870149,21896795/71870149,0.0,0.0,0.0,1.0,False
20,A,clean,T013-S0,False,0,1190/1527,,,,,
21,A,clean,T013-S0,True,5/373,5/373,0.0,0.0,1.0,0.9375,False
22,A,clean,T013-S0,False,-5058/150397,108172/150397,,,,,
23,A,clean,T013-S0,True,16985620/429505161,49384985/143168387,1.341345502842993,0.0,0.0,0.9921875,True
24,A,clean,T013-S0,True,8468853/182298350,21623/650325,1.1396931450038073,1.0007281584255467,1.1396931450038073,0.9609375,False
25,A,clean,T013-S0,False,0,9097663/114000926,,,,,
26,A,clean,T013-S0,False,0,214454/152191,,,,,
27,A,clean,T013-S0,True,58/299,362/299,0.3103448275862069,0.0,0.31034482758620685,1.0,True
28,A,clean,T013-S0,False,-11285/561678,282619/7020975,,,,,
29,A,clean,T013-S0,True,174/299,58/23,0.0,0.0,0.25287356321839083,0.8984375,False
30,A,clean,T013-S0,True,7071/25150,7517/12575,0.7873002404186112,0.0,0.5040305473058972,1.0,True
31,A,clean,T013-S0,True,105595/1133259,318079288/338844441,0.0,0.0,0.557112079170408,0.9453125,False
32,A,clean,T013-S0,True,1565208149/21475258050,4991860054/10737629025,0.0,0.0,0.17447200650243766,0.9453125,False
33,A,clean,T013-S0,False,-9050/280839,61195/187226,,,,,
34,A,clean,T013-S0,True,20/1509,634556555/3653249263,0.0,1.0,3.5091093117408905,0.3984375,False
35,A,clean,T013-S0,False,0,172212/224549,,,,,
36,A,clean,T013-S0,True,5/754,231/17342,1.9875573018991486,0.0,1.9875573018991486,1.0,False
37,A,clean,T013-S0,True,22998415/576828831,103020260/576828831,0.0,1.8283212125705184,3.820484150755606,0.3828125,False
38,A,clean,T013-S0,False,-5/751,80/751,,,,,
39,A,clean,T013-S0,True,40/503,940/1509,0.0,0.0,0.0,0.9921875,False
40,A,clean,T013-S0,False,0,10769/537225,,,,,
41,A,clean,T013-S0,False,-64263281/9701864094,564271/6459297,,,,,
42,A,clean,T013-S0,True,162923/13153953,409749175/342002778,1.0,0.0,6.767639408706048,0.796875,False
43,A,clean,T013-S0,True,16815/282734,42925/282734,0.0,0.0,0.0,0.96875,False
44,A,clean,T013-S0,True,5/758,98141665/869256966,1.0093209054593875,1.0,4.027962716378163,0.7890625,False
45,A,clean,T013-S0,True,10/1509,17535/377753,0.0,0.0,0.0,0.984375,False
46,A,clean,T013-S0,True,14/75,4/15,0.0,0.0,0.0,0.9765625,False
47,A,clean,T013-S0,False,0,15053882/112948147,,,,,
48,A,clean,T013-S0,True,9345/281242,5605/140621,0.3980907770300317,0.5997690410545055,1.0,0.203125,False
49,A,clean,T013-S0,True,340/17043,5147/17043,1.0,3.6735294117647057,4.0323529411764705,0.2421875,False
50,A,clean,T013-S0,True,1501/25150,18074813/56662950,0.9890478068504311,0.0,0.9890478068504311,1.0,False
51,A,clean,T013-S0,False,0,0,,,,,
52,A,clean,T013-S0,False,0,83345/1143822,,,,,
53,A,clean,T013-S0,True,467/17342,4051/17342,0.48822269807280516,0.0,0.48822269807280516,0.953125,False
54,A,clean,T013-S0,True,5408098935/73163811682,37182086705/73163811682,0.5492671246160674,0.0,0.5492671246160674,0.984375,False
55,A,clean,T013-S0,True,7615/569258,857787155/859010322,0.0,0.0,0.0,0.9765625,False
56,A,clean,T013-S0,False,0,21293425/189716007,,,,,
57,A,clean,T013-S0,False,-73786/2891629,44247243/144581450,,,,,
58,A,clean,T013-S0,False,0,2/299,,,,,
59,A,clean,T013-S0,True,30040343/4326029175,67749351/221847650,0.0,0.0,1.0,0.5703125,False
60,A,clean,T013-S0,True,75/379,575/758,0.0,0.0,0.0,0.96875,False
61,A,clean,T013-S0,True,1133/56850,426383/21432450,0.33451015004413065,0.0,0.6690203000882613,0.8515625,False
62,A,clean,T013-S0,True,527/76350,349012/4822775,1.9316888045540797,0.0,1.9316888045540797,0.9921875,False
63,A,clean,T013-S0,False,0,9429473/18858450,,,,,
64,A,clean,T013-S0,True,852829453/14162695950,1796353963/7081347975,0.0009077336591469714,0.0,1.5525020252789041,0.640625,False
65,A,clean,T013-S0,True,19/50,46/75,0.0,0.0,0.0,0.9921875,False
66,A,clean,T013-S0,True,20501830/161260928517,9492765/288223286,52.5107046541699,52.5107046541699,207.9001872028009,0.75,False
67,A,clean,T013-S0,True,3481543087/32754962630,3083634/12522925,0.0,0.0,0.8752626101086461,0.8515625,False
68,A,clean,T013-S0,True,43006/494247,3943/8671,0.0,0.0,1.3074803515788496,0.5390625,False
69,A,clean,T013-S0,True,49551049/497212482,74267266/248606241,0.0,0.0,0.8005099750764106,0.6328125,False
70,A,clean,T013-S0,True,3775/142883,853693187/2468018059,0.0,0.0,0.0,0.984375,False
71,A,clean,T013-S0,True,1/56325,1501/56325,0.0,-376.51340482573727,0.0,0.9765625,False
72,A,clean,T013-S0,True,764649/14231450,11076766/21347175,0.3797738134316094,0.0,0.3797738134316093,0.9765625,True
73,A,clean,T013-S0,True,656103593/2515717230,78949162/110338475,0.0,0.0,0.9741214293273959,0.90625,False
74,A,clean,T013-S0,False,0,2237298/2891629,,,,,
75,A,clean,T013-S0,True,340661/12918594,3198959/6459297,5.826563651254473,1.0,5.826563651254473,1.0,False
76,A,clean,T013-S0,False,0,383076289/662030850,,,,,
77,A,clean,T013-S0,True,8820/190637,88340/190637,0.0,0.0,0.0,0.9921875,False
78,A,clean,T013-S0,True,1/6,30037/112650,0.0,0.0,1.04,0.9140625,False
79,A,clean,T013-S0,True,20/1509,26938/451191,0.0,0.0,0.0,0.9609375,False
80,A,clean,T013-S0,False,0,443215/1146777,,,,,
81,A,clean,T013-S0,True,5/754,15/754,0.0,0.0,0.0,0.953125,False
82,A,clean,T013-S0,True,767/5510,153421/537225,0.0,0.0,0.9047236987263063,0.8984375,False
83,A,clean,T013-S0,True,3653465/32276478,11316710/5379413,0.0,0.0,0.35323453214961686,0.890625,False
84,A,clean,T013-S0,False,-20060/768081,811870/768081,,,,,
85,A,clean,T013-S0,True,4297/76350,35716/38175,0.0,0.0,1.1499069117989276,0.84375,False
86,A,clean,T013-S0,True,2518/37725,1268027/38404050,1.0,0.0,1.0,1.0,False
87,A,clean,T013-S0,False,-94631/13912275,3448622/13912275,,,,,
88,A,clean,T013-S0,False,0,589167/2891629,,,,,
89,A,clean,T013-S0,True,98925640559/1343841070975,1795084822/10808373225,0.9095582189365361,0.0,0.9095582189365361,0.984375,False
90,A,clean,T013-S0,True,232224269/3475641975,23498974243/79939765425,0.0,0.0,0.8053894035510991,0.8671875,False
91,A,clean,T013-S0,True,275/42978,1010/21489,-0.03636363636363636,1.018181818181818,3.1454545454545455,0.203125,False
92,A,clean,T013-S0,True,6022/224549,279122/556491,-0.5011624045167719,0.0,1.0,0.0,False
93,A,clean,T013-S0,True,280523/42268733,3374931/42268733,-1.0078817066693284,-1.0078817066693282,1.0,0.0,False
94,A,clean,T013-S0,True,27799/44850,517559/451191,0.0,0.0,0.0,0.9765625,False
95,A,clean,T013-S0,True,102697/7609550,946071/5666050,0.0,0.0,0.006751252065136515,0.9453125,False
96,A,clean,T013-S0,True,60769/8674887,268/5681,2.8697033026707697,1.0,2.8697033026707697,1.0,False
97,A,clean,T013-S0,True,40/1509,670/1509,0.0,0.0,0.9124999999999979,0.9296875,False
98,A,clean,T013-S0,True,5099/76350,1726440662/10808373225,0.0,0.0,0.6499999999999915,0.9453125,False
99,A,clean,T013-S0,True,488682650903/3493510782450,3479208297369/12733593649075,0.0,0.0,0.8579331780456834,0.71875,False
0,A,clean,T013-S1,True,2628625/26481234,482057/1151358,0.5986700271054258,0.0,0.9539041514099565,0.8828125,False
1,A,clean,T013-S1,True,4129/28275,62191/260130,0.0,0.0,0.9549843629892489,0.765625,False
2,A,clean,T013-S1,True,5/377,865/42978,0.5,1.5087719298245614,1.5175438596491229,0.3515625,False
3,A,clean,T013-S1,True,95/758,125/379,0.0,0.0,0.0,0.984375,False
4,A,clean,T013-S1,True,2128/18775,3129/18775,0.0,0.0,0.9411810776942355,0.8984375,False
5,A,clean,T013-S1,True,409752/4765925,9287329/28595550,0.9153784891023513,0.0,0.9153784891023513,0.9921875,False
6,A,clean,T013-S1,False,0,39085745/47649017,,,,,
7,A,clean,T013-S1,True,113/17043,1642/5681,-1.0884955752212389,-1.088495575221239,3.0088495575221237,0.53125,False
8,A,clean,T013-S1,True,20083/56850,2037701/3399630,0.0,0.0,0.0,0.953125,False
9,A,clean,T013-S1,True,39384554/371179497,12216575/32276478,0.0,0.0,0.8747570557736923,0.7890625,False
10,A,clean,T013-S1,True,106422718/3197590617,241091484/1065863539,2.1980021549534188,0.0,4.383257022245946,0.8203125,False
11,A,clean,T013-S1,True,22565/1133259,903335/1133259,0.0,0.0,0.0,0.9921875,False
12,A,clean,T013-S1,True,15429575/193044358,4233863801/13320060702,0.0,0.0,0.9990226561651893,0.796875,False
13,A,clean,T013-S1,True,30/299,9299/22425,0.0,0.0,0.06666666666666665,0.59375,False
14,A,clean,T013-S1,True,30/503,49852/150397,0.0,0.0,0.0,1.0,False
15,A,clean,T013-S1,True,10/373,10/373,0.0,0.0,0.41249999999999787,0.7578125,False
16,A,clean,T013-S1,False,0,10619558/114295441,,,,,
17,A,clean,T013-S1,False,-11932/224549,73388/224549,,,,,
18,A,clean,T013-S1,False,0,5/758,,,,,
19,A,clean,T013-S1,True,2379500/71870149,21896795/71870149,0.0,0.0,0.0,1.0,False
20,A,clean,T013-S1,False,0,1190/1527,,,,,
21,A,clean,T013-S1,True,5/373,5/373,0.0,0.0,0.5,0.9375,False
22,A,clean,T013-S1,False,-9194/451191,108172/150397,,,,,
23,A,clean,T013-S1,True,16985620/429505161,49384985/143168387,1.341345502842993,0.0,0.0,0.984375,True
24,A,clean,T013-S1,True,8468853/182298350,21623/650325,1.1396931450038073,0.9982238838403894,1.1396931450038073,1.0,False
25,A,clean,T013-S1,False,-4/299,9097663/114000926,,,,,
26,A,clean,T013-S1,False,0,214454/152191,,,,,
27,A,clean,T013-S1,True,58/299,362/299,0.3103448275862069,0.0,0.31034482758620685,1.0,True
28,A,clean,T013-S1,False,-10/741,282619/7020975,,,,,
29,A,clean,T013-S1,True,174/299,58/23,0.0,0.0,0.25287356321839083,0.8984375,False
30,A,clean,T013-S1,True,7071/25150,1353/2515,1.0,0.0,0.5040305473058972,1.0,True
31,A,clean,T013-S1,True,105595/1133259,318079288/338844441,0.0,0.0,0.5001657275439177,0.921875,False
32,A,clean,T013-S1,True,1565208149/21475258050,4991860054/10737629025,0.0,0.0,0.17447200650243766,0.9453125,False
33,A,clean,T013-S1,False,-25/758,61195/187226,,,,,
