client,bank,context,salt,label,count,real_regret_exact,repair_regret_exact,regret_reduction_exact,recovery_fraction_exact,recovery_fraction,zero_gap,prevalence_L1_change,DU_change,actual_optimal_agreement,repair_optimal_agreement,enters_optimal_set,repaired_states,best_utility_class
0,A,clean,T013-S0,1,2,136838659/4953700800,0,136838659/4953700800,1,1.0,False,0.2171927605343249,0.007977130828705853,0.5,1.0,True,"[1, 1]",True
0,A,clean,T013-S0,6,1,136838659/4953700800,80126847914177/865775626768800,-112422153090881/1731551253537600,-112422153090881/47831542737473,-2.35037689894132,False,0.00719134207290395,0.036026245360511744,0.5,0.0,False,"[0, 0]",False
0,A,clean,T013-S0,7,17,136838659/4953700800,0,136838659/4953700800,1,1.0,False,-0.5925665602579657,-0.048538608339640396,0.5,1.0,True,"[1, 1]",False
0,A,clean,T013-S1,1,2,26344093/961685200,0,26344093/961685200,1,1.0,False,0.2171927605343249,0.00785474576106214,0.5,1.0,True,"[1, 1]",True
0,A,clean,T013-S1,6,1,26344093/961685200,232718582111441/2515389963905280,-819064019292229/12576949819526400,-819064019292229/344528891264976,-2.3773449485903626,False,0.00719134207290395,0.03592178365919009,0.5,0.0,False,"[0, 0]",False
0,A,clean,T013-S1,7,17,26344093/961685200,0,26344093/961685200,1,1.0,False,-0.5925665602579657,-0.048554352484804414,0.5,1.0,True,"[1, 1]",False
0,A,clean,T013-S2,1,2,8188657/303083880,0,8188657/303083880,1,1.0,False,0.2171927605343249,0.007904372485581582,0.5,1.0,True,"[1, 1]",True
0,A,clean,T013-S2,6,1,8188657/303083880,107247090794376119/1159440263499658800,-25307191930809683/386480087833219600,-75921575792429049/31325515001947070,-2.4236337626918525,False,0.00719134207290395,0.03584621753068737,0.5,0.0,False,"[0, 0]",False
0,A,clean,T013-S2,7,17,8188657/303083880,0,8188657/303083880,1,1.0,False,-0.5925665602579657,-0.04853909157779948,0.5,1.0,True,"[1, 1]",False
0,A,clean,T013-S3,1,2,4904113/182891200,0,4904113/182891200,1,1.0,False,0.2171927605343249,0.007947755486153757,0.5,1.0,True,"[1, 1]",True
