client,bank,context,label,count,weight,delta_d,delta_L1,delta_L2
0,A,brightness_dark,1,2,0.1,"[0.009497746606985859, -0.05571457948158165, 0.00010896785365797565, 0.017219767994314815, 0.00020153467890180778, 0.010115162827429672, -0.030643489501770774, 0.007615687578442928, 0.040676291137208304, 0.000922910306411364]",0.17271613796670515,0.07902939672484893
0,A,brightness_dark,6,1,0.05,"[-0.0012070410485780104, 0.0017643085396291565, -0.03287248189294617, -0.005778892676993358, 0.0017763402486371573, 0.02907606239613561, -0.005942788324842518, 0.01546933979824558, -0.003118399666291745, 0.0008335526270043083]",0.0978392072193036,0.04745708189049686
0,A,brightness_dark,7,17,0.85,"[0.000980023126345226, -0.01526719536081779, 0.000636227817314261, 0.013523079924614448, -0.004719210607724046, 0.019728700406146084, -0.024978504444102434, 0.021075700442377804, -0.004521962601155394, -0.006456858702998086]",0.11188746343359557,0.044261368572940954
0,A,contrast_low,1,2,0.1,"[0.0029709004435683126, -0.005039212238771573, -0.015150297915399298, -0.0057246560996367934, -0.005679599923607329, -0.004828009232492684, -0.03872714875012771, -0.0007722986429136644, 0.07233323175634768, 0.0006170906030332109]",0.15184244560589827,0.08417218284502866
0,A,contrast_low,6,1,0.05,"[0.005155149907024061, 0.0253082037909252, -0.06390026788423933, -0.06115063901651477, 0.00881238964257482, -0.029376578682003593, 0.0929042612777049, -0.0050034499061547555, 0.01944031007787615, 0.007810620792807173]",0.31886187097782476,0.1361085410669643
0,A,contrast_low,7,17,0.85,"[0.003661489898249562, 0.023397076336950803, -0.0212695303891344, -0.010780129774075387, -0.009523690494275927, 0.00919665763966488, -0.01822864892832282, 0.027473862376031208, 0.0004265732916372139, -0.004353659956725013]",0.1283113190850672,0.04910138570432967
0,A,gaussian_noise,1,2,0.1,"[0.010321653359999822, -0.12918369101997673, 0.006702269496498398, 0.0075313526147849676, 0.0026160711390762195, 0.0021542586561848834, 0.07131582300292968, -0.0023171785319066537, 0.0332065890374538, -0.00234714775504425]",0.26769603461385544,0.15201181363901778
0,A,gaussian_noise,6,1,0.05,"[0.0014269651289648393, -0.011877345286253428, 0.05690944994800637, -0.017982340175949407, 0.004137438068664578, -0.0053720325731362595, -0.005279825599058596, -0.01765455894787237, -0.0018356619636981722, -0.002472088599667299]",0.1249477062912713,0.06403261377411666
0,A,gaussian_noise,7,17,0.85,"[-0.000288386299292797, 0.018011175061408688, -0.012938011937166205, -0.009527837588206411, -0.0030764823199831426, -0.003102890148426088, -0.009478477377692474, 0.0073927412482676785, 0.010062377622750876, 0.002945791738339887]",0.07682417134153426,0.02926044079356919
0,A,gaussian_blur,1,2,0.1,"[-0.0014967086376033306, 0.06484523054722036, -0.005963651878710098, -0.011764566437953143, -0.0022946011487702585, -0.005259535705235517, -0.021614435265026197, -0.004081866792028195, -0.007946753284522406, -0.004423111397371025]",0.12969046109444052,0.07057338300996041
0,A,gaussian_blur,6,1,0.05,"[0.0029972346720453045, 0.004375388076340865, -0.0011394958101797192, -0.018039809546680746, -0.0011413833085295727, -0.001488259869913744, 0.0012732500338123454, 0.011597480643362176, 0.0017729325329908438, -0.00020733742324757776]",0.04403257191710289,0.022308906079693658
0,A,gaussian_blur,7,17,0.85,"[-0.0011272864854767507, 0.025136817946141296, -0.005816632955998574, -0.012295836238302327, -0.002232689237320208, -0.005862589729758831, -0.005076291186040721, -0.007187167216038223, 0.011459843114251439, 0.0030018319885429627]",0.07919698609787133,0.03279129706002999
0,B,brightness_dark,1,2,0.1,"[0.00904094081658953, -0.05399939961352729, -0.0003135107227392152, 0.01777775133861931, 0.00020266725184668165, 0.01025821782219126, -0.030393942566565704, 0.0076329243277648805, 0.03912627427947524, 0.0006680770663452448]",0.16941370580566437,0.0770224483673196
0,B,brightness_dark,6,1,0.05,"[-0.0013316024038586682, 0.0015331973259171683, -0.031024197344651727, -0.0038043176359241204, 0.0011588002323869445, 0.03234178981281213, -0.011219338115529554, 0.014717335037499765, -0.0031728046289981326, 0.000801137720346198]",0.10110452025792441,0.04880177976313062
0,B,brightness_dark,7,17,0.85,"[0.0008222588277015351, -0.0158662445150628, 0.00043205174230989685, 0.013907654776310438, -0.00462092360970813, 0.019624247971744606, -0.023987510563256736, 0.020524595174450155, -0.004151674784712789, -0.006684455019776211]",0.1106216169850333,0.043715734131622275
0,B,contrast_low,1,2,0.1,"[0.002307913934403688, 0.020123333614128602, -0.015861720597325123, -0.009697066950344065, -0.006116579005845566, -0.00629006405574147, -0.051965794207922356, -0.0021467636081917846, 0.06716149762901044, 0.0024852432478276905]",0.18415597685074078,0.08974840006486645
0,B,contrast_low,6,1,0.05,"[0.0073753652998994924, 0.024034281469377444, -0.06225187048205741, -0.05382568562198367, 0.007814711379601814, -0.024923831371824925, 0.07331014254408463, -0.00014123654168957112, 0.020521348360215623, 0.008086774964376866]",0.28228524803511146,0.11810050046416334
0,B,contrast_low,7,17,0.85,"[0.004041205527771395, 0.019776922305649952, -0.020550804408336065, -0.008979839789143906, -0.01033436748815849, 0.010817788102531624, -0.014441543513211363, 0.025875988732442172, -0.0011842068970384367, -0.005021142572506661]",0.12102380933679006,0.04515522078248812
0,B,gaussian_noise,1,2,0.1,"[0.010454390163150813, -0.13627710388999847, 0.00685843195281171, 0.008059156121030708, 0.0026758725115320564, 0.002221335500408008, 0.07671389513165672, -0.002478753946635612, 0.03460649687956793, -0.002833720423523832]",0.28317915652031583,0.16093983830854214
0,B,gaussian_noise,6,1,0.05,"[0.0021670341078383042, -0.010519999194468908, 0.059591575361578525, -0.021437210419471525, 0.00583203489969519, -0.008451633971701539, -0.005744797790973921, -0.0189775823966237, -0.00022444773835810644, -0.002234972857514288]",0.135181288738224,0.06804201516800729
0,B,gaussian_noise,7,17,0.85,"[6.799323242600089e-05, 0.01718582776268765, -0.011908146277878034, -0.00991731381241294, -0.002975840063520606, -0.003478142774016084, -0.008072381296109182, 0.007191444987290838, 0.009425859630763839, 0.002480698610768623]",0.07270364844787379,0.027719097701928715
0,B,gaussian_blur,1,2,0.1,"[-0.0009041173080660894, 0.06973567058785535, -0.005435262044311259, -0.012324910856659911, -0.002352218724955256, -0.005346087721071799, -0.026916435480658724, -0.004299024070584563, -0.0075757830299773565, -0.004581831351570177]",0.13947134117571047,0.07681667815264105
