bank,context,salt,eligible_clients,paired_residual_L1_actual_median,paired_residual_L1_null_median_median,paired_residual_L1_exceedance_fraction,paired_residual_L2_actual_median,paired_residual_L2_null_median_median,paired_residual_L2_exceedance_fraction,delta_DU_actual_median,delta_DU_null_median_median,delta_DU_exceedance_fraction,delta_regret_actual_median,delta_regret_null_median_median,delta_regret_exceedance_fraction,context_exceedance_fraction
A,brightness_dark,T013-S0,100,0.06611382996055354,0.061669454748056726,0.1,0.029871586574314678,0.0261407111804266,0.11,0.027171996121562576,0.01665925335045417,0.06,0.0,0.0,0.04,0.16
A,brightness_dark,T013-S1,100,0.06611382996055354,0.061669454748056726,0.1,0.029871586574314678,0.0261407111804266,0.11,0.027197287294129454,0.01640448949709374,0.06,0.0,0.0,0.05,0.16
A,brightness_dark,T013-S2,100,0.06611382996055354,0.061669454748056726,0.1,0.029871586574314678,0.0261407111804266,0.11,0.02703665638301934,0.01661911074653743,0.06,0.0,0.0,0.05,0.16
A,brightness_dark,T013-S3,100,0.06611382996055354,0.061669454748056726,0.1,0.029871586574314678,0.0261407111804266,0.11,0.02723340531275436,0.016646400152573047,0.06,0.0,0.0,0.04,0.16
A,contrast_low,T013-S0,100,0.09024177421379595,0.08526812210496774,0.1,0.04061545953016524,0.03728220447610871,0.13,0.010718262200226529,0.011102542225017172,0.09,0.0,0.0,0.04,0.17
A,contrast_low,T013-S1,100,0.09024177421379595,0.08526812210496774,0.1,0.04061545953016524,0.03728220447610871,0.13,0.011080484268566573,0.01122540973985427,0.09,0.0,0.0,0.03,0.17
A,contrast_low,T013-S2,100,0.09024177421379595,0.08526812210496774,0.1,0.04061545953016524,0.03728220447610871,0.13,0.01100744729872771,0.011275835893237055,0.09,0.0,0.0,0.03,0.17
A,contrast_low,T013-S3,100,0.09024177421379595,0.08526812210496774,0.1,0.04061545953016524,0.03728220447610871,0.13,0.010252530828168231,0.010873984967677913,0.09,0.0,0.0,0.04,0.17
A,gaussian_noise,T013-S0,100,0.0348265806811652,0.034692707819390656,0.06,0.01567457952468718,0.014643143193991516,0.08,0.01017076566660199,0.006868145010864237,0.08,0.0,0.0,0.05,0.14
A,gaussian_noise,T013-S1,100,0.0348265806811652,0.034692707819390656,0.06,0.01567457952468718,0.014643143193991516,0.08,0.010099485843445286,0.007009782462855457,0.08,0.0,0.0,0.02,0.14
