representation,comparison,bank,context,salt,new_mean,baseline_mean,new_mean_exact,baseline_mean_exact,new_p90,baseline_p90,mean_delta_pp,relative_mean_reduction,clients_better,clients_equal,clients_worse
L,vs_P,A,clean,T013-S0,0.014683470146408832,0.01410265346913888,277864274638071978486902720418483862600825327677310031003422721219334691056374910867585587790196238433263566540409568110575397083059535649994773567/18923610826833726219719915154539219867167541818419463238495819142844175124360809571697884269088046505187686985411131562418725148662354508606848000000,875592089616180909180391799613213452345866170565029487294519514474988511825103632022001134600088744624546549088560732148586673683801100403/62087045642315235377223819373606387455380907159622506133135234228295886849398238249158983674650935314640956651559355100299554480985841000000,0.0595223372597418,0.051541079253143975,0.05808166772699527,-0.04118492158521555,18,63,19
L,vs_P,A,clean,T013-S1,0.015296699128379262,0.015283455208744315,2627587189459133658721458359661568086163227487158168998365406983238182094770338634856717273247614854587476374792682391360617/171774784050259044839855504402305663841427875151397006175745375958262210460429404035033549923280573937409654084418318404000000,831744726262908300471537139283223755611156327372205558404242388285802788695251162225341789442511379014076414323022998536601501041/54421249311937774687282806540882600717444155439497563048237469173329753743684124889334226260916463599734375752338830393920032000000,0.06805212667547288,0.07082371232233402,0.001324391963494893,-0.0008665527169125684,15,65,20
L,vs_P,A,clean,T013-S2,0.014584244523719208,0.015446250276702178,2633735572471616423216151624661421230141422566783802172680930578982933300990398024826677341343819025729839205087437734367666663235827/180587727268849519064692731315867901027450486889889203359501294573681120612320841022804715343064761413890107392076481717985535728000000,222538550182435873215971831348424959554670747201456568907798496077077487862578788904709686191860706061115289586425832289469184118027579220401/14407286311946807237775465024348257930801064003274877576825571124321613868345360691743783528324374904578592383779699069839112477314108252000000,0.051053942433262826,0.0613591171675478,-0.08620057529829704,0.05580679695985162,17,63,20
L,vs_P,A,clean,T013-S3,0.015383116586144264,0.01525980667712776,41838706592563047543946010337919742711737841409445241788647133252839199629659461398265271256145405289117741693677819397099866573/2719780894740641328080513092672378251797177064487064813921715750724405638859902754513686865604391283919494717890718938354444000000,110681761470537721567431536046023016482917620205724259412003168711759039436185182685573070289795531093696777699627914368428826323787/7253156203900908974557095560019376311563037418207677900866333534869881809141435120424360169309217733080465434000175945587122852000000,0.06716685750361956,0.05586534930736403,0.012330990901650529,-0.008080699292300274,17,62,21
L,vs_P,A,brightness_dark,T013-S0,0.020906686202828824,0.02273440083162813,51596411626420714567104130051274956267832380488662409156082551909207811120032867159611107840117566934351639294824309178797757/2467938300974706816650741526089292879857582870642570823736580143017397188225557828862027984538653191536704369944606017152000000,236636852624469859275930153804784561910418181724832258414932741922498361255222921754810816869034667031488984276112562650534232613797/10408756948424184971445463211348882526368977889334656896542294051981387321935493928691474411849195570210523025058293612567403136000000,0.07361081085104706,0.07428623006387206,-0.18277146287993046,0.08039422909516865,17,73,10
L,vs_P,A,brightness_dark,T013-S1,0.02046810803653045,0.022412535948232306,388264386315076314750555162924907417680928415432544115307004664179461437293840047731483970316840254704489365650977/18969236708254691411092768099092591202598067015568105541173628446007693961943375247463648604067786607643300368000000,119223064029154685143032569697057733982727266641168641521362172945450163578924741703347600989759784005258806885753715422516656083613/5319481218213412698600438791077276726633553468758189406163401916230887281163294782736085454576864485896761938721911821861722768000000,0.06747825146647352,0.08131788068294155,-0.19444279117018523,0.08675626516307768,18,73,9
L,vs_P,A,brightness_dark,T013-S2,0.020541133637306197,0.023234295959268885,4828604288266922030960336118886106927013697648133962593025967820433798923221884840769245418288224722937354082429328021216394603/235070000201807465761243165841906037303122325074611908332779754042726600946018752790321069603768527342316558040813692916536000000,41991736300677687095101139043645351784785007202504870820111886339892591660006688647691757768302451481103092092740176423490407695647499241263620389/1807316923839298645248078066256890867429080265319067212150539118296867495208419278258517251440157879782464413713469537679771723036514920714432000000,0.07288762000317167,0.07958095840426654,-0.2693162321962687,0.11591323131477546,19,72,9
L,vs_P,A,brightness_dark,T013-S3,0.020871830070359438,0.021643825196068216,125970328508778990177704475628566920780045903644296767570987000725664179606375426944097367529246991305323266631/6035423251537119854471713627698400827261119423937846968446458950496826070774808952518287401512562658596152000000,131837785784873785477846438756031365684484920338615826333986037676296651574585617869180113023552301235138389691452012783/6091242402420771087853568957951831602849901077550078187438436912420042101038350822849130394057051805059744223495593600000,0.07678728031519759,0.0770817031741112,-0.07719951257087798,0.035668146398124635,17,73,10
L,vs_P,A,contrast_low,T013-S0,0.031684389810628925,0.025156459413006402,4807658344667325953643639720975386360965338761499063353270936530515287299936529695551045453546739764956659573485895098912833308909779461789392518786341/151735866570311433288499350724836849236020601758373180559410072868599857040640342025948889660958942200728866721927661358306732338661890545424283744000000,1236011898195277350072122246838412448678714783816711469773233536665179089483513458106048781882536939662280958531286684097383914508529913/49132983219261530356063173800289765263908005458014592501017804840868128200740785541653730424087902287620716878462691791689711581472000000,0.10428713643462435,0.08376173645030946,0.6527930397622524,-0.259493209694185,11,72,17
L,vs_P,A,contrast_low,T013-S1,0.030626300161539794,0.02506281554541304,2574299349354839781435499094543987857401845170137181805787784319282423767757478482428643678591413564492881866127469579561659116476692830712227849758627/84055185764411059534973396672410121989718109865613566219774884887391923264474993740774260352832886824694283169145732827076785944523550076951841376000000,614160422377319456473870324373446217526320222007356568125701220822505878925007779459036397880263895726888647501424936361791375899753/24504845485714879979006044610906754070189635392233030212037503758654470019780544992753060057568811992115312392054886249819068775800000,0.10249520968143375,0.08389353546224376,0.5563484616126754,-0.2219816287617763,12,72,16
