representation,policy,bank,context,salt,macro_class,macro_class_exact,capture,capture_exact,delta_vs_BBSE_pp,clean_delta_vs_zero,true_template_regret,true_template_regret_exact,regret_p90,optimal_set_agreement,canonical_agreement,L1
P,oracle,A,clean,T013-S0,39.115670128760435,4379124746870947087559/111953207818140489775,0.8123936380704208,417891674733031462617/514395553029684521137,0.6009036883602624,4.976980208991895,0.01410265346913888,875592089616180909180391799613213452345866170565029487294519514474988511825103632022001134600088744624546549088560732148586673683801100403/62087045642315235377223819373606387455380907159622506133135234228295886849398238249158983674650935314640956651559355100299554480985841000000,0.051541079253143975,0.65,0.65,0.7184083941651161
P,oracle,A,clean,T013-S1,39.055656911893294,35404097771102715117/906503707029477650,0.7983792226356284,1100940455008560359093/1378969321588943132807,0.7543997301647263,4.916966992124758,0.015283455208744315,831744726262908300471537139283223755611156327372205558404242388285802788695251162225341789442511379014076414323022998536601501041/54421249311937774687282806540882600717444155439497563048237469173329753743684124889334226260916463599734375752338830393920032000000,0.07082371232233402,0.66,0.65,0.7184083941651161
P,oracle,A,clean,T013-S2,39.06935355761002,4373939458155521497762/111953207818140489775,0.8004916748231686,3312021665571698162154/4137484210942399939171,0.6936649539037528,4.9306636378414845,0.015446250276702178,222538550182435873215971831348424959554670747201456568907798496077077487862578788904709686191860706061115289586425832289469184118027579220401/14407286311946807237775465024348257930801064003274877576825571124321613868345360691743783528324374904578592383779699069839112477314108252000000,0.0613591171675478,0.63,0.625,0.7184083941651161
P,oracle,A,clean,T013-S3,38.97003400399879,26176921893178067633497/671719246908842938650,0.773342186234171,3245306809816636809079/4196469386494771626546,0.6209873119198612,4.83134408423025,0.01525980667712776,110681761470537721567431536046023016482917620205724259412003168711759039436185182685573070289795531093696777699627914368428826323787/7253156203900908974557095560019376311563037418207677900866333534869881809141435120424360169309217733080465434000175945587122852000000,0.05586534930736403,0.65,0.645,0.7184083941651161
P,oracle,A,brightness_dark,T013-S0,33.65725645904361,22608226961686561507157/671719246908842938650,0.8984659835648294,901851940468439356311/1003768597771699181435,0.33363100390862993,16.111230004832546,0.02273440083162813,236636852624469859275930153804784561910418181724832258414932741922498361255222921754810816869034667031488984276112562650534232613797/10408756948424184971445463211348882526368977889334656896542294051981387321935493928691474411849195570210523025058293612567403136000000,0.07428623006387206,0.695,0.675,0.7684346693626029
P,oracle,A,brightness_dark,T013-S1,33.69726020864514,870580701932401222082/25835355650340113025,0.9010580738007838,10849094574177142542707/12040394387027914519545,0.41421286134172836,16.151233754434077,0.022412535948232306,119223064029154685143032569697057733982727266641168641521362172945450163578924741703347600989759784005258806885753715422516656083613/5319481218213412698600438791077276726633553468758189406163401916230887281163294782736085454576864485896761938721911821861722768000000,0.08131788068294155,0.685,0.675,0.7684346693626029
P,oracle,A,brightness_dark,T013-S2,33.53010866143379,22522819338829979773823/671719246908842938650,0.891381026641532,10736815662764690542398/12045147183823210116145,0.17955534064059622,15.984082207222734,0.023234295959268885,41991736300677687095101139043645351784785007202504870820111886339892591660006688647691757768302451481103092092740176423490407695647499241263620389/1807316923839298645248078066256890867429080265319067212150539118296867495208419278258517251440157879782464413713469537679771723036514920714432000000,0.07958095840426654,0.675,0.66,0.7684346693626029
P,oracle,A,brightness_dark,T013-S3,33.75649545071011,22674887702432780383039/671719246908842938650,0.9036692950939224,10888884026367491151614/12049633738231375520845,0.42520699094130116,16.210468996499053,0.021643825196068216,131837785784873785477846438756031365684484920338615826333986037676296651574585617869180113023552301235138389691452012783/6091242402420771087853568957951831602849901077550078187438436912420042101038350822849130394057051805059744223495593600000,0.0770817031741112,0.695,0.675,0.7684346693626029
P,oracle,A,contrast_low,T013-S0,31.249615062826653,3498494649365525705024/111953207818140489775,0.8339188640877399,3793316499250545012188/4548783655829897649377,1.5473323454259373,11.294351075116134,0.025156459413006402,1236011898195277350072122246838412448678714783816711469773233536665179089483513458106048781882536939662280958531286684097383914508529913/49132983219261530356063173800289765263908005458014592501017804840868128200740785541653730424087902287620716878462691791689711581472000000,0.08376173645030946,0.655,0.645,0.9182003322799165
P,oracle,A,contrast_low,T013-S1,31.23746173864131,6994268091474645951373/223906415636280979550,0.8342238605846344,7578469376731873648351/9084455306062318509936,1.4739742018343822,11.282197750930793,0.02506281554541304,614160422377319456473870324373446217526320222007356568125701220822505878925007779459036397880263895726888647501424936361791375899753/24504845485714879979006044610906754070189635392233030212037503758654470019780544992753060057568811992115312392054886249819068775800000,0.08389353546224376,0.645,0.635,0.9182003322799165
