representation,bank,context,salt,macro_class_p05,macro_class_median,macro_class_p95,capture_p05,capture_median,capture_p95
L,A,clean,T013-S0,37.553278358561165,38.49595233250293,39.100745661664206,0.5573640657224593,0.7112369579275044,0.8099575138321409
L,A,clean,T013-S1,37.57930493564748,38.46079297164151,39.11115101315085,0.558660561717311,0.7017897985144478,0.8073899273025166
L,A,clean,T013-S2,37.54618643739999,38.50718335020664,39.124523133618396,0.5532059768625824,0.7092235202878843,0.8094484379573009
L,A,clean,T013-S3,37.50504950570742,38.484792143002394,39.151665698597554,0.5388454716644563,0.6956706325023325,0.8024155557440975
L,A,brightness_dark,T013-S0,32.98358012324849,33.74946008829711,34.34128200686237,0.860897450841818,0.9036078519647376,0.9366116550262956
L,A,brightness_dark,T013-S1,33.010073880430014,33.75142210709706,34.33697566477351,0.8627207678922639,0.90407970153737,0.9367470363558194
L,A,brightness_dark,T013-S2,32.92519085726858,33.74000099569925,34.36961117250286,0.857646699808123,0.9030860492994597,0.9381973906018438
L,A,brightness_dark,T013-S3,33.02456594421946,33.7644302785039,34.32441572332709,0.8628671306820415,0.9041116302441672,0.9353285957925123
L,A,contrast_low,T013-S0,28.466669999178176,29.939713175111386,31.04227014233744,0.6284400038272838,0.7372022057330525,0.8186095435770927
L,A,contrast_low,T013-S1,28.44599217477352,29.962455809909947,31.063021021118722,0.6278181081165767,0.7399478700714539,0.8213254331658416
L,A,contrast_low,T013-S2,28.36521509701712,29.848026622806422,30.886330810913766,0.6181200210489914,0.727104660747823,0.8034186129059925
L,A,contrast_low,T013-S3,28.39830045427654,29.921124742353275,31.126072860823488,0.6215445416944988,0.7336491296542935,0.822352871373986
L,A,gaussian_noise,T013-S0,34.3482224723503,35.30197960326053,36.17838854276395,0.5366000981087188,0.6759914125439935,0.8040783123437556
L,A,gaussian_noise,T013-S1,34.30123969673896,35.358649395595734,36.18824774495947,0.5272176273410893,0.6810237498319278,0.8016934443489993
L,A,gaussian_noise,T013-S2,34.353602472572696,35.31557481033356,36.17156572154777,0.5380171616103382,0.6787741512968779,0.804023806751632
L,A,gaussian_noise,T013-S3,34.36599085183963,35.3037434270405,36.16098944266377,0.5381614080417526,0.6749504512553584,0.799996082029194
L,A,gaussian_blur,T013-S0,36.41240364891841,37.29331259748847,38.187959061561685,0.6023317051465036,0.6986148278798274,0.796399457543451
L,A,gaussian_blur,T013-S1,36.42986729778782,37.26750825051808,38.199791899113436,0.603792357188335,0.6952784002817026,0.7971011941322609
L,A,gaussian_blur,T013-S2,36.386614441962045,37.21498388966063,38.092173356135,0.6043694686960602,0.6956434858591471,0.7922967444271697
L,A,gaussian_blur,T013-S3,36.36939122112261,37.242589794979,38.1940589823595,0.6015839162205366,0.6976556563206818,0.8023389474071727
L,B,clean,T013-S0,37.457984409642606,38.45935000438913,39.08267015677455,0.5381438443437223,0.7004912143629689,0.8015475997137995
L,B,clean,T013-S1,37.43263211360524,38.45257463757388,39.05277604899157,0.5440166253605714,0.7124669676250392,0.8115942525503951
L,B,clean,T013-S2,37.40681279091756,38.426675148471055,39.13404808171373,0.5355325179115842,0.7026527510844089,0.818566755232228
L,B,clean,T013-S3,37.33702993263573,38.40376258147961,39.08892544521526,0.5162666982834029,0.6884555651187477,0.7990525523133963
L,B,brightness_dark,T013-S0,33.01425578515037,33.84490652929729,34.4614992443114,0.8734508097116751,0.9203555038133804,0.9551728959446286
L,B,brightness_dark,T013-S1,33.013733162095114,33.80452492468983,34.46899605740457,0.8714434891660858,0.9159963337353509,0.9534323320561572
L,B,brightness_dark,T013-S2,33.01533661145928,33.80977703882424,34.458062549285174,0.8692431529990822,0.9138839220400392,0.9503120326298737
L,B,brightness_dark,T013-S3,33.00675399807551,33.836138115230696,34.454920298073176,0.872039073763069,0.9188192369388203,0.9537207148968344
L,B,contrast_low,T013-S0,28.19743405297007,29.54105517024128,30.637754506399997,0.6146582361090661,0.7148585206702662,0.7966446612337312
L,B,contrast_low,T013-S1,28.0898730053805,29.517161572215457,30.51327412042165,0.6155185778040575,0.7235167159894234,0.7988892111730048
L,B,contrast_low,T013-S2,28.163977023502934,29.57947496917877,30.500937607211878,0.6158232805206014,0.7220149069881623,0.7911436659247251
