representation,comparison,bank,context,salt,new_mean,baseline_mean,new_mean_exact,baseline_mean_exact,new_p90,baseline_p90,mean_delta_pp,relative_mean_reduction,clients_better,clients_equal,clients_worse
L,vs_P,A,clean,T013-S0,0.020322749085877674,0.01410265346913888,168211610572145918253856518397518924646463505915475495824336697249212296050191342582469023040136307627680540071462788498188130385879669026299/8277010647591794023560717454626620695685770587503057254572461509869374477074691719455854476695803629356062458251128030504638921509193392000000,875592089616180909180391799613213452345866170565029487294519514474988511825103632022001134600088744624546549088560732148586673683801100403/62087045642315235377223819373606387455380907159622506133135234228295886849398238249158983674650935314640956651559355100299554480985841000000,0.09311926271622246,0.051541079253143975,0.6220095616738796,-0.44105853060563077,17,60,23
L,vs_P,A,clean,T013-S1,0.01839073909224737,0.015283455208744315,55120916866824934363494246137962029171670414935842066300891863061228169302146527744913767964443267141563473098898467346868918644189211/2997210530275055995735314348617480689502151065092761367911210965527184486965111892792866307180089007586828927677610728063211568104000000,831744726262908300471537139283223755611156327372205558404242388285802788695251162225341789442511379014076414323022998536601501041/54421249311937774687282806540882600717444155439497563048237469173329753743684124889334226260916463599734375752338830393920032000000,0.08149700051950393,0.07082371232233402,0.31072838835030536,-0.20331030130707906,15,63,22
L,vs_P,A,clean,T013-S2,0.019590415624863147,0.015446250276702178,9381595869432008663917584104582067741116092355741898115815092487464807127385446015876222147918923535862430858249328329927242115423463479521221873346441/478887025629276092626529180623808405045544179074412779847075768174624937896004474880275581512366967106035831372125750820190003106171455443233911456000000,222538550182435873215971831348424959554670747201456568907798496077077487862578788904709686191860706061115289586425832289469184118027579220401/14407286311946807237775465024348257930801064003274877576825571124321613868345360691743783528324374904578592383779699069839112477314108252000000,0.08539704527655195,0.0613591171675478,0.4144165348160969,-0.26829588242602015,15,63,22
L,vs_P,A,clean,T013-S3,0.019604694366076866,0.01525980667712776,348598041061391098823277969448207635745931063504518880613511331761503617470188370701732932526728499080886996904938970124408678866788469/17781355554544649396959602714765318627670733612960137273487912261110554588490849147457032717558973119620422532371151923164742644488000000,110681761470537721567431536046023016482917620205724259412003168711759039436185182685573070289795531093696777699627914368428826323787/7253156203900908974557095560019376311563037418207677900866333534869881809141435120424360169309217733080465434000175945587122852000000,0.08156876510708069,0.05586534930736403,0.43448876889491084,-0.2847275709895765,17,63,20
L,vs_P,A,brightness_dark,T013-S0,0.019716057745739812,0.02273440083162813,25933677215443087062120791182588467342878744465863995727070984617147491840847805731014699831320566318966213987268220970339994970449/1315358148666751660720857113645148573216900880389343381570072408085203327953798097350056876850818590762875833755920042135955584000000,236636852624469859275930153804784561910418181724832258414932741922498361255222921754810816869034667031488984276112562650534232613797/10408756948424184971445463211348882526368977889334656896542294051981387321935493928691474411849195570210523025058293612567403136000000,0.07361081085104706,0.07428623006387206,-0.3018343085888318,0.13276545567408116,15,74,11
L,vs_P,A,brightness_dark,T013-S1,0.01969445603885915,0.022412535948232306,618580075773294247162726626415265068679313658074015677990613568100844622125450181704718184635289758578488427034969032198433/31408842902427628901552528857209754467903710744498558084374728502537254446141587824213965164517642562783961224752966832000000,119223064029154685143032569697057733982727266641168641521362172945450163578924741703347600989759784005258806885753715422516656083613/5319481218213412698600438791077276726633553468758189406163401916230887281163294782736085454576864485896761938721911821861722768000000,0.070404080511256,0.08131788068294155,-0.2718079909373152,0.12127498269947135,17,73,10
L,vs_P,A,brightness_dark,T013-S2,0.01926045211417672,0.023234295959268885,224241419854747201607358297897477464046284251831236756795950863484495194558850297017708914709029960291979063906505628221922117909907/11642583389290926078055575090702770961554821873275319732962136229739352809860197157301566914656090459587730056816384652497266584000000,41991736300677687095101139043645351784785007202504870820111886339892591660006688647691757768302451481103092092740176423490407695647499241263620389/1807316923839298645248078066256890867429080265319067212150539118296867495208419278258517251440157879782464413713469537679771723036514920714432000000,0.07288762000317167,0.07958095840426654,-0.39738438450921626,0.17103353818245878,16,74,10
L,vs_P,A,brightness_dark,T013-S3,0.01968088153949682,0.021643825196068216,504511898213008229879682044920318060473657154507675815685396164269798255434189081074282760109174710191970988040835058429/25634618916867229055823770422297542729017883725867188638671085987411110527564908946678635736142551639639984657815048000000,131837785784873785477846438756031365684484920338615826333986037676296651574585617869180113023552301235138389691452012783/6091242402420771087853568957951831602849901077550078187438436912420042101038350822849130394057051805059744223495593600000,0.07678728031519759,0.0770817031741112,-0.19629436565713967,0.09069301007513136,15,74,11
L,vs_P,A,contrast_low,T013-S0,0.05930723901728122,0.025156459413006402,5245690336233871733645195826151944632062001514957997907727870658347656616857577738042916499318894621819618469726365261834359666215266840456881284801917/88449410614197666894802723276395247394824394695638217084965212209237666449216004103790933271481691285534190653301629953437365745759108970586803424000000,1236011898195277350072122246838412448678714783816711469773233536665179089483513458106048781882536939662280958531286684097383914508529913/49132983219261530356063173800289765263908005458014592501017804840868128200740785541653730424087902287620716878462691791689711581472000000,0.24471817951747465,0.08376173645030946,3.415077960427482,-1.357535217639497,11,59,30
L,vs_P,A,contrast_low,T013-S1,0.05765025879458825,0.02506281554541304,224229215774803284922117875878691475236943009493666395853431041772429926258778830437619705155572214270316209821119394903218419611245811378521458960763002539/3889474574151471621870147158057302931168337433228976535314028468713478335686318111159965470584370310873612375330000033407482555697384379840244005456672000000,614160422377319456473870324373446217526320222007356568125701220822505878925007779459036397880263895726888647501424936361791375899753/24504845485714879979006044610906754070189635392233030212037503758654470019780544992753060057568811992115312392054886249819068775800000,0.25096424413639695,0.08389353546224376,3.2587443249175214,-1.300230741838553,11,62,27
