client,bank,context,ROT_SCORE,direction_errors,direction_ranks,current_state,current_tie_mask,clean_surrogate_state,clean_surrogate_tie_mask
0,A,clean,"[0.2719538921038319, 0.28772926332097637, 0.2766926604932329, 0.25900054384501575, 0.2766291435164553]","[[0.3688501141330162, 0.17505767007464762], [0.37199111591731926, 0.20346741072463342], [0.3792422793606334, 0.17414304162583236], [0.3453199283309996, 0.17268115935903192], [0.374194784403347, 0.1790635026295635]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",3,8,3,8
0,A,brightness_dark,"[0.2863654751483664, 0.2799527190511374, 0.2909555119870997, 0.2950431847734327, 0.28496476234508206]","[[0.3802753247576157, 0.19245562553911713], [0.36316569776644314, 0.19673974033583158], [0.38854601101951486, 0.19336501295468445], [0.38097536205079463, 0.20911100749607076], [0.3798810298888077, 0.19004849480135638]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,3,8
0,A,contrast_low,"[0.2673203324192374, 0.30568149460887395, 0.275135539807865, 0.275440815374256, 0.2681311168952657]","[[0.35219894557707665, 0.18244171926139818], [0.36718346285151227, 0.24417952636623558], [0.3638749677788195, 0.1863961118369105], [0.3560166918162053, 0.19486493893230666], [0.3525253206734783, 0.18373691311705306]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",0,1,3,8
0,A,gaussian_noise,"[0.2510035143112088, 0.2837122739422235, 0.23125474511631583, 0.2617368650665588, 0.23823393367102091]","[[0.344442834816796, 0.15756419380562164], [0.38462850922149466, 0.18279603866295233], [0.3030624988268412, 0.15944699140579047], [0.3625911002679434, 0.16088262986517415], [0.320232866048989, 0.15623500129305284]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,3,8
0,A,gaussian_blur,"[0.22920601714854866, 0.3201825995987898, 0.26964398109247195, 0.24442296890762472, 0.23950376181789707]","[[0.3047778287387839, 0.15363420555831345], [0.4376143390252428, 0.20275086017233684], [0.37342766938070715, 0.16586029280423673], [0.328942433832986, 0.1599035039822634], [0.3241715515918691, 0.154835972043925]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",0,1,3,8
0,B,clean,"[0.2719538921038319, 0.29220061190753843, 0.267330111591592, 0.2631583371513747, 0.2770720007048979]","[[0.3688501141330162, 0.17505767007464762], [0.38139612682479773, 0.2030050969902791], [0.36430820537618297, 0.170352017807001], [0.35294898764730476, 0.17336768665544464], [0.3746181739831799, 0.17952582742661582]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",3,8,3,8
0,B,brightness_dark,"[0.2863654751483664, 0.2823233264368056, 0.29291051259557466, 0.2960305408812396, 0.28528708455284435]","[[0.3802753247576157, 0.19245562553911713], [0.36926329768900473, 0.1953833551846064], [0.3910056153629438, 0.1948154098282055], [0.3844151336846349, 0.20764594807784426], [0.3800931304504318, 0.19048103865525687]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,3,8
0,B,contrast_low,"[0.2673203324192374, 0.3072192413860783, 0.2755477500618962, 0.27619140971339184, 0.2687543601107654]","[[0.35219894557707665, 0.18244171926139818], [0.3643446776490805, 0.2500938051230761], [0.35715473240112466, 0.19394076772266772], [0.3621174530640769, 0.19026536636270674], [0.35325908183065285, 0.18424963839087802]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",0,1,3,8
0,B,gaussian_noise,"[0.2510035143112088, 0.2856510240144984, 0.2205348422035149, 0.26377397514440304, 0.23715870084413143]","[[0.344442834816796, 0.15756419380562164], [0.38888248017801474, 0.18241956785098207], [0.28520743668133386, 0.15586224772569596], [0.3656389238286331, 0.16190902646017294], [0.3182142590595025, 0.15610314262876038]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,3,8
0,B,gaussian_blur,"[0.22920601714854866, 0.3195259089384648, 0.2673840125419287, 0.2432650829014264, 0.23935874542483557]","[[0.3047778287387839, 0.15363420555831345], [0.437721092937024, 0.2013307249399055], [0.3727490422661922, 0.1620189828176652], [0.3290817438646023, 0.1574484219382505], [0.3240254125803944, 0.15469207826927672]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",0,1,3,8
1,A,clean,"[0.18985582224360312, 0.18536702278241388, 0.18575135636650345, 0.19359705984348102, 0.18773198928643514]","[[0.22661764188136196, 0.15309400260584427], [0.2206789488552942, 0.15005509670953354], [0.22365936875691173, 0.14784334397609517], [0.2291079616585785, 0.15808615802838352], [0.22554703247939473, 0.14991694609347553]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,1,2
1,A,brightness_dark,"[0.20203336304342628, 0.21154536720218203, 0.20553287433131412, 0.20422825181322368, 0.20386108919274332]","[[0.2500293658013375, 0.1540373602855151], [0.2523357918746017, 0.1707549425297624], [0.2735870471341154, 0.13747870152851283], [0.2504304702036502, 0.15802603342279717], [0.26280710049905076, 0.1449150778864359]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",0,1,1,2
1,A,contrast_low,"[0.2294510156421611, 0.25511439018070536, 0.23828276985591978, 0.23843993398632346, 0.24129335596427848]","[[0.24265809576930555, 0.21624393551501667], [0.30727016191704726, 0.20295861844436353], [0.29262378918947046, 0.1839417505223691], [0.23450820430615113, 0.24237166366649582], [0.27569404040156825, 0.20689267152698868]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",0,1,1,2
