policy,bank,context,salt,macro_class,macro_class_exact,capture,capture_exact,delta_vs_BBSE_pp,clean_delta_vs_zero,true_template_regret,true_template_regret_exact,regret_p90,optimal_set_agreement,canonical_agreement
ROT-CURRENT,A,clean,T013-S0,29.954656050488786,20121119003647743758951/671719246908842938650,-0.6829608224547337,-2810496079713687065467/4115164424237476169096,-8.560110389911385,-4.184033869279752,0.11628705209109622,611519089398434197092416783782548624389526988260302473426787739351170927945251883505248709283927383825599344087872425427804577763308719765598336103002306189255297323907036738723/5258703169458507085586141697187113036104897796062142922255968732385745451080913460546752369412432942259775056431742098152924039555972378511931781370763653380340169158602624000000,0.34439641624476347,0.27,0.27
ROT-CURRENT,A,clean,T013-S1,29.954656050488786,20121119003647743758951/671719246908842938650,-0.6793711882522135,-2810496079713687065467/4136907964766829398421,-8.346601131239783,-4.184033869279752,0.11640235411934756,244812712380808245888703874566345947193886847445311865082030799409990118525542253575174937897695019653888166878309734340696509397643136830428612043350211434575750709/2103159461275167253192411937035028212780781455216425178414287213969627913941769744576489139751587131712420560412226189366270189822752352956815049642297201119008000000,0.3413175363089458,0.285,0.285
ROT-CURRENT,A,clean,T013-S2,29.954656050488786,20121119003647743758951/671719246908842938650,-0.6792765691481725,-2810496079713687065467/4137484210942399939171,-8.421032553217485,-4.184033869279752,0.11647149277619222,28232154663446922850139676424099339822014024953968194819243085396752093028102882330121318789823115825977036070101506031660621185059962746623650719203984367802933252483846527480349459960497207/242395405008647924577765715148438062530974613664375675848673441682230882108884953915707409414394467250391268198645950994735043202765634355079573321982704610374275429467259817188303809184000000,0.3396186473190298,0.29,0.29
ROT-CURRENT,A,clean,T013-S3,29.954656050488786,20121119003647743758951/671719246908842938650,-0.6697287221392646,-2810496079713687065467/4196469386494771626546,-8.39439064159014,-4.184033869279752,0.1163231334668454,1428664554185546692162985009279442408524829200177325205293963223557210837667647267723880726131077856405338532097428783911335813733000814949183061178462850108003575234317/12281860981614176223239895236390204964234840369665706462629708215996326262847062294764765215272570215940846307514720541989118479929950382041736067531392024046175555200000,0.3395642482725031,0.275,0.275
ROT-CURRENT,A,brightness_dark,T013-S0,24.736892172357557,16616246580881269587887/671719246908842938650,0.40100900044249943,805040484135996726077/2007537195543398362870,-8.586733282777422,7.190865718146496,0.11110208315259903,763164164307887731594534741280459794793793412469059788878968560908503912264578677602979471493504095872611153705581142508063410252450428338993477492859934623126851/6869035599086648326040856582409943769453662783260228663738088347957537242759950650282772211001219783164027706886128559547070334997919272165220636067935158432000000,0.3449756169939405,0.425,0.405
ROT-CURRENT,A,brightness_dark,T013-S1,24.736892172357557,16616246580881269587887/671719246908842938650,0.40116982463796946,1610080968271993452154/4013464795675971506515,-8.546155174945854,7.190865718146496,0.1110945918714412,252497855504538793956560957231659165631483977316943101888049945687556335433539549867072614876410766349692708550895187415881937478173718820550800947084209120555337/2272818606658455691370378204918705058738053560184521242590633701208497379015408226075368150131694891712888984652453252688458303459371568455296389613859952224000000,0.3374133558361978,0.415,0.405
ROT-CURRENT,A,brightness_dark,T013-S2,24.736892172357557,16616246580881269587887/671719246908842938650,0.40101153029520964,4830242904815980356462/12045147183823210116145,-8.613661148435641,7.190865718146496,0.11104119072312464,26573407996453007186483795543215288420965206619687740508576846389715462999755781884387839831951917172986607888993205904955789816497203665681225715208412250625367110989/239311266597567382426402796107446153053390869777212545358303130395764635424030446941813093284392181542852048665870561926746186045274607993157892873588861639346576000000,0.3434657624536178,0.42,0.405
ROT-CURRENT,A,brightness_dark,T013-S3,24.736892172357557,16616246580881269587887/671719246908842938650,0.400862217868952,4830242904815980356462/12049633738231375520845,-8.594396287411257,7.190865718146496,0.11106942124190357,11894570139052568727953084704162289125897879782634179400456857789562993780374250907498377803474816078638278915043515928677472787135009126239833264068061532701701767/107091312856909530893244619691649956644157500591731140999752451376637492021948638007922552256489494240872616626511627014624829472345911462168629576870273597056000000,0.33427765516547264,0.43,0.41
ROT-CURRENT,A,contrast_low,T013-S0,26.125022927464027,1169912048420826044851/44781283127256195910,0.45554439847988504,4144345828620326466997/9097567311659795298754,-3.5772597899366905,6.169758939753506,0.10427482407812243,1867555534377777509310650864750413751418037407828637461896460859825964228477432489945221457813337531569291527286632958041895773686582487531259882031139286756011012229240538859/17909937042699873178587605410553762522837612138984561982158233334489515515165210045633452614119725784944103355700287187941539741964859853927075399869251847908074415081452000000,0.31882327497939933,0.24,0.23
ROT-CURRENT,A,contrast_low,T013-S1,26.125022927464027,1169912048420826044851/44781283127256195910,0.4562019063327534,4144345828620326466997/9084455306062318509936,-3.6384646093429045,6.169758939753506,0.10427631354244572,4584069780549250191961169778166886661880820710087208534319231717712227758049671685586294323843063462276865032165314989166151749309836031679750987006325137853610550387493/43960796319130540529721793159878216442890214066803241704849254084685646061321281106416142699573853539696991524131234507187655414568774199820785379719202911248148928000000,0.32643199440182624,0.245,0.235
