policy,comparison,bank,context,salt,new_mean,baseline_mean,new_mean_exact,baseline_mean_exact,new_p90,baseline_p90,relative_mean_reduction,clients_better,clients_equal,clients_worse
ROT-CURRENT,vs_P,A,clean,T013-S0,0.11628705209109622,0.01410265346913888,611519089398434197092416783782548624389526988260302473426787739351170927945251883505248709283927383825599344087872425427804577763308719765598336103002306189255297323907036738723/5258703169458507085586141697187113036104897796062142922255968732385745451080913460546752369412432942259775056431742098152924039555972378511931781370763653380340169158602624000000,875592089616180909180391799613213452345866170565029487294519514474988511825103632022001134600088744624546549088560732148586673683801100403/62087045642315235377223819373606387455380907159622506133135234228295886849398238249158983674650935314640956651559355100299554480985841000000,0.34439641624476347,0.051541079253143975,-7.245756895719626,10,28,62
ROT-CURRENT,vs_P,A,clean,T013-S1,0.11640235411934756,0.015283455208744315,244812712380808245888703874566345947193886847445311865082030799409990118525542253575174937897695019653888166878309734340696509397643136830428612043350211434575750709/2103159461275167253192411937035028212780781455216425178414287213969627913941769744576489139751587131712420560412226189366270189822752352956815049642297201119008000000,831744726262908300471537139283223755611156327372205558404242388285802788695251162225341789442511379014076414323022998536601501041/54421249311937774687282806540882600717444155439497563048237469173329753743684124889334226260916463599734375752338830393920032000000,0.3413175363089458,0.07082371232233402,-6.616232882519185,10,28,62
ROT-CURRENT,vs_P,A,clean,T013-S2,0.11647149277619222,0.015446250276702178,28232154663446922850139676424099339822014024953968194819243085396752093028102882330121318789823115825977036070101506031660621185059962746623650719203984367802933252483846527480349459960497207/242395405008647924577765715148438062530974613664375675848673441682230882108884953915707409414394467250391268198645950994735043202765634355079573321982704610374275429467259817188303809184000000,222538550182435873215971831348424959554670747201456568907798496077077487862578788904709686191860706061115289586425832289469184118027579220401/14407286311946807237775465024348257930801064003274877576825571124321613868345360691743783528324374904578592383779699069839112477314108252000000,0.3396186473190298,0.0613591171675478,-6.540438015035144,10,28,62
ROT-CURRENT,vs_P,A,clean,T013-S3,0.1163231334668454,0.01525980667712776,1428664554185546692162985009279442408524829200177325205293963223557210837667647267723880726131077856405338532097428783911335813733000814949183061178462850108003575234317/12281860981614176223239895236390204964234840369665706462629708215996326262847062294764765215272570215940846307514720541989118479929950382041736067531392024046175555200000,110681761470537721567431536046023016482917620205724259412003168711759039436185182685573070289795531093696777699627914368428826323787/7253156203900908974557095560019376311563037418207677900866333534869881809141435120424360169309217733080465434000175945587122852000000,0.3395642482725031,0.05586534930736403,-6.622844504393161,11,29,60
ROT-CURRENT,vs_P,A,brightness_dark,T013-S0,0.11110208315259903,0.02273440083162813,763164164307887731594534741280459794793793412469059788878968560908503912264578677602979471493504095872611153705581142508063410252450428338993477492859934623126851/6869035599086648326040856582409943769453662783260228663738088347957537242759950650282772211001219783164027706886128559547070334997919272165220636067935158432000000,236636852624469859275930153804784561910418181724832258414932741922498361255222921754810816869034667031488984276112562650534232613797/10408756948424184971445463211348882526368977889334656896542294051981387321935493928691474411849195570210523025058293612567403136000000,0.3449756169939405,0.07428623006387206,-3.8869589295722133,15,37,48
ROT-CURRENT,vs_P,A,brightness_dark,T013-S1,0.1110945918714412,0.022412535948232306,252497855504538793956560957231659165631483977316943101888049945687556335433539549867072614876410766349692708550895187415881937478173718820550800947084209120555337/2272818606658455691370378204918705058738053560184521242590633701208497379015408226075368150131694891712888984652453252688458303459371568455296389613859952224000000,119223064029154685143032569697057733982727266641168641521362172945450163578924741703347600989759784005258806885753715422516656083613/5319481218213412698600438791077276726633553468758189406163401916230887281163294782736085454576864485896761938721911821861722768000000,0.3374133558361978,0.08131788068294155,-3.956805964663866,16,36,48
ROT-CURRENT,vs_P,A,brightness_dark,T013-S2,0.11104119072312464,0.023234295959268885,26573407996453007186483795543215288420965206619687740508576846389715462999755781884387839831951917172986607888993205904955789816497203665681225715208412250625367110989/239311266597567382426402796107446153053390869777212545358303130395764635424030446941813093284392181542852048665870561926746186045274607993157892873588861639346576000000,41991736300677687095101139043645351784785007202504870820111886339892591660006688647691757768302451481103092092740176423490407695647499241263620389/1807316923839298645248078066256890867429080265319067212150539118296867495208419278258517251440157879782464413713469537679771723036514920714432000000,0.3434657624536178,0.07958095840426654,-3.7791932631738234,17,36,47
ROT-CURRENT,vs_P,A,brightness_dark,T013-S3,0.11106942124190357,0.021643825196068216,11894570139052568727953084704162289125897879782634179400456857789562993780374250907498377803474816078638278915043515928677472787135009126239833264068061532701701767/107091312856909530893244619691649956644157500591731140999752451376637492021948638007922552256489494240872616626511627014624829472345911462168629576870273597056000000,131837785784873785477846438756031365684484920338615826333986037676296651574585617869180113023552301235138389691452012783/6091242402420771087853568957951831602849901077550078187438436912420042101038350822849130394057051805059744223495593600000,0.33427765516547264,0.0770817031741112,-4.13169092042382,16,36,48
ROT-CURRENT,vs_P,A,contrast_low,T013-S0,0.10427482407812243,0.025156459413006402,1867555534377777509310650864750413751418037407828637461896460859825964228477432489945221457813337531569291527286632958041895773686582487531259882031139286756011012229240538859/17909937042699873178587605410553762522837612138984561982158233334489515515165210045633452614119725784944103355700287187941539741964859853927075399869251847908074415081452000000,1236011898195277350072122246838412448678714783816711469773233536665179089483513458106048781882536939662280958531286684097383914508529913/49132983219261530356063173800289765263908005458014592501017804840868128200740785541653730424087902287620716878462691791689711581472000000,0.31882327497939933,0.08376173645030946,-3.145051669083854,11,29,60
ROT-CURRENT,vs_P,A,contrast_low,T013-S1,0.10427631354244572,0.02506281554541304,4584069780549250191961169778166886661880820710087208534319231717712227758049671685586294323843063462276865032165314989166151749309836031679750987006325137853610550387493/43960796319130540529721793159878216442890214066803241704849254084685646061321281106416142699573853539696991524131234507187655414568774199820785379719202911248148928000000,614160422377319456473870324373446217526320222007356568125701220822505878925007779459036397880263895726888647501424936361791375899753/24504845485714879979006044610906754070189635392233030212037503758654470019780544992753060057568811992115312392054886249819068775800000,0.32643199440182624,0.08389353546224376,-3.160598531058903,11,28,61
