bank,salt,lambda_,cells,mean_exact,mean_pp,fraction_ge_1pp
A,T013-S0,1/4,200,7018633380465710996472014158663364357551341948336389901629196860855384784276629572350170420630926577699905847648994792992057987092030868764211115119386099882532046401620909557517/128060101042934708719979816482546697899371728630329154959445664188050140542942437410507089033729580139754924697552562391438652025400175484791512271322308495663465382783948800000000,5.480733907989479,0.625
A,T013-S1,1/4,200,531416675578159367503910088785479741353766895482605198229132142721333289892444274132607360913145440302211861901997950239620708645607932373087261269242552644053982582853070963604924365457/9344098901096280139474080973737637258064301602995866079136007400695071319780826504386003339888085285174915043964067313405856550864197360313299122190247201432084556431224646366659840000000,5.687190184982009,0.67
A,T013-S2,1/4,200,657611665158393542611904843983326379441174692125101933743775905533164110042789998766941801005774448415258222610056937955072083449765467427143681398339583914390223547020059892119549985657200538457301571/11626361913876343988208627568160957766975849905993603011795932067333887705368904539598879638211473361183218544971679535864163166454029810775732766496909780282035228888620067811205352016610246940160000000,5.656211891817319,0.645
A,T013-S3,1/4,200,237321328777208965368673826496438724319322642044497168337463690857003028149470215165214140939177114346159880007879987780201373535477062082067814069270433210149453697605075604613253207767533/4232579575006104533813801493339150937972938368806644815441824032997183620239598765965990919265690841678915151035412351430697185409126953872657658599963624739326165845783594589469862400000000,5.6070139868986795,0.655
A,T013-S0,1/2,200,145952189593956078279460014390422647804272871874658649096018440304251900629844371826818823283961306093557019820746298232026633554636572256626594897790075914294320602361214505165228756700508567469/2895048175931245008304718211734841227970482233100671618560572212976889492556922435624618519043985926811656676580872730162763174176359069928427734348779019440242024497578636410265810391270400000000,5.04144251578846,0.62
A,T013-S1,1/2,200,862064153006192304337554467116097087999343506045396541802818820359547739894274014256343892233349608826379597770186812546901793868480000311859247467301181664771561830747664749416422008706605989/18493393478107319328763423486885164020800544908817005955340187154995106510688892914081728177734001846727687916508650194822364366839454622969200900259266659586483137600727236538210474197120000000,4.661470887031703,0.655
A,T013-S2,1/2,200,45322223308480748383084979943797622247778172156467159620142567035420277414944578071272148731520528435428457729670350234302025822674429570261838112347015967021485833456232891443939211277833924509937/1020852809888814995913364173048666927600372265479553476077063553988137643347211082156413649531919628933932046827776817467030750946827705494448098989863959333367899957603683895409041061247271680000000,4.439643293279172,0.62
A,T013-S3,1/2,200,1530345349962613043852430257630560381619673476634713688217497461630392274886445557842677268241525843063542927096475964925489328095025707059063892049575858045995997786384283961270801/28290781103448847569806824856613399792906792851314610911850878752202386184902539811093494169446217270664551605430492694771876154348154148251822097604578058792030485884308562278400000,5.409342868147437,0.635
A,T013-S0,3/4,200,1853753375517864461445111338708943964092644364804286355011564543477354572334553396971190097334097901784787776589741012976770902753842932762080738885837970719102693705521501501762239640859966558267/30731626617403754474922608843691237692435310346452906056070248861477034006277108277354244854192182674047213774429499466281396007466908349640785713821806030089022544720132712907096909661158400000000,6.032070474486559,0.64
A,T013-S1,3/4,200,62434235914263451876268394138924187920818983293524580240184197414267863782737558762903297900535889122439396434420503649552429921822641659123531749570959523639432650872723220115978942193/1152499340115067658460938414856091618028615964167228850444094271707517086889996751956671019039571504975709140087072200109541645671432680345012390823384433862780572613892326551279872000000,5.417290382832662,0.62
A,T013-S2,3/4,200,603692158956584639375238380596666181311743733644288596442252908976013815499791648642436820575605248502019524773282864234607960968244106673078580738767872656126777754681467659598445057418788447590061/12245474782465334376866191292270459481926198217436044478675604865632339299317643797442498002345494643502384275200720602146162628260055518075102467356355046161761881403750882479940374705860021760000000,4.929920396561754,0.595
A,T013-S3,3/4,200,8118116511029032058745881768811187048203015954630583456769880581810874336718180456793356800935666573238248912202363475228229325000415457968871055209027698223719495044583459377208881066383/135997638803474834201230343064667800629950150866574161283048772207778358945403501332677741012471377863781536000482101783674860383637521796564082145179159089984906312421899104841982464000000,5.969306954483396,0.62
A,T013-S0,1,200,90080163019724697235715882015038549805843499676599716430542136833828341424612009876927527843/1042778731333645154143353299340048793841682884488972155617750144585257679458739232163680000000,8.638473370522059,0.685
A,T013-S1,1,200,44470966496888765386380683131123827582967377128497526604214313360072981300536234721778142827367/621778762334849572219699263896066827112299402598620826716000901056300403813986966999981718400000,7.152217024894073,0.64
A,T013-S2,1,200,19283610991261618350880946835477690712993788365677234808124516212139630940160441953098858131204377083191/289463507634701307488672361653005502884101044265831843701519891967232908120376926085946496466200600000000,6.661845269835275,0.625
A,T013-S3,1,200,793026864183707742150747803491251580560147699575379373070618966822605030379984537526733755642027221088389/10173929474930442435246018305619179960570567284244743154909138409886805785929892024824538837264764696000000,7.794695905233111,0.665
B,T013-S0,1/4,200,20316156499657401303236143348210814796437026874601994736850537996170857066295944039904416064923646171451327473968486834639252930057761784023078133103001687322209226869652593481/389064301811113853253978757251434699500353668107658066134062457455614518779463125940131427575002602880961956094697506942315232397789802701047257708606884246682797219834880000000,5.221799174348475,0.625
B,T013-S1,1/4,200,67269097755822150846641064548076501888412334908788398744657343690847478852310677235096597199973593725567560427905519764387041211225998356586826119594833376828145294903738623699542868221/1204943072294739833921879140157171448908306926972094461958116522153557594375685604149868698031131630519247294179300703409859252620223135262074458436197362031341722549475549264213760000000,5.582761484964788,0.635
B,T013-S2,1/4,200,7973859109076559024041465682717461787943495243849876928378696741141889685636071136479808444351612819873196776298633455296978348024618785111906518364604902277543758655859755732286964853341406353378487762317/138910892520928705484564942715854005958943769003956839005762561779855459121454173133849746896851740088208847760760658842434873895184759880840402982744454933346117155516941654874203724436905342165769760000000,5.740269149789816,0.645
B,T013-S3,1/4,200,3528729236086869683381171071091104086101484631221946343990352857499055307962570025019730017876377391564032122861555925049794774924201365318350554596043513124398498259767283668779700563123/64912800993833841050665500210835178704436300491870296074068662790880124379261452122796104865107621672070999186458593183131193140859849996795062682753745731526441980107479228445703680000000,5.436106872698451,0.64
B,T013-S0,1/2,200,31434570212915876733575266138914950634709112034732544954313653267801595438282303915452459485087088850886669251000095175699039714328179065404755714632134044203349882734556434146755168993954635873/662795735336729739548350781180706003485948050072224349378691003112120817943031889379471486830540778067703987367809215634910251405552323538908278946202820215377762314386826641691443178989670400000,4.742723668393207,0.62
