method,context,lr,steps,n,accuracy,accuracy_sd,gain_pp,support_loss_before,support_loss_after,query_loss_before,query_loss_after,worst_class_accuracy,gamma_norm,beta_norm
none,none,0.0,0,1,41.63333177566528,0.0,0.0,0,0,2.0441701412200928,2.0441701412200928,18.65079402923584,0.0,0.0
random_no_write,random,0.0,0,5,41.579999923706055,0.12605098427608255,-0.053331851959228516,2.467725896835327,2.46907639503479,2.0441701412200928,2.0445187091827393,18.492064476013184,0.14999797940254211,0.14690394103527069
bn,correct,0.0,0,5,45.19999980926514,0.37267757419769854,3.5666680335998535,2.467725896835327,3.6267776012420656,2.0441701412200928,2.711888313293457,17.222222983837128,0.0,0.0
prior,correct,0.0,0,5,41.23333394527435,0.0,-0.3999978303909302,2.467725896835327,2.459444284439087,2.0441701412200928,2.0500497817993164,17.85714328289032,0.0,0.0
affine,correct,0.001,1,5,41.6866660118103,0.018257727639959104,0.05333423614501953,2.467725896835327,2.4666341304779054,2.0441701412200928,2.04365611076355,18.65079402923584,0.0005903726327233016,0.0008590036537498236
affine,correct,0.001,3,5,41.74666702747345,0.018257727639959104,0.1133352518081665,2.467725896835327,2.4644676208496095,2.0441701412200928,2.0426380157470705,18.65079402923584,0.0017687655752524733,0.0025674316566437483
affine,correct,0.001,5,5,41.74666702747345,0.018257727639959104,0.1133352518081665,2.467725896835327,2.462321949005127,2.0441701412200928,2.0416322231292723,18.65079402923584,0.002943879272788763,0.004266620799899101
affine,correct,0.001,10,5,41.793332695961,0.049440854158926247,0.16000092029571533,2.467725896835327,2.457069158554077,2.0441701412200928,2.039174032211304,18.49206417798996,0.00586228659376502,0.008462680131196975
affine,correct,0.01,1,5,41.78666591644287,0.03800505325335939,0.1533341407775879,2.467725896835327,2.4569417953491213,2.0441701412200928,2.0391438484191893,18.412699103355408,0.005903725977987051,0.008590035885572434
affine,correct,0.01,3,5,41.66666626930237,0.09128618969037607,0.03333449363708496,2.467725896835327,2.437015151977539,2.0441701412200928,2.0299118518829347,17.698413133621216,0.017423779889941215,0.024937249720096588
affine,correct,0.01,5,5,41.799999475479126,0.10274052217083166,0.16666769981384277,2.467725896835327,2.4187056541442873,2.0441701412200928,2.0214428901672363,17.85714328289032,0.028626393154263498,0.040457204729318616
affine,correct,0.01,10,5,42.019999623298645,0.09603283792889095,0.3866678476333618,2.467725896835327,2.3781604766845703,2.0441701412200928,2.0023783445358276,17.539682984352112,0.05536206960678101,0.07645576149225235
affine,correct,0.1,1,5,42.00666606426239,0.10903684288555486,0.37333428859710693,2.467725896835327,2.3726171016693116,2.0441701412200928,2.004941964149475,16.66666716337204,0.05903726145625114,0.08590036481618882
affine,correct,0.1,3,5,42.373332381248474,0.25320237718389693,0.7400006055831909,2.467725896835327,2.2522228717803956,2.0441701412200928,1.9420827627182007,17.77777850627899,0.1553196966648102,0.20534682273864746
affine,correct,0.1,5,5,42.56666660308838,0.3543377436921535,0.9333348274230957,2.467725896835327,2.1711435317993164,2.0441701412200928,1.9006253480911255,19.285715520381927,0.23951757848262786,0.29957848191261294
affine,correct,0.1,10,5,42.93333292007446,0.37932709053079305,1.3000011444091797,2.467725896835327,2.0415836572647095,2.0441701412200928,1.8325881719589234,21.666668355464935,0.41512628793716433,0.47386535406112673
bn,wrong_MNIST,0.0,0,5,36.57333314418793,0.1534783308719224,-5.059998631477356,0.042444319603964685,0.04711311548016965,2.0441701412200928,2.461945962905884,11.587302386760712,0.0,0.0
prior,wrong_MNIST,0.0,0,5,41.23333394527435,0.0,-0.3999978303909302,0.042444319603964685,0.04231277196668089,2.0441701412200928,2.0500497817993164,17.85714328289032,0.0,0.0
affine,wrong_MNIST,0.001,1,5,41.653332114219666,0.018257727639959104,0.020000338554382324,0.042444319603964685,0.042436077957972884,2.0441701412200928,2.044147825241089,18.65079402923584,6.110541453381302e-05,5.6411921468679795e-05
affine,wrong_MNIST,0.001,3,5,41.653332114219666,0.018257727639959104,0.020000338554382324,0.042444319603964685,0.04241958409547806,2.0441701412200928,2.044103717803955,18.65079402923584,0.00018331945575482677,0.00016899609727261122
affine,wrong_MNIST,0.001,5,5,41.653332114219666,0.018257727639959104,0.020000338554382324,0.042444319603964685,0.04240313349291682,2.0441701412200928,2.0440598011016844,18.65079402923584,0.0003054983142646961,0.00028149107965873553
affine,wrong_MNIST,0.001,10,5,41.67333245277405,0.027889139642666684,0.04000067710876465,0.042444319603964685,0.04236215678974986,2.0441701412200928,2.0439502716064455,18.65079402923584,0.0006104177460656502,0.0005619276969810016
affine,wrong_MNIST,0.01,1,5,41.67333245277405,0.027889139642666684,0.04000067710876465,0.042444319603964685,0.042361964005976915,2.0441701412200928,2.043949317932129,18.65079402923584,0.0006110540911322459,0.0005641192037728615
affine,wrong_MNIST,0.01,3,5,41.67333245277405,0.01490737219353625,0.04000067710876465,0.042444319603964685,0.04219730105251074,2.0441701412200928,2.0435158729553224,18.65079402923584,0.0018340422888286413,0.0016880182723980398
affine,wrong_MNIST,0.01,5,5,41.69333279132843,0.05477318291987732,0.06000101566314697,0.042444319603964685,0.04203410022892058,2.0441701412200928,2.0430909633636474,18.730159401893616,0.003053014859324321,0.0028058534022420644
affine,wrong_MNIST,0.01,10,5,41.67999982833862,0.06912177893671537,0.046668052673339844,0.042444319603964685,0.041633179690688846,2.0441701412200928,2.0420642852783204,18.412698805332184,0.006077539559919387,0.005572723899967968
affine,wrong_MNIST,0.1,1,5,41.673333048820496,0.05962857248174212,0.0400012731552124,0.042444319603964685,0.041627036919817326,2.0441701412200928,2.0420337200164793,18.412698805332184,0.006110541266389191,0.005641192174516618
affine,wrong_MNIST,0.1,3,5,41.679999232292175,0.09888231108215008,0.04666745662689209,0.042444319603964685,0.04010237585753203,2.0441701412200928,2.038337755203247,18.015873432159424,0.017964561842381953,0.016450289729982616
affine,wrong_MNIST,0.1,5,5,41.88666582107544,0.11205116713748986,0.25333404541015625,0.042444319603964685,0.03870674977079034,2.0441701412200928,2.035328674316406,17.77777850627899,0.02941331099718809,0.026704844273626804
affine,wrong_MNIST,0.1,10,5,42.14666664600372,0.2672909820923543,0.5133348703384399,0.042444319603964685,0.035626013902947305,2.0441701412200928,2.0304293632507324,17.222222983837128,0.05644658133387566,0.05007115192711353
bn,wrong_USPS,0.0,0,5,38.66666615009308,0.1929314351202686,-2.9666656255722046,0.00850746015785262,0.006692802824545652,2.0441701412200928,3.2200334072113037,12.936508655548096,0.0,0.0
prior,wrong_USPS,0.0,0,5,41.23333394527435,0.0,-0.3999978303909302,0.00850746015785262,0.008331735467072577,2.0441701412200928,2.0500497817993164,17.85714328289032,0.0,0.0
affine,wrong_USPS,0.001,1,5,41.63999855518341,0.01490737219353625,0.006666779518127441,0.00850746015785262,0.008507075090892612,2.0441701412200928,2.0441709041595457,18.65079402923584,8.802894944892614e-06,1.0920866361630033e-05
affine,wrong_USPS,0.001,3,5,41.63999855518341,0.01490737219353625,0.006666779518127441,0.00850746015785262,0.008506308263167738,2.0441701412200928,2.0441729068756103,18.65079402923584,2.6408447774883824e-05,3.2762231421656905e-05
affine,wrong_USPS,0.001,5,5,41.63999855518341,0.01490737219353625,0.006666779518127441,0.00850746015785262,0.00850553842028603,2.0441701412200928,2.0441747665405274,18.65079402923584,4.4013582555635364e-05,5.460307511384599e-05
affine,wrong_USPS,0.001,10,5,41.63999855518341,0.01490737219353625,0.006666779518127441,0.00850746015785262,0.008503617392852903,2.0441701412200928,2.044179153442383,18.65079402923584,8.801928634056821e-05,0.00010919401611317881
affine,wrong_USPS,0.01,1,5,41.63999855518341,0.01490737219353625,0.006666779518127441,0.00850746015785262,0.008503617323003709,2.0441701412200928,2.0441792488098143,18.65079402923584,8.802894481050317e-05,0.00010920865170191974
affine,wrong_USPS,0.01,3,5,41.653332114219666,0.0298147443870725,0.020000338554382324,0.00850746015785262,0.008495935378596187,2.0441701412200928,2.044197845458984,18.65079402923584,0.00026397303299745544,0.00032725489290896803
affine,wrong_USPS,0.01,5,5,41.66666567325592,0.04714125005943497,0.03333389759063721,0.00850746015785262,0.008488195575773716,2.0441701412200928,2.0442154884338377,18.65079402923584,0.00043998739565722646,0.0005462676956085489
affine,wrong_USPS,0.01,10,5,41.67333245277405,0.05477318291987732,0.04000067710876465,0.00850746015785262,0.008468913508113473,2.0441701412200928,2.0442612171173096,18.65079402923584,0.0008793655433692038,0.0010924288188107311
affine,wrong_USPS,0.1,1,5,41.67333245277405,0.05477318291987732,0.04000067710876465,0.00850746015785262,0.008468982786871493,2.0441701412200928,2.04426531791687,18.65079402923584,0.000880289456108585,0.0010920865868683904
affine,wrong_USPS,0.1,3,5,41.69999957084656,0.03333389759063721,0.06666779518127441,0.00850746015785262,0.008392549981363118,2.0441701412200928,2.044457769393921,18.65079402923584,0.002632331592030823,0.0032645898871123792
affine,wrong_USPS,0.1,5,5,41.71333312988281,0.050553358698914405,0.0800013542175293,0.00850746015785262,0.008318646880798041,2.0441701412200928,2.0446755409240724,18.809524476528168,0.004364041425287723,0.005387544468976557
affine,wrong_USPS,0.1,10,5,41.69333279132843,0.04944216017613708,0.06000101566314697,0.00850746015785262,0.008137426886241883,2.0441701412200928,2.0452746868133547,18.73015969991684,0.008619180973619222,0.01059544486925006
bn,wrong_MNISTM,0.0,0,5,43.83999943733215,0.1299581583082343,2.20666766166687,0.20376689732074738,0.258634352684021,2.0441701412200928,2.054641056060791,17.301587760448456,0.0,0.0
prior,wrong_MNISTM,0.0,0,5,41.23333394527435,0.0,-0.3999978303909302,0.20376689732074738,0.20508731603622438,2.0441701412200928,2.0500497817993164,17.85714328289032,0.0,0.0
affine,wrong_MNISTM,0.001,1,5,41.65999889373779,0.01490737219353625,0.026667118072509766,0.20376689732074738,0.20372235476970674,2.0441701412200928,2.0441354274749757,18.65079402923584,0.00015062578750075773,0.00014412837044801562
affine,wrong_MNISTM,0.001,3,5,41.65999889373779,0.01490737219353625,0.026667118072509766,0.20376689732074738,0.20363341867923737,2.0441701412200928,2.04406681060791,18.65079402923584,0.00045158506836742165,0.0004320068750530481
