client,condition,n_query,accuracy
0,none,178,32.02247191011236
0,A,178,32.02247191011236
0,B,178,32.02247191011236
1,none,99,14.14141414141414
1,A,99,14.14141414141414
1,B,99,14.14141414141414
2,none,140,1.4285714285714286
2,A,140,1.4285714285714286
2,B,140,1.4285714285714286
3,none,216,14.351851851851851
3,A,216,14.351851851851851
3,B,216,14.351851851851851
4,none,105,7.6190476190476195
4,A,105,7.6190476190476195
4,B,105,7.6190476190476195
5,none,158,30.37974683544304
5,A,158,30.37974683544304
5,B,158,30.37974683544304
6,none,261,47.89272030651341
6,A,261,47.89272030651341
6,B,261,47.89272030651341
7,none,197,20.812182741116754
7,A,197,20.812182741116754
7,B,197,20.812182741116754
8,none,193,19.170984455958546
8,A,193,19.170984455958546
8,B,193,19.170984455958546
9,none,176,23.295454545454543
9,A,176,23.295454545454543
9,B,176,23.295454545454543
10,none,282,14.184397163120568
10,A,282,14.184397163120568
10,B,282,14.184397163120568
11,none,180,65.0
11,A,180,65.0
11,B,180,65.0
12,none,164,21.951219512195124
12,A,164,21.951219512195124
12,B,164,21.951219512195124
13,none,80,58.75
13,A,80,58.75
13,B,80,58.75
14,none,71,57.74647887323944
14,A,71,57.74647887323944
14,B,71,57.74647887323944
15,none,236,0.0
15,A,236,0.0
15,B,236,0.0
16,none,21,66.66666666666666
16,A,21,66.66666666666666
16,B,21,66.66666666666666
17,none,87,65.51724137931035
17,A,87,65.51724137931035
17,B,87,65.51724137931035
18,none,10,10.0
18,A,10,10.0
18,B,10,10.0
19,none,91,45.05494505494506
19,A,91,45.05494505494506
19,B,91,45.05494505494506
20,none,152,78.28947368421053
20,A,152,78.28947368421053
20,B,152,78.28947368421053
21,none,242,0.0
21,A,242,0.0
21,B,242,0.0
22,none,175,65.71428571428571
22,A,175,65.71428571428571
22,B,175,65.71428571428571
23,none,140,38.57142857142858
23,A,140,38.57142857142858
23,B,140,38.57142857142858
24,none,179,3.35195530726257
24,A,179,3.35195530726257
24,B,179,3.35195530726257
25,none,36,38.88888888888889
25,A,36,38.88888888888889
25,B,36,38.88888888888889
26,none,284,75.70422535211267
26,A,284,75.70422535211267
26,B,284,75.70422535211267
27,none,195,82.56410256410255
27,A,195,82.56410256410255
27,B,195,82.56410256410255
28,none,26,23.076923076923077
28,A,26,23.076923076923077
28,B,26,23.076923076923077
29,none,382,75.91623036649214
29,A,382,75.91623036649214
29,B,382,75.91623036649214
30,none,275,29.454545454545457
30,A,275,29.454545454545457
30,B,275,29.454545454545457
31,none,202,62.87128712871287
31,A,202,62.87128712871287
31,B,202,62.87128712871287
32,none,198,29.797979797979796
32,A,198,29.797979797979796
32,B,198,29.797979797979796
33,none,264,20.454545454545457
33,A,264,20.454545454545457
33,B,264,20.454545454545457
34,none,102,23.52941176470588
34,A,102,23.52941176470588
34,B,102,23.52941176470588
35,none,175,70.28571428571428
35,A,175,70.28571428571428
35,B,175,70.28571428571428
36,none,18,16.666666666666664
36,A,18,16.666666666666664
36,B,18,16.666666666666664
37,none,80,26.25
37,A,80,26.25
37,B,80,26.25
38,none,25,68.0
38,A,25,68.0
38,B,25,68.0
39,none,160,51.24999999999999
39,A,160,51.24999999999999
39,B,160,51.24999999999999
40,none,250,0.8
40,A,250,0.8
40,B,250,0.8
41,none,100,10.0
41,A,100,10.0
41,B,100,10.0
42,none,320,56.25
42,A,320,56.25
42,B,320,56.25
43,none,198,7.07070707070707
43,A,198,7.07070707070707
43,B,198,7.07070707070707
44,none,74,22.972972972972975
44,A,74,22.972972972972975
44,B,74,22.972972972972975
45,none,13,46.15384615384615
45,A,13,46.15384615384615
45,B,13,46.15384615384615
46,none,79,15.18987341772152
46,A,79,15.18987341772152
46,B,79,15.18987341772152
47,none,32,62.5
47,A,32,62.5
47,B,32,62.5
48,none,161,1.8633540372670807
48,A,161,1.8633540372670807
48,B,161,1.8633540372670807
49,none,202,22.277227722772277
49,A,202,22.277227722772277
49,B,202,22.277227722772277
50,none,121,39.66942148760331
50,A,121,39.66942148760331
50,B,121,39.66942148760331
51,none,12,0.0
51,A,12,0.0
51,B,12,0.0
52,none,24,45.83333333333333
52,A,24,45.83333333333333
52,B,24,45.83333333333333
53,none,121,27.27272727272727
53,A,121,27.27272727272727
53,B,121,27.27272727272727
54,none,237,30.37974683544304
54,A,237,30.37974683544304
54,B,237,30.37974683544304
55,none,210,70.47619047619048
55,A,210,70.47619047619048
55,B,210,70.47619047619048
56,none,118,16.101694915254235
56,A,118,16.101694915254235
56,B,118,16.101694915254235
57,none,117,42.73504273504273
57,A,117,42.73504273504273
57,B,117,42.73504273504273
58,none,28,3.571428571428571
58,A,28,3.571428571428571
58,B,28,3.571428571428571
59,none,94,47.87234042553192
59,A,94,47.87234042553192
59,B,94,47.87234042553192
60,none,475,17.894736842105264
60,A,475,17.894736842105264
60,B,475,17.894736842105264
61,none,15,6.666666666666667
61,A,15,6.666666666666667
61,B,15,6.666666666666667
62,none,75,16.0
62,A,75,16.0
62,B,75,16.0
63,none,215,35.348837209302324
63,A,215,35.348837209302324
63,B,215,35.348837209302324
64,none,127,22.83464566929134
64,A,127,22.83464566929134
64,B,127,22.83464566929134
65,none,152,23.026315789473685
65,A,152,23.026315789473685
65,B,152,23.026315789473685
66,none,194,3.0927835051546393
66,A,194,3.0927835051546393
66,B,194,3.0927835051546393
67,none,82,25.609756097560975
67,A,82,25.609756097560975
67,B,82,25.609756097560975
68,none,229,24.017467248908297
68,A,229,24.017467248908297
68,B,229,24.017467248908297
69,none,142,21.12676056338028
69,A,142,21.12676056338028
69,B,142,21.12676056338028
70,none,77,62.33766233766234
70,A,77,62.33766233766234
70,B,77,62.33766233766234
71,none,36,11.11111111111111
71,A,36,11.11111111111111
71,B,36,11.11111111111111
72,none,161,45.3416149068323
72,A,161,45.3416149068323
72,B,161,45.3416149068323
73,none,228,30.263157894736842
73,A,228,30.263157894736842
73,B,228,30.263157894736842
74,none,164,71.95121951219512
74,A,164,71.95121951219512
74,B,164,71.95121951219512
75,none,200,46.5
75,A,200,46.5
75,B,200,46.5
76,none,167,56.287425149700596
76,A,167,56.287425149700596
76,B,167,56.287425149700596
77,none,172,36.627906976744185
77,A,172,36.627906976744185
77,B,172,36.627906976744185
78,none,98,15.306122448979592
78,A,98,15.306122448979592
78,B,98,15.306122448979592
79,none,18,38.88888888888889
79,A,18,38.88888888888889
79,B,18,38.88888888888889
80,none,80,73.75
80,A,80,73.75
80,B,80,73.75
81,none,17,11.76470588235294
81,A,17,11.76470588235294
81,B,17,11.76470588235294
82,none,163,13.496932515337424
82,A,163,13.496932515337424
82,B,163,13.496932515337424
83,none,509,58.7426326129666
83,A,509,58.7426326129666
83,B,509,58.7426326129666
84,none,254,64.56692913385827
84,A,254,64.56692913385827
84,B,254,64.56692913385827
85,none,222,60.36036036036037
85,A,222,60.36036036036037
85,B,222,60.36036036036037
86,none,40,12.5
86,A,40,12.5
86,B,40,12.5
87,none,150,26.666666666666668
87,A,150,26.666666666666668
87,B,150,26.666666666666668
88,none,77,40.25974025974026
88,A,77,40.25974025974026
88,B,77,40.25974025974026
89,none,155,15.483870967741936
89,A,155,15.483870967741936
89,B,155,15.483870967741936
90,none,155,21.935483870967744
90,A,155,21.935483870967744
90,B,155,21.935483870967744
91,none,183,3.278688524590164
91,A,183,3.278688524590164
91,B,183,3.278688524590164
92,none,96,71.875
92,A,96,71.875
92,B,96,71.875
93,none,218,4.587155963302752
93,A,218,4.587155963302752
93,B,218,4.587155963302752
94,none,293,26.96245733788396
94,A,293,26.96245733788396
94,B,293,26.96245733788396
95,none,38,60.526315789473685
95,A,38,60.526315789473685
95,B,38,60.526315789473685
96,none,215,4.186046511627907
96,A,215,4.186046511627907
96,B,215,4.186046511627907
97,none,170,37.05882352941177
97,A,170,37.05882352941177
97,B,170,37.05882352941177
98,none,66,21.21212121212121
98,A,66,21.21212121212121
98,B,66,21.21212121212121
99,none,145,13.793103448275861
99,A,145,13.793103448275861
99,B,145,13.793103448275861
