direction,bank,heldout,batch,true_context,selected,second,distance,second_distance,margin,d_clean,d_brightness_dark,d_contrast_low,d_gaussian_noise,d_gaussian_blur
A_to_B,A,B,0,clean,clean,gaussian_blur,4.068629639843612,13.16297222691411,9.094342587070498,4.068629639843612,268.64095131611253,69.65633345677477,30.15615903829827,13.16297222691411
A_to_B,A,B,1,clean,clean,gaussian_noise,3.3192629517684034,22.32060707596203,19.001344124193626,3.3192629517684034,302.91576737373964,98.4656980923523,22.32060707596203,23.08508150267265
A_to_B,A,B,2,clean,clean,gaussian_blur,1.4060102487622372,19.667602050256477,18.26159180149424,1.4060102487622372,298.4825482599156,91.09300809994164,22.093788649134403,19.667602050256477
A_to_B,A,B,3,clean,clean,gaussian_noise,1.211787539561778,17.118614975759957,15.90682743619818,1.211787539561778,294.20306679973396,98.38618833691702,17.118614975759957,23.764376426088557
A_to_B,A,B,0,brightness_dark,brightness_dark,contrast_low,2.337239471176424,189.8156725288693,187.47843305769288,312.3530889448283,2.337239471176424,189.8156725288693,364.3462779754382,260.05414301353795
A_to_B,A,B,1,brightness_dark,brightness_dark,contrast_low,1.4852139630078323,186.40861689021384,184.923402927206,290.7528294198127,1.4852139630078323,186.40861689021384,339.8857046078253,244.84820412891742
A_to_B,A,B,2,brightness_dark,brightness_dark,contrast_low,1.8758560794090033,198.61707756129192,196.74122148188292,311.57181042619277,1.8758560794090033,198.61707756129192,361.673103859304,263.381356585491
A_to_B,A,B,3,brightness_dark,brightness_dark,contrast_low,0.6217577271824947,189.95320369399334,189.33144596681086,293.3674566655276,0.6217577271824947,189.95320369399334,340.9572338843291,248.96901460981465
A_to_B,A,B,0,contrast_low,contrast_low,gaussian_blur,4.853369494185491,51.58814895016439,46.734779455978895,116.1122955158272,174.82937204909524,4.853369494185491,189.59403838007606,51.58814895016439
A_to_B,A,B,1,contrast_low,contrast_low,gaussian_blur,6.948355867479854,32.41769932873241,25.469343461252556,89.07498291047794,209.84783136034574,6.948355867479854,159.0370106088757,32.41769932873241
A_to_B,A,B,2,contrast_low,contrast_low,gaussian_blur,4.287174617329429,31.536802440613965,27.249627823284534,89.47938979439286,212.56035351752186,4.287174617329429,161.69848105466968,31.536802440613965
A_to_B,A,B,3,contrast_low,contrast_low,gaussian_blur,4.226643206570195,43.77134083727624,39.54469763070605,105.26063826588246,187.9247848533206,4.226643206570195,177.02139033280883,43.77134083727624
A_to_B,A,B,0,gaussian_noise,gaussian_noise,clean,3.8028523343847245,22.295612810023837,18.492760475639113,22.295612810023837,321.37626414497583,145.14763936381462,3.8028523343847245,63.48230046956046
A_to_B,A,B,1,gaussian_noise,gaussian_noise,clean,2.7660222770509795,23.148006802412503,20.381984525361524,23.148006802412503,344.10429018816785,163.28843926169407,2.7660222770509795,68.75162173859965
A_to_B,A,B,2,gaussian_noise,gaussian_noise,clean,1.7325403345830241,20.64294037976429,18.910400045181266,20.64294037976429,344.44983612635485,158.3803125109999,1.7325403345830241,66.11589583892261
A_to_B,A,B,3,gaussian_noise,gaussian_noise,clean,1.7946027037512824,25.883630267220294,24.08902756346901,25.883630267220294,349.23756154430686,173.9222531774934,1.7946027037512824,76.83731256891087
A_to_B,A,B,0,gaussian_blur,gaussian_blur,contrast_low,3.562832606644214,23.516586797865436,19.953754191221222,28.64911647471508,231.16373781413984,23.516586797865436,81.05130185182522,3.562832606644214
A_to_B,A,B,1,gaussian_blur,gaussian_blur,clean,1.9927736580436204,20.159491739809724,18.166718081766103,20.159491739809724,257.94686689908957,39.451944899340184,69.85333186332674,1.9927736580436204
A_to_B,A,B,2,gaussian_blur,gaussian_blur,clean,1.7011455398265078,24.416307221157798,22.71516168133129,24.416307221157798,255.62237445241203,32.18776197631044,77.89247936101279,1.7011455398265078
A_to_B,A,B,3,gaussian_blur,gaussian_blur,clean,1.433305815912881,21.649074820540122,20.21576900462724,21.649074820540122,239.98321309849499,31.6711004013892,71.40110976059074,1.433305815912881
B_to_A,B,A,0,clean,clean,gaussian_noise,4.9765814991346105,17.926344736469947,12.949763237335336,4.9765814991346105,325.16211894456325,124.79280452237664,17.926344736469947,40.472244035409744
B_to_A,B,A,1,clean,clean,gaussian_blur,1.3434283664852573,20.082335200807975,18.73890683432272,1.3434283664852573,277.4486394589183,85.37480308081248,24.430748458436632,20.082335200807975
B_to_A,B,A,2,clean,clean,gaussian_blur,6.604979732374545,18.780833411596106,12.17585367922156,6.604979732374545,297.6061665901007,86.84656352985726,34.35058583178494,18.780833411596106
B_to_A,B,A,3,clean,clean,gaussian_blur,2.674365013692092,18.513565156565598,15.839200142873505,2.674365013692092,283.825939692853,83.96482379553575,25.330062098561495,18.513565156565598
B_to_A,B,A,0,brightness_dark,brightness_dark,contrast_low,2.7878018713965362,196.904390892156,194.11658902075945,279.1087183841074,2.7878018713965362,196.904390892156,328.01252283595255,238.11039691317964
B_to_A,B,A,1,brightness_dark,brightness_dark,contrast_low,0.9835214462320578,201.68353659886037,200.7000151526283,302.40671103242215,0.9835214462320578,201.68353659886037,356.12030350593744,253.1704680253194
B_to_A,B,A,2,brightness_dark,brightness_dark,contrast_low,3.664651230298885,210.15156155005675,206.48691031975787,316.2577814117534,3.664651230298885,210.15156155005675,373.5064117564257,264.2939478172566
B_to_A,B,A,3,brightness_dark,brightness_dark,contrast_low,2.056117543421969,212.80422009465644,210.74810255123447,317.2037994786536,2.056117543421969,212.80422009465644,371.8641146295672,267.0569079244111
B_to_A,B,A,0,contrast_low,contrast_low,gaussian_blur,9.66969159356889,35.03869611764395,25.36900452407506,90.59359100890822,188.82885252255625,9.66969159356889,163.26505311876278,35.03869611764395
B_to_A,B,A,1,contrast_low,contrast_low,gaussian_blur,8.628307068186423,58.20567960766006,49.577372539473636,127.02770656690276,152.23702195288678,8.628307068186423,202.88447503458994,58.20567960766006
