bank,client,target,selected,n_query,selected_correct,oracle_correct,aggregate_macroclass_delta_pp,entropy,max_class_fraction
B,29,gaussian_blur,clean,382,175,291,-0.7759197324414716,-0.0,1.0
A,29,gaussian_blur,clean,382,175,290,-0.7692307692307693,-0.0,1.0
A,26,gaussian_blur,contrast_low,284,147,216,-0.4515860552419876,0.08621407475879368,0.95
A,29,clean,gaussian_noise,382,245,290,-0.3010033444816054,-0.0,1.0
B,29,clean,gaussian_noise,382,251,290,-0.2608695652173913,-0.0,1.0
B,74,gaussian_blur,contrast_low,164,88,118,-0.19626480437151517,-0.0,1.0
A,74,gaussian_blur,contrast_low,164,87,116,-0.18971601589738288,-0.0,1.0
B,26,clean,gaussian_blur,284,187,215,-0.18294555306599383,0.08621407475879368,0.95
A,26,clean,gaussian_blur,284,192,215,-0.1502016106953324,0.08621407475879368,0.95
B,30,clean,gaussian_blur,275,62,81,-0.12599072233267064,0.37162086641628495,0.5
A,30,clean,gaussian_blur,275,63,81,-0.1193638170974155,0.37162086641628495,0.5
B,45,clean,gaussian_blur,13,2,6,-0.026507620941020542,0.3076310099728432,0.8
A,45,clean,gaussian_blur,13,3,6,-0.019880715705765408,0.3076310099728432,0.8
A,52,clean,gaussian_blur,24,8,11,-0.019880715705765408,0.14118174150460758,0.9
B,52,clean,gaussian_blur,24,8,11,-0.019880715705765408,0.14118174150460758,0.9
A,15,clean,gaussian_blur,236,0,0,0.0,-0.0,1.0
B,15,clean,gaussian_blur,236,0,0,0.0,-0.0,1.0
A,15,gaussian_blur,contrast_low,236,0,0,0.0,-0.0,1.0
B,15,gaussian_blur,contrast_low,236,0,0,0.0,-0.0,1.0
A,21,clean,gaussian_blur,242,0,0,0.0,-0.0,1.0
A,71,clean,gaussian_blur,36,4,4,8.87705281846427e-06,0.3172903635978727,0.75
B,71,clean,gaussian_blur,36,4,4,8.87705281846427e-06,0.3172903635978727,0.75
