bank,heldout,batch,true_context,selected,zero_consistency,selected_consistency,consistency_improvement,selected_agreement,zero_agreement,true_state_rank_by_consistency
A,B,0,clean,clean,0.0018943079451308222,0.0018943079451308222,0.0,0.9500000000000001,0.9500000000000001,1
A,B,1,clean,gaussian_noise,0.0023958857273078575,0.0021680999998943714,0.0002277857274134861,0.9,0.8500000000000001,2
A,B,2,clean,clean,0.003086174759783206,0.003086174759783206,0.0,0.9,0.9,2
A,B,3,clean,clean,0.0036965498305160244,0.0036965498305160244,0.0,0.9,0.9,2
A,B,0,brightness_dark,gaussian_noise,0.0005374203910786498,0.0004945942525572516,4.282613852139817e-05,1.0,0.9500000000000001,5
A,B,1,brightness_dark,clean,0.000534359005661027,0.000534359005661027,0.0,0.9500000000000001,0.9500000000000001,5
A,B,2,brightness_dark,gaussian_noise,0.000790527256235723,0.0006576378011319159,0.00013288945510380715,0.9,0.9,5
A,B,3,brightness_dark,gaussian_noise,0.0006941082136440366,0.0005400854049113113,0.0001540228087327253,1.0,0.9500000000000001,5
A,B,0,contrast_low,gaussian_noise,0.00021438949082854398,0.0001931147280297801,2.1274762798763878e-05,0.9500000000000001,0.9500000000000001,4
A,B,1,contrast_low,gaussian_noise,0.0003916188292728623,0.00031618596956436523,7.543285970849705e-05,1.0,0.9,4
A,B,2,contrast_low,clean,0.00043202329512629614,0.00043202329512629614,0.0,1.0,1.0,4
A,B,3,contrast_low,clean,0.00042678634249796474,0.00042678634249796474,0.0,0.9500000000000001,0.9500000000000001,4
A,B,0,gaussian_noise,clean,0.002080819020007455,0.002080819020007455,0.0,0.9500000000000001,0.9500000000000001,1
A,B,1,gaussian_noise,contrast_low,0.0030217324247228195,0.001647630240373725,0.0013741021843490945,0.9500000000000001,0.9500000000000001,2
A,B,2,gaussian_noise,clean,0.0029426012475490234,0.0029426012475490234,0.0,0.8500000000000001,0.8500000000000001,2
A,B,3,gaussian_noise,contrast_low,0.003441610287793319,0.0017171010627898354,0.0017245092250034837,1.0,0.9,3
A,B,0,gaussian_blur,clean,0.001306450338011548,0.001306450338011548,0.0,1.0,1.0,3
A,B,1,gaussian_blur,clean,0.0014399167147891743,0.0014399167147891743,0.0,0.9500000000000001,0.9500000000000001,3
A,B,2,gaussian_blur,gaussian_noise,0.0017139607140855767,0.0015748430701367903,0.00013911764394878645,0.9,0.9,3
A,B,3,gaussian_blur,gaussian_noise,0.001963885030325695,0.0017369190006805578,0.00022696602964513714,0.9,0.9,3
B,A,0,clean,clean,0.0021779451096055483,0.0021779451096055483,0.0,0.9500000000000001,0.9500000000000001,2
B,A,1,clean,clean,0.002756545666772352,0.002756545666772352,0.0,1.0,1.0,2
B,A,2,clean,gaussian_noise,0.0025727973809500895,0.002405631983500261,0.00016716539744982863,0.9500000000000001,0.9,2
B,A,3,clean,gaussian_blur,0.002528748734352373,0.002433508067086412,9.524066726596114e-05,1.0,1.0,3
B,A,0,brightness_dark,gaussian_noise,0.00038738877074113846,0.000366099826449159,2.1288944291979466e-05,1.0,0.9500000000000001,5
B,A,1,brightness_dark,clean,0.0006632533977082216,0.0006632533977082216,0.0,1.0,1.0,5
B,A,2,brightness_dark,clean,0.000600473157284714,0.000600473157284714,0.0,1.0,1.0,5
B,A,3,brightness_dark,gaussian_noise,0.0008816267382139915,0.0007023133101777669,0.00017931342803622458,0.9,0.9,5
B,A,0,contrast_low,gaussian_noise,0.0002664545064653082,0.0002571768265569134,9.277679908394803e-06,1.0,1.0,4
B,A,1,contrast_low,gaussian_noise,0.0003882421692871939,0.00033911245303829256,4.912971624890136e-05,0.9500000000000001,0.9500000000000001,4
B,A,2,contrast_low,gaussian_noise,0.00043601709363900055,0.0003658381491330493,7.017894450595127e-05,1.0,0.9,4
B,A,3,contrast_low,clean,0.0003515031349762468,0.0003515031349762468,0.0,1.0,1.0,4
B,A,0,gaussian_noise,contrast_low,0.002144249035569428,0.0006562982748663792,0.0014879507607030488,1.0,0.8500000000000001,2
B,A,1,gaussian_noise,contrast_low,0.0032420640315698754,0.002566425075155733,0.0006756389564141424,1.0,0.9,2
B,A,2,gaussian_noise,contrast_low,0.0024046660313083814,0.001027571657934279,0.0013770943733741024,0.9500000000000001,0.9,3
B,A,3,gaussian_noise,contrast_low,0.003045622468886243,0.0011641462987015722,0.001881476170184671,1.0,1.0,2
B,A,0,gaussian_blur,clean,0.0015681518654703562,0.0015681518654703562,0.0,0.8,0.8,3
B,A,1,gaussian_blur,gaussian_noise,0.0018032838632167853,0.0017336604397869947,6.962342342979057e-05,0.9,0.8500000000000001,3
B,A,2,gaussian_blur,gaussian_noise,0.001992653754255849,0.001847723819918528,0.00014492993433732086,0.9500000000000001,0.9,3
B,A,3,gaussian_blur,gaussian_noise,0.0016316088186331046,0.0016103962158611944,2.121260277191013e-05,0.9500000000000001,0.9500000000000001,3
