client,bank,target,entropy,max_class_fraction,T009,T010,T011,C_zero,agreement_zero,C_true,agreement_true,C_selected,agreement_selected,true_query_accuracy,selected_query_accuracy,query_best_states,query_best_accuracy
0,A,clean,0.22504541292605024,0.85,clean,clean,gaussian_noise,0.004226147432089807,0.8500000000000001,0.004226147432089807,0.8500000000000001,0.003901652421640192,0.8500000000000001,32.02247191011236,31.46067415730337,brightness_dark,40.449438202247194
0,B,clean,0.22504541292605024,0.85,clean,clean,gaussian_noise,0.004226147432089807,0.8500000000000001,0.004226147432089807,0.8500000000000001,0.00384779638459596,0.8500000000000001,32.02247191011236,30.89887640449438,brightness_dark,41.01123595505618
0,A,gaussian_blur,0.22504541292605024,0.85,gaussian_blur,gaussian_blur,clean,0.003045535234900457,0.9,0.004031966933715906,0.8,0.003045535234900457,0.9,30.89887640449438,25.280898876404496,brightness_dark,35.95505617977528
0,B,gaussian_blur,0.22504541292605024,0.85,gaussian_blur,gaussian_blur,clean,0.003045535234900457,0.9,0.00409420854170816,0.8500000000000001,0.003045535234900457,0.9,32.02247191011236,25.280898876404496,brightness_dark,37.640449438202246
1,A,clean,0.18358022428449897,0.85,clean,clean,gaussian_noise,0.0037546039680047393,0.8,0.0037546039680047393,0.8,0.0033540028960612756,0.9,14.14141414141414,15.151515151515152,brightness_dark,36.36363636363637
1,B,clean,0.18358022428449897,0.85,clean,clean,gaussian_noise,0.0037546039680047393,0.8,0.0037546039680047393,0.8,0.003329961548182707,0.8500000000000001,14.14141414141414,16.161616161616163,brightness_dark,36.36363636363637
1,A,gaussian_blur,0.18358022428449897,0.85,gaussian_blur,gaussian_blur,clean,0.0021295329092496057,1.0,0.0029525562065949237,0.75,0.0021295329092496057,1.0,17.17171717171717,11.11111111111111,brightness_dark,28.282828282828284
1,B,gaussian_blur,0.18358022428449897,0.85,gaussian_blur,gaussian_blur,clean,0.0021295329092496057,1.0,0.002995822522127731,0.8,0.0021295329092496057,1.0,17.17171717171717,11.11111111111111,brightness_dark,29.292929292929294
2,A,clean,0.1712847410710057,0.9,clean,clean,contrast_low,0.004775439080726234,0.8500000000000001,0.004775439080726234,0.8500000000000001,0.004341355231584563,1.0,1.4285714285714286,0.7142857142857143,brightness_dark,2.857142857142857
2,B,clean,0.1712847410710057,0.9,clean,clean,contrast_low,0.004775439080726234,0.8500000000000001,0.004775439080726234,0.8500000000000001,0.003081509088687516,1.0,1.4285714285714286,0.0,brightness_dark,2.857142857142857
2,A,gaussian_blur,0.1712847410710057,0.9,gaussian_blur,gaussian_blur,gaussian_noise,0.0033512203457253783,0.9,0.004239967808471092,0.8500000000000001,0.002972865803463863,0.9500000000000001,2.142857142857143,0.7142857142857143,brightness_dark,5.0
2,B,gaussian_blur,0.1712847410710057,0.9,gaussian_blur,gaussian_blur,gaussian_noise,0.0033512203457253783,0.9,0.004201239308823267,0.9,0.0029918685474041914,0.9500000000000001,2.142857142857143,0.7142857142857143,brightness_dark,5.714285714285714
3,A,clean,-0.0,1.0,clean,clean,gaussian_noise,0.0015224221668395895,1.0,0.0015224221668395895,1.0,0.0014162828367188106,1.0,14.351851851851851,23.14814814814815,gaussian_noise,23.14814814814815
3,A,gaussian_blur,-0.0,1.0,gaussian_blur,gaussian_blur,gaussian_noise,0.000988485293956068,1.0,0.0011771988345498795,0.9500000000000001,0.0009639448741332182,1.0,12.5,15.74074074074074,gaussian_noise,15.74074074074074
3,B,gaussian_blur,-0.0,1.0,gaussian_blur,gaussian_blur,gaussian_noise,0.000988485293956068,1.0,0.0011950142977524324,0.9500000000000001,0.0009677851067971567,1.0,12.037037037037036,15.277777777777779,gaussian_noise,15.277777777777779
4,A,clean,0.3670280240301799,0.55,clean,clean,gaussian_noise,0.0031400412206739623,0.9,0.0031400412206739623,0.9,0.002985055999571662,0.9,7.6190476190476195,6.666666666666667,brightness_dark,23.80952380952381
4,A,gaussian_blur,0.3670280240301799,0.55,gaussian_blur,gaussian_blur,clean,0.0020957860060704867,1.0,0.0025323963748658212,0.8500000000000001,0.0020957860060704867,1.0,7.6190476190476195,6.666666666666667,brightness_dark,21.904761904761905
4,B,gaussian_blur,0.3670280240301799,0.55,gaussian_blur,gaussian_blur,gaussian_noise,0.0020957860060704867,1.0,0.002533300792288159,0.9,0.0019178631055531547,1.0,6.666666666666667,7.6190476190476195,brightness_dark,21.904761904761905
5,A,clean,0.3849866301909954,0.65,clean,clean,gaussian_noise,0.0021584104969511095,0.9,0.0021584104969511095,0.9,0.002046548174343647,0.9500000000000001,30.37974683544304,38.607594936708864,gaussian_noise,38.607594936708864
5,B,clean,0.3849866301909954,0.65,clean,clean,gaussian_noise,0.0021584104969511095,0.9,0.0021584104969511095,0.9,0.001992579598792709,0.9500000000000001,30.37974683544304,36.708860759493675,gaussian_noise,36.70886075949367
5,A,gaussian_blur,0.3849866301909954,0.65,gaussian_blur,gaussian_blur,clean,0.0014851623292276434,0.9,0.001957914736621762,1.0,0.0014851623292276434,0.9,25.949367088607595,32.91139240506329,gaussian_noise,36.075949367088604
5,B,gaussian_blur,0.3849866301909954,0.65,gaussian_blur,gaussian_blur,clean,0.0014851623292276434,0.9,0.00198172379885635,1.0,0.0014851623292276434,0.9,25.949367088607595,32.91139240506329,gaussian_noise,36.075949367088604
6,A,clean,0.37162086641628495,0.5,clean,clean,gaussian_noise,0.002887376255623978,0.8500000000000001,0.002887376255623978,0.8500000000000001,0.002591956028814911,0.9,47.89272030651341,44.44444444444444,clean,47.89272030651341
6,B,clean,0.37162086641628495,0.5,clean,clean,gaussian_noise,0.002887376255623978,0.8500000000000001,0.002887376255623978,0.8500000000000001,0.0025474892047659256,0.9500000000000001,47.89272030651341,45.97701149425287,clean,47.89272030651341
6,A,gaussian_blur,0.37162086641628495,0.5,gaussian_blur,gaussian_blur,clean,0.001657786565245919,0.9,0.0022290454162880603,0.75,0.001657786565245919,0.9,52.10727969348659,46.74329501915709,gaussian_blur,52.10727969348659
6,B,gaussian_blur,0.37162086641628495,0.5,gaussian_blur,gaussian_blur,clean,0.001657786565245919,0.9,0.0022424559665455705,0.75,0.001657786565245919,0.9,52.490421455938694,46.74329501915709,gaussian_blur,52.490421455938694
7,A,clean,0.14118174150460758,0.9,clean,clean,gaussian_noise,0.004416145147681676,0.8,0.004416145147681676,0.8,0.004085346481883025,0.9,20.812182741116754,19.796954314720814,brightness_dark,21.82741116751269
7,B,clean,0.14118174150460758,0.9,clean,clean,gaussian_noise,0.004416145147681676,0.8,0.004416145147681676,0.8,0.004047385676520315,0.9,20.812182741116754,20.304568527918782,gaussian_blur,21.82741116751269
7,A,gaussian_blur,0.14118174150460758,0.9,gaussian_blur,gaussian_blur,gaussian_noise,0.0032875209544720703,0.8500000000000001,0.0042268586406772075,0.9,0.003102926994658197,0.9,22.33502538071066,14.213197969543149,contrast_low,25.380710659898476
7,B,gaussian_blur,0.14118174150460758,0.9,gaussian_blur,gaussian_blur,gaussian_noise,0.0032875209544720703,0.8500000000000001,0.004284272758274391,0.9,0.0030995010365142506,0.9,22.33502538071066,15.228426395939088,contrast_low,23.3502538071066
8,A,clean,0.21732201127364886,0.8,clean,clean,gaussian_noise,0.0023124788894026854,0.9,0.0023124788894026854,0.9,0.002274729264124695,0.9,19.170984455958546,22.279792746113987,brightness_dark,46.63212435233161
8,B,clean,0.21732201127364886,0.8,clean,clean,gaussian_noise,0.0023124788894026854,0.9,0.0023124788894026854,0.9,0.0022453039012759407,0.9500000000000001,19.170984455958546,21.761658031088082,brightness_dark,47.15025906735751
8,A,gaussian_blur,0.21732201127364886,0.8,gaussian_blur,gaussian_blur,gaussian_noise,0.00182547612518503,0.9,0.002460029442120622,0.9500000000000001,0.0017223219414992657,0.9500000000000001,16.06217616580311,17.098445595854923,brightness_dark,46.63212435233161
