client,bank,target,J_ray,PC_ray_safe
0,A,brightness_dark,1.0,0.0
0,B,brightness_dark,1.0,0.0
0,A,contrast_low,1.25,0.0
0,B,contrast_low,1.25,0.0
0,A,gaussian_noise,1.0,1.5
0,B,gaussian_noise,1.0,1.5
0,A,gaussian_blur,0.75,0.0
0,B,gaussian_blur,0.75,0.0
1,A,brightness_dark,1.0,0.0
1,B,brightness_dark,1.0,0.0
1,A,contrast_low,1.25,0.0
1,B,contrast_low,1.25,0.0
1,A,gaussian_noise,1.0,1.5
1,B,gaussian_noise,1.0,1.5
1,A,gaussian_blur,1.0,0.0
1,B,gaussian_blur,1.0,0.0
2,A,brightness_dark,1.0,0.0
2,B,brightness_dark,1.0,0.0
2,A,contrast_low,1.0,0.0
2,B,contrast_low,1.0,0.0
2,A,gaussian_noise,1.0,0.0
2,B,gaussian_noise,1.0,0.0
2,A,gaussian_blur,0.75,0.0
2,B,gaussian_blur,0.75,0.0
3,A,brightness_dark,1.0,0.0
3,B,brightness_dark,1.0,0.0
3,A,contrast_low,0.75,0.0
3,B,contrast_low,0.75,0.0
3,A,gaussian_noise,1.0,1.5
3,B,gaussian_noise,1.0,1.5
3,A,gaussian_blur,0.75,0.0
3,B,gaussian_blur,0.75,0.0
4,A,brightness_dark,1.0,0.0
4,B,brightness_dark,1.0,0.0
4,A,contrast_low,1.25,0.0
4,B,contrast_low,1.25,0.0
4,A,gaussian_noise,0.75,0.5
4,B,gaussian_noise,0.75,0.5
4,A,gaussian_blur,1.25,0.0
4,B,gaussian_blur,1.25,0.0
5,A,brightness_dark,1.0,0.0
5,B,brightness_dark,1.0,0.0
5,A,contrast_low,0.75,0.0
5,B,contrast_low,1.0,0.0
5,A,gaussian_noise,0.75,0.0
5,B,gaussian_noise,0.75,0.25
5,A,gaussian_blur,1.25,0.0
5,B,gaussian_blur,1.0,0.0
6,A,brightness_dark,1.0,0.0
6,B,brightness_dark,1.0,0.0
6,A,contrast_low,1.0,0.0
6,B,contrast_low,1.0,0.0
6,A,gaussian_noise,1.0,1.5
6,B,gaussian_noise,1.0,1.5
6,A,gaussian_blur,1.0,0.0
6,B,gaussian_blur,1.0,0.0
7,A,brightness_dark,1.0,0.0
7,B,brightness_dark,1.0,0.0
7,A,contrast_low,1.0,0.0
7,B,contrast_low,1.0,0.0
7,A,gaussian_noise,1.0,0.75
7,B,gaussian_noise,1.0,1.5
7,A,gaussian_blur,1.0,0.0
7,B,gaussian_blur,1.0,0.0
8,A,brightness_dark,1.0,0.0
8,B,brightness_dark,1.0,0.0
8,A,contrast_low,1.25,0.0
8,B,contrast_low,1.25,0.0
8,A,gaussian_noise,0.75,0.0
8,B,gaussian_noise,0.75,0.0
8,A,gaussian_blur,1.25,0.0
8,B,gaussian_blur,1.0,0.0
9,A,brightness_dark,1.0,0.0
9,B,brightness_dark,1.0,0.0
9,A,contrast_low,1.0,0.0
9,B,contrast_low,1.0,0.0
9,A,gaussian_noise,1.0,1.5
9,B,gaussian_noise,1.0,1.5
9,A,gaussian_blur,0.75,0.0
9,B,gaussian_blur,0.75,0.0
10,A,brightness_dark,1.0,0.0
10,B,brightness_dark,1.0,0.0
10,A,contrast_low,1.25,0.0
10,B,contrast_low,1.25,0.0
10,A,gaussian_noise,0.75,0.75
10,B,gaussian_noise,0.75,1.25
10,A,gaussian_blur,1.5,0.0
10,B,gaussian_blur,1.25,0.0
11,A,brightness_dark,1.0,0.0
11,B,brightness_dark,1.0,0.0
11,A,contrast_low,1.25,0.0
11,B,contrast_low,1.25,0.0
11,A,gaussian_noise,0.75,1.5
11,B,gaussian_noise,0.75,1.5
11,A,gaussian_blur,1.5,0.0
11,B,gaussian_blur,1.25,0.0
12,A,brightness_dark,1.0,0.0
12,B,brightness_dark,1.0,0.0
12,A,contrast_low,1.25,0.0
12,B,contrast_low,1.25,0.0
12,A,gaussian_noise,1.0,1.5
12,B,gaussian_noise,1.0,1.5
12,A,gaussian_blur,1.0,0.0
12,B,gaussian_blur,0.75,0.0
13,A,brightness_dark,1.0,0.0
13,B,brightness_dark,1.0,0.0
13,A,contrast_low,1.0,0.0
13,B,contrast_low,1.0,0.0
13,A,gaussian_noise,1.0,0.0
13,B,gaussian_noise,1.0,0.0
13,A,gaussian_blur,1.0,1.5
13,B,gaussian_blur,0.75,1.5
14,A,brightness_dark,1.0,0.0
14,B,brightness_dark,1.0,0.0
14,A,contrast_low,1.0,0.0
14,B,contrast_low,1.0,0.0
14,A,gaussian_noise,1.0,0.75
14,B,gaussian_noise,1.0,1.25
14,A,gaussian_blur,1.0,0.0
