bank,target1,target2,same_client_overlap,control_mean,control_min,control_max,difference_pp
A,clean,brightness_dark,0.51,0.3625,0.29,0.39,14.750000000000002
A,clean,contrast_low,0.52,0.28375,0.22,0.33,23.625
A,clean,gaussian_noise,0.89,0.39749999999999996,0.33,0.5,49.25000000000001
A,clean,gaussian_blur,0.71,0.30625,0.26,0.36,40.37499999999999
A,brightness_dark,contrast_low,0.53,0.34875,0.29,0.4,18.125000000000004
A,brightness_dark,gaussian_noise,0.51,0.375,0.34,0.42,13.5
A,brightness_dark,gaussian_blur,0.56,0.355,0.32,0.4,20.500000000000007
A,contrast_low,gaussian_noise,0.52,0.28500000000000003,0.25,0.36,23.5
A,contrast_low,gaussian_blur,0.7,0.28625,0.24,0.36,41.37499999999999
A,gaussian_noise,gaussian_blur,0.69,0.3375,0.27,0.39,35.24999999999999
B,clean,brightness_dark,0.5,0.35875,0.3,0.42,14.124999999999998
B,clean,contrast_low,0.53,0.26875000000000004,0.22,0.32,26.125
B,clean,gaussian_noise,0.91,0.395,0.33,0.46,51.5
B,clean,gaussian_blur,0.74,0.31125,0.25,0.36,42.875
B,brightness_dark,contrast_low,0.55,0.3475,0.29,0.39,20.250000000000007
B,brightness_dark,gaussian_noise,0.55,0.4,0.37,0.43,15.000000000000002
B,brightness_dark,gaussian_blur,0.55,0.3875,0.34,0.43,16.250000000000004
B,contrast_low,gaussian_noise,0.52,0.29125,0.26,0.36,22.875
B,contrast_low,gaussian_blur,0.69,0.28250000000000003,0.25,0.33,40.74999999999999
B,gaussian_noise,gaussian_blur,0.68,0.35624999999999996,0.31,0.41,32.37500000000001
