client,bank,quartile,max_context_count,clean,brightness_dark,contrast_low,gaussian_noise,gaussian_blur
0,A,2,4,0,4,1,0,0
1,A,2,5,0,5,0,0,0
2,A,2,5,0,5,0,0,0
3,A,1,4,0,1,0,4,0
4,A,3,5,0,5,0,0,0
5,A,3,4,0,1,0,4,0
6,A,3,2,2,1,1,0,1
7,A,1,3,0,1,3,1,0
8,A,2,5,0,5,0,0,0
9,A,2,4,0,4,1,0,0
10,A,3,5,0,0,0,5,0
11,A,3,4,0,1,0,4,0
12,A,2,5,0,5,0,0,0
13,A,3,5,0,0,5,0,0
14,A,1,5,0,0,0,5,0
15,A,1,4,2,4,2,3,2
16,A,4,3,3,1,1,2,2
17,A,4,2,1,1,1,2,0
18,A,3,3,1,3,3,2,2
19,A,3,5,0,0,0,5,0
20,A,1,2,2,1,0,0,2
21,A,1,5,1,5,1,1,1
22,A,2,3,1,0,2,0,3
23,A,4,4,0,1,0,4,0
24,A,2,5,0,5,0,0,0
25,A,4,3,1,1,3,1,1
26,A,1,2,2,1,0,0,2
27,A,1,5,0,0,5,0,0
28,A,4,3,1,1,3,1,1
29,A,1,5,0,0,5,0,0
30,A,3,4,0,4,0,1,0
31,A,1,3,0,1,1,3,0
32,A,4,3,0,2,1,3,0
33,A,2,3,0,2,2,3,0
34,A,3,2,1,2,1,2,0
35,A,3,2,0,1,1,2,1
36,A,4,5,1,3,5,1,1
37,A,3,4,1,0,0,4,0
38,A,1,3,3,2,1,1,1
39,A,1,5,0,0,0,5,0
40,A,1,2,0,0,2,2,1
41,A,3,3,0,3,2,0,0
42,A,4,2,0,0,1,2,2
43,A,2,3,0,2,0,3,0
44,A,3,3,0,2,1,3,0
45,A,3,4,2,0,0,4,1
46,A,2,5,0,5,0,0,0
47,A,4,2,1,1,1,2,2
48,A,4,5,0,5,0,1,0
49,A,2,3,1,0,3,0,1
50,A,2,5,0,0,0,5,0
51,A,2,5,5,5,5,5,5
52,A,1,5,1,0,0,5,0
53,A,2,2,0,1,2,0,2
54,A,2,4,0,4,1,0,0
55,A,1,2,1,1,1,2,1
56,A,4,4,3,0,0,4,0
57,A,4,2,2,1,1,1,1
58,A,1,5,3,4,5,3,4
59,A,4,2,1,1,2,2,2
60,A,1,4,0,1,0,4,0
61,A,3,5,0,5,0,0,0
62,A,4,4,0,4,0,2,0
63,A,3,2,2,1,1,0,1
64,A,4,4,0,4,1,0,0
65,A,1,5,0,5,0,0,0
66,A,2,3,1,3,1,1,0
67,A,4,3,0,3,2,0,0
