client,bank,target,alpha,DeltaJ,DeltaC,DeltaAcc
0,A,brightness_dark,0.0,0.0,0.0,0.0
0,A,brightness_dark,0.25,72.57939381635683,-0.00048158076747265607,6.741573033707865
0,A,brightness_dark,0.5,114.44015378052492,-0.0012366605942230467,9.55056179775281
0,A,brightness_dark,0.75,148.7529241188768,-0.002355114690907648,18.53932584269663
0,A,brightness_dark,1.0,160.15797217592055,-0.003818666940021316,24.719101123595507
0,A,brightness_dark,1.25,155.4112935420531,-0.005618357342649176,30.337078651685392
0,A,brightness_dark,1.5,131.7213099971894,-0.007605169461686792,35.95505617977528
0,B,brightness_dark,0.0,0.0,0.0,0.0
0,B,brightness_dark,0.25,73.30869558122052,-0.0004988819974565924,6.741573033707865
0,B,brightness_dark,0.5,115.14375557245481,-0.0012916331916729485,9.55056179775281
0,B,brightness_dark,0.75,148.1673680385469,-0.00248175485106218,18.53932584269663
0,B,brightness_dark,1.0,158.2015059771165,-0.004048303732625439,24.719101123595507
0,B,brightness_dark,1.25,140.37683602254455,-0.00597509214482832,30.337078651685392
0,B,brightness_dark,1.5,142.4164953345193,-0.008034016615759355,34.831460674157306
0,A,contrast_low,0.0,0.0,0.0,0.0
0,A,contrast_low,0.25,43.158050466152275,-0.0002483625270741618,2.808988764044944
0,A,contrast_low,0.5,71.97887532986395,-0.0005690214691766394,7.865168539325842
0,A,contrast_low,0.75,89.90799507686175,-0.0009354589239707412,12.359550561797754
0,A,contrast_low,1.0,98.72718861330651,-0.0013258492984146166,14.044943820224718
0,A,contrast_low,1.25,99.47311487534878,-0.0017591721809254827,14.606741573033707
0,A,contrast_low,1.5,92.97240005702785,-0.0022547274935177893,14.606741573033707
0,B,contrast_low,0.0,0.0,0.0,0.0
0,B,contrast_low,0.25,42.5548415493503,-0.00022686943426090175,2.808988764044944
0,B,contrast_low,0.5,70.8890440038298,-0.0005139713188562307,8.426966292134832
0,B,contrast_low,0.75,88.37101982539713,-0.0008504936486498386,12.359550561797754
