bank,pair,same_median,same_mean,same_valid,control_mean_of_means,control_min_mean,control_max_mean
A,clean / brightness_dark,0.39999999999999997,0.2419780075715528,97,-0.02945953591204685,-0.12921027244599934,0.02714318050395044
A,clean / contrast_low,0.21180339887498947,0.14695903685183942,98,-0.18580518482978925,-0.2831000053535228,-0.11774880945257392
A,clean / gaussian_noise,0.8999999999999998,0.8020476599350012,95,0.3258041922908683,0.27613076224807404,0.35296772756287276
A,clean / gaussian_blur,0.7280248169161149,0.6106750267425765,98,0.02750865565141486,-0.06109819559958907,0.07991967000369472
A,brightness_dark / contrast_low,0.6668859288553503,0.5108160386499292,98,0.13897904150752702,0.0766789062412456,0.2161523851402154
A,brightness_dark / gaussian_noise,0.19999999999999998,0.1436110628772375,95,-0.05452342707830571,-0.08901775695680886,-0.015368302428322562
A,brightness_dark / gaussian_blur,0.6315789473684211,0.4482896455286772,97,0.03392671675846866,-0.07520767260160244,0.10618387154916939
A,contrast_low / gaussian_noise,0.051298917604257706,-0.006821831847994166,95,-0.2356616602937156,-0.27470373270766196,-0.15540946958706206
A,contrast_low / gaussian_blur,0.6668859288553501,0.4923836210620967,98,-0.021977477620419253,-0.11318809824936453,0.045459307022889056
A,gaussian_noise / gaussian_blur,0.4866642633922877,0.41265157087966586,95,0.037127321288983314,-0.038564503517654454,0.09996967852638228
B,clean / brightness_dark,0.3,0.2620090881887021,97,0.009496189304852187,-0.08154588806346598,0.06738541150906975
B,clean / contrast_low,0.25944470904054406,0.13939879110245293,98,-0.19514595955622088,-0.2939886305489047,-0.11554629599923084
B,clean / gaussian_noise,0.8999999999999998,0.8489791825176806,95,0.3788046795510452,0.33719697474291543,0.41642325185251056
B,clean / gaussian_blur,0.7189323936863109,0.6238036413010127,98,0.10447700180570962,0.023900940619818217,0.15512470644230175
B,brightness_dark / contrast_low,0.6854101966249684,0.496458246153899,98,0.10181728017519637,0.036056095533562725,0.1655552859782041
B,brightness_dark / gaussian_noise,0.20519567041703082,0.1886659376862359,95,-0.0060022319806110926,-0.026577813953673503,0.019844441897758455
B,brightness_dark / gaussian_blur,0.5263157894736843,0.43915125411663986,97,0.04390771487433808,-0.04365850231196481,0.13360954291907537
B,contrast_low / gaussian_noise,0.051298917604257706,0.001030604479993161,95,-0.22812479662251922,-0.2627801478128836,-0.1489861197287663
B,contrast_low / gaussian_blur,0.6668859288553503,0.4578305465106352,98,-0.06727993682077985,-0.1345172904876624,-0.029181876872735445
B,gaussian_noise / gaussian_blur,0.6155870112510925,0.48617893312014904,95,0.11847475079298632,0.0537998484542611,0.17232011319981685
