salt,bank,target1,target2,orientation,same_valid,same_mean,same_median,control_mean,control_min,control_max
T013-S0,A,clean,brightness_dark,0,93,0.24898593818684936,0.34210526315789475,-0.0010634535116221273,-0.050507359533762786,0.027168120433661954
T013-S0,A,clean,brightness_dark,1,95,0.24112355560148385,0.39999999999999997,-0.04649296507111969,-0.16167860515114602,-0.0001643352844238681
T013-S0,A,clean,contrast_low,0,95,0.11552375323947843,0.15389675281277312,-0.17613823884849486,-0.2641112081533796,-0.09389120803242929
T013-S0,A,clean,contrast_low,1,93,0.14583357347113712,0.3,-0.21382908648213061,-0.31493108140206116,-0.13022733882660698
T013-S0,A,clean,gaussian_noise,0,92,0.6666741287986779,0.8972135954999578,0.2887313587851137,0.20252266736015656,0.34572079881503676
T013-S0,A,clean,gaussian_noise,1,94,0.662775472744095,0.8249579113843054,0.2903123055878978,0.2404068245922786,0.3208532343412522
T013-S0,A,clean,gaussian_blur,0,96,0.47105628317303644,0.5735393346764044,0.06894499417064132,-0.0196160184289129,0.12469989923543978
T013-S0,A,clean,gaussian_blur,1,95,0.48899223507840295,0.6668859288553503,0.0006745415167880454,-0.09075651514279548,0.060419569992014574
T013-S0,A,brightness_dark,contrast_low,0,94,0.43621155963794195,0.6578858066892002,0.10505635641354419,0.03238849002835639,0.20107015496781655
T013-S0,A,brightness_dark,contrast_low,1,90,0.5168745008156646,0.7,0.11807302039689657,0.03987247181740933,0.17420444883596692
T013-S0,A,brightness_dark,gaussian_noise,0,92,0.17227956522006654,0.25,-0.05458015526004471,-0.11952837122082145,0.031875852346931854
T013-S0,A,brightness_dark,gaussian_noise,1,93,0.14486045542693368,0.19999999999999998,-0.03456250055387527,-0.05955456954078839,0.0042641194750503405
T013-S0,A,brightness_dark,gaussian_blur,0,95,0.4247869628481176,0.5642880936468347,0.011647758288339007,-0.1303752548444579,0.12374206252980799
T013-S0,A,brightness_dark,gaussian_blur,1,92,0.4405133226471573,0.5,0.05552738150725108,-0.026347114405068046,0.13808879349310513
T013-S0,A,contrast_low,gaussian_noise,0,89,0.005883553562657698,0.10814761408717502,-0.22634683041548184,-0.30907617388652747,-0.15430057527650948
T013-S0,A,contrast_low,gaussian_noise,1,93,-0.019847088120332056,0.05129891760425771,-0.2123655430895769,-0.2586398768298231,-0.13301359635105572
T013-S0,A,contrast_low,gaussian_blur,0,93,0.4504494177328192,0.6,-0.04079498961957574,-0.15094584011980072,0.036551914834219115
T013-S0,A,contrast_low,gaussian_blur,1,94,0.44427203271901033,0.638538085868162,-0.013865586720823225,-0.10059555359235263,0.07484627551528207
T013-S0,A,gaussian_noise,gaussian_blur,0,94,0.3526114804105329,0.35632290691153884,0.07361095078902827,-0.02601082711272012,0.1735511639789784
T013-S0,A,gaussian_noise,gaussian_blur,1,91,0.38422566643410044,0.4472135954999579,0.018297587259493164,-0.06645034399919357,0.05691913815208145
T013-S0,B,clean,brightness_dark,0,93,0.27857912514292293,0.35909242322980395,0.023475773772761256,-0.019511126549060117,0.06180580630896304
T013-S0,B,clean,brightness_dark,1,95,0.24244949595762516,0.3354101966249684,0.004740417282644199,-0.07686490806409953,0.060558846661196264
T013-S0,B,clean,contrast_low,0,96,0.10593865126184039,0.22651126581027037,-0.181167778913698,-0.2717507656603755,-0.11384299301290197
T013-S0,B,clean,contrast_low,1,93,0.11866402116331703,0.22941573387056177,-0.19520498272028985,-0.31150514457782896,-0.11531405915526363
T013-S0,B,clean,gaussian_noise,0,94,0.6803943505235439,0.8720815992723809,0.3307910917861008,0.2790320416699461,0.3710454109326882
T013-S0,B,clean,gaussian_noise,1,94,0.6944759909786418,0.8228702965262145,0.34420298673070593,0.31734786955360633,0.37551740713512144
T013-S0,B,clean,gaussian_blur,0,95,0.5186062963685212,0.6155870112510925,0.13178195332038461,0.061038004829696575,0.184133020004825
T013-S0,B,clean,gaussian_blur,1,96,0.4918193657958038,0.6668859288553501,0.06089413858561697,-0.029859011595969168,0.1392229454035302
T013-S0,B,brightness_dark,contrast_low,0,95,0.43127686326129555,0.6315789473684211,0.08510409750540782,0.011036474272472343,0.163145189556333
T013-S0,B,brightness_dark,contrast_low,1,90,0.4810486638370938,0.6834429644276752,0.08671330456566267,-0.002298716811083134,0.1582334041648695
T013-S0,B,brightness_dark,gaussian_noise,0,94,0.19627333483992576,0.2397078669352809,0.0032767596897171967,-0.061661711937219074,0.06706817656794753
T013-S0,B,brightness_dark,gaussian_noise,1,93,0.19324163274256442,0.20519567041703082,0.008850071610768694,-0.02118563061204472,0.02760774607824649
T013-S0,B,brightness_dark,gaussian_blur,0,94,0.3905718456436268,0.39999999999999997,0.024597938393911667,-0.11625390441985367,0.1576847165263594
T013-S0,B,brightness_dark,gaussian_blur,1,93,0.43850662760462145,0.5000000000000001,0.061084954051276334,-0.039007569985905544,0.1331330569708087
T013-S0,B,contrast_low,gaussian_noise,0,91,0.038030144552871924,0.13157894736842107,-0.1997385838011783,-0.25857833856822,-0.1501185448538575
T013-S0,B,contrast_low,gaussian_noise,1,94,-0.02743287476578191,0.0,-0.20090312965742985,-0.2466986125270771,-0.11550343144302334
T013-S0,B,contrast_low,gaussian_blur,0,93,0.38231932251338774,0.46169025843831935,-0.07640470869109042,-0.20669506467913035,0.03160490547902295
T013-S0,B,contrast_low,gaussian_blur,1,96,0.42510508525737833,0.5689137141616196,-0.04022423410039844,-0.12019474222701214,0.02560605778852014
T013-S0,B,gaussian_noise,gaussian_blur,0,93,0.43926448869261253,0.5263157894736843,0.148442399353159,0.05512347250684402,0.23732455140626565
T013-S0,B,gaussian_noise,gaussian_blur,1,94,0.400568375790707,0.513523138347365,0.06215775535008844,-0.04037381745680127,0.12182428123819501
T013-S1,A,clean,brightness_dark,0,94,0.19507325736334158,0.3038967528127731,-0.04892442567018916,-0.14439363703886116,0.00714841908104547
T013-S1,A,clean,brightness_dark,1,94,0.24975224125386858,0.3813690625275029,-0.004689052574215625,-0.10485398302221922,0.04773634675789337
T013-S1,A,clean,contrast_low,0,93,0.10257235615512304,0.20519567041703085,-0.1985156887181835,-0.27611176572416457,-0.10104276771249991
T013-S1,A,clean,contrast_low,1,97,0.13747513685104784,0.21629522817435007,-0.16497307751364276,-0.2320035631869236,-0.09493168182829224
T013-S1,A,clean,gaussian_noise,0,95,0.663858651532275,0.8207826816681234,0.30552899266382466,0.25527805675696885,0.3694508063779478
T013-S1,A,clean,gaussian_noise,1,95,0.6545799440045652,0.8207826816681233,0.2574311686226338,0.21303353320052099,0.3256986634439531
T013-S1,A,clean,gaussian_blur,0,97,0.485706870423048,0.6842105263157895,0.0169100207281745,-0.060831500394559306,0.08346775587317716
T013-S1,A,clean,gaussian_blur,1,97,0.48283175595883965,0.5642880936468347,0.04253401670292346,-0.043599936504229296,0.08631043444605019
T013-S1,A,brightness_dark,contrast_low,0,91,0.3928163668062953,0.6,0.07500582233593064,-0.0073971500591150435,0.1248413707266849
T013-S1,A,brightness_dark,contrast_low,1,95,0.5278210934867531,0.7254762501100117,0.15263866265331189,0.08704626666979044,0.22597553937263523
T013-S1,A,brightness_dark,gaussian_noise,0,94,0.18948112764721906,0.25944470904054406,-0.017171120001402928,-0.10879879703916531,0.04801467611167588
T013-S1,A,brightness_dark,gaussian_noise,1,93,0.10949670533754806,0.20519567041703085,-0.05664101602892474,-0.09161579833651162,-0.018274702737491245
T013-S1,A,brightness_dark,gaussian_blur,0,94,0.38875995484123893,0.4794531229111922,0.021576014141214406,-0.10042629959168078,0.08410411588224795
T013-S1,A,brightness_dark,gaussian_blur,1,94,0.40797211568211056,0.5735393346764044,0.0286890100898502,-0.0588304323541568,0.1370161268931797
T013-S1,A,contrast_low,gaussian_noise,0,95,0.032629136258864905,0.09999999999999999,-0.2015508791355216,-0.2536132970442051,-0.08173778668066425
T013-S1,A,contrast_low,gaussian_noise,1,91,-0.029923449026919888,0.0,-0.20369273098894636,-0.23934992828474652,-0.13735425700200105
T013-S1,A,contrast_low,gaussian_blur,0,97,0.4643397343252305,0.6308932681440449,-0.0002778007676247029,-0.1149631780750318,0.10893334417478066
T013-S1,A,contrast_low,gaussian_blur,1,93,0.36511355456103667,0.5526315789473686,-0.021314048701845834,-0.13056481030491332,0.03891540794248566
T013-S1,A,gaussian_noise,gaussian_blur,0,95,0.3478235416945769,0.41039134083406165,0.01883150911859463,-0.07328182708941326,0.08171851931711294
T013-S1,A,gaussian_noise,gaussian_blur,1,95,0.36928158104408354,0.408248290463863,0.04911925382839681,-0.019065692178022727,0.08114712951909434
T013-S1,B,clean,brightness_dark,0,94,0.2316145355622509,0.2894736842105264,-0.005045471834496012,-0.08995608622324527,0.056218108499461544
T013-S1,B,clean,brightness_dark,1,93,0.26376592324802334,0.3,0.020252566592634788,-0.02393898728685879,0.08670150131139986
T013-S1,B,clean,contrast_low,0,93,0.13551121158413398,0.22360679774997896,-0.18069342062424332,-0.2675182273716752,-0.07910378294180065
T013-S1,B,clean,contrast_low,1,97,0.1341280255634292,0.22941573387056177,-0.1737511799946652,-0.24031382647898133,-0.113696749352365
T013-S1,B,clean,gaussian_noise,0,95,0.7164069439195622,0.8999999999999998,0.3424555873608557,0.2861602599750946,0.40110755518326596
T013-S1,B,clean,gaussian_noise,1,94,0.6779516417584663,0.8207826816681234,0.3099360798352042,0.27450286851366745,0.36569815507718667
T013-S1,B,clean,gaussian_blur,0,96,0.49922660515022566,0.6360745433750435,0.06285565525529921,-0.01755836856542444,0.12458929041357296
T013-S1,B,clean,gaussian_blur,1,96,0.569342238488678,0.7,0.10452386896945445,0.0017148814754958971,0.15657329469680215
T013-S1,B,brightness_dark,contrast_low,0,91,0.38930164129762995,0.5642880936468347,0.04752141013432916,-0.03865727311207956,0.13817969346004474
T013-S1,B,brightness_dark,contrast_low,1,95,0.4845884299357236,0.6668859288553503,0.11898582960277597,0.056635084502957414,0.18338290569629656
T013-S1,B,brightness_dark,gaussian_noise,0,94,0.22415335002698375,0.22360679774997894,0.01584739800202129,-0.05207752076808691,0.057824683784419385
