salt,client,half,n,normalized_entropy,max_class_fraction,represented_classes,halves_histogram_L1,halves_histogram_JS
T013-S0,0,0,89,0.2935318514966099,0.7640449438202247,3,0.13483146067415733,0.0073209816701241825
T013-S0,0,1,89,0.26527620562417564,0.8202247191011236,4,0.13483146067415733,0.0073209816701241825
T013-S0,1,0,50,0.27106789195323916,0.82,4,0.19836734693877558,0.01851097490092246
T013-S0,1,1,49,0.14736581262960768,0.9183673469387755,3,0.19836734693877558,0.01851097490092246
T013-S0,2,0,70,0.1871766323752451,0.8857142857142857,3,0.057142857142857155,0.004933536561325613
T013-S0,2,1,70,0.17304131102866344,0.8857142857142857,3,0.057142857142857155,0.004933536561325613
T013-S0,3,0,108,-0.0,1.0,1,0.0,0.0
T013-S0,3,1,108,-0.0,1.0,1,0.0,0.0
T013-S0,4,0,53,0.34110747150347276,0.6226415094339622,3,0.13933236574746008,0.026992645624843492
T013-S0,4,1,52,0.33257521107211774,0.6538461538461539,3,0.13933236574746008,0.026992645624843492
T013-S0,5,0,79,0.4381967061501498,0.5189873417721519,3,0.07594936708860758,0.0012345170107781467
T013-S0,5,1,79,0.4478381002190783,0.5063291139240507,3,0.07594936708860758,0.0012345170107781467
T013-S0,6,0,131,0.319843048174285,0.6030534351145038,3,0.221491485613623,0.008763513235926612
T013-S0,6,1,130,0.3681471918430732,0.49230769230769234,3,0.221491485613623,0.008763513235926612
T013-S0,7,0,99,0.21236734229998186,0.8080808080808081,2,0.13894042465471035,0.004585782508129521
T013-S0,7,1,98,0.16146034345251198,0.8775510204081632,2,0.13894042465471035,0.004585782508129521
T013-S0,8,0,97,0.2827425750814017,0.7835051546391752,4,0.025128865979381444,0.0036774604244325104
T013-S0,8,1,96,0.2671059870979434,0.78125,3,0.025128865979381444,0.0036774604244325104
T013-S0,9,0,88,0.27818700096093796,0.7954545454545454,4,0.18181818181818188,0.02254181570720626
T013-S0,9,1,88,0.18016692398788337,0.875,3,0.18181818181818188,0.02254181570720626
T013-S0,10,0,141,0.48209884089509625,0.5390070921985816,4,0.0851063829787234,0.002034039151385336
T013-S0,10,1,141,0.473319637978389,0.524822695035461,4,0.0851063829787234,0.002034039151385336
T013-S0,11,0,90,0.31806875766723186,0.5777777777777777,3,0.02222222222222224,0.0038878558042863
T013-S0,11,1,90,0.2957541701010099,0.5777777777777777,2,0.02222222222222224,0.0038878558042863
T013-S0,12,0,82,0.3112721351171526,0.7804878048780488,4,0.19512195121951212,0.024394688342558757
T013-S0,12,1,82,0.23719620296666083,0.8414634146341463,4,0.19512195121951212,0.024394688342558757
T013-S0,13,0,40,0.3258426803408085,0.775,4,0.05000000000000002,0.0007983440519059304
T013-S0,13,1,40,0.3466418006134169,0.75,4,0.05000000000000002,0.0007983440519059304
T013-S0,14,0,36,0.09318185713493625,0.9444444444444444,2,0.11111111111111113,0.01965096775319973
T013-S0,14,1,35,-0.0,1.0,1,0.11111111111111113,0.01965096775319973
T013-S0,15,0,118,0.037312628139595655,0.9830508474576272,2,0.033898305084745714,0.005910345227676694
T013-S0,15,1,118,-0.0,1.0,1,0.033898305084745714,0.005910345227676694
T013-S0,16,0,11,0.3845999673459024,0.7272727272727273,4,0.23636363636363644,0.04222681951323004
T013-S0,16,1,10,0.34822537285722394,0.7,3,0.23636363636363644,0.04222681951323004
T013-S0,17,0,44,0.2442190502882155,0.75,2,0.08139534883720925,0.0011715036726148709
T013-S0,17,1,43,0.22280646105887492,0.7906976744186046,2,0.08139534883720925,0.0011715036726148709
T013-S0,18,0,5,0.29228525323862886,0.6,2,0.8,0.1638965900335596
T013-S0,18,1,5,-0.0,1.0,1,0.8,0.1638965900335596
T013-S0,19,0,46,0.4773746754136883,0.5869565217391305,4,0.2927536231884057,0.016845589192919785
T013-S0,19,1,45,0.3546594857446341,0.7333333333333333,4,0.2927536231884057,0.016845589192919785
T013-S0,20,0,76,-0.0,1.0,1,0.0,0.0
T013-S0,20,1,76,-0.0,1.0,1,0.0,0.0
