bank,target,zero,true_state,full_query_oracle,half_oracle,client_only,context_only,two_factor,mismatch_mean
A,clean,34.13868991976854,34.13868991976854,40.72316021868589,40.995224817098695,39.857357781475365,34.13868991976854,39.857357781475365,32.719017087731594
A,brightness_dark,17.54602645421106,32.296535703287994,35.71212098775697,35.87954298283301,25.613593267840688,24.233086871490038,33.0439265915302,27.72593640008719
A,contrast_low,19.95526398771052,28.561473420506015,33.993165573204436,34.175340290243845,28.366562079817367,28.561473420506015,29.88542229575095,25.21304476631919
A,gaussian_noise,30.67664385146025,32.499557590179315,37.82584247081631,38.08263505315137,36.9123665042411,31.861083553984063,37.13069512330985,30.376175529127806
A,gaussian_blur,30.901579176174376,33.04849966816344,40.34361420160645,40.66587993337135,38.46462598649693,29.798137175692325,38.55636784834644,30.720294213337755
B,clean,34.13868991976854,34.13868991976854,40.5720382255828,40.878238857635054,39.6501340387715,34.13868991976854,39.6501340387715,32.693556155510564
B,brightness_dark,17.54602645421106,32.424807666744606,35.686069885278705,35.85944177233014,25.490594750685197,20.155433064971565,33.04730669088267,27.65244478334355
B,contrast_low,19.95526398771052,28.1116255098242,33.8623402598192,34.03741276869757,28.198676036614287,28.1116255098242,29.803545597317118,25.036584295602044
B,gaussian_noise,30.67664385146025,32.40677112345036,37.89482730277534,38.15992485655243,36.77928667051334,31.432143555179625,36.99945654946258,29.947931451669795
B,gaussian_blur,30.901579176174376,33.00991908737378,40.37421759118641,40.71112300731807,38.47865364864594,28.354234985157493,38.36666591334963,30.234160286320588
