salt,bank,target1,target2,same_overlap,control_overlap
T013-S0,A,clean,brightness_dark,0.5349999999999999,0.405
T013-S0,A,clean,contrast_low,0.5549999999999999,0.298125
T013-S0,A,clean,gaussian_noise,0.785,0.41875
T013-S0,A,clean,gaussian_blur,0.675,0.3425
T013-S0,A,brightness_dark,contrast_low,0.575,0.395625
T013-S0,A,brightness_dark,gaussian_noise,0.535,0.41625
T013-S0,A,brightness_dark,gaussian_blur,0.5800000000000001,0.40249999999999997
T013-S0,A,contrast_low,gaussian_noise,0.54,0.33687500000000004
T013-S0,A,contrast_low,gaussian_blur,0.69,0.3425
T013-S0,A,gaussian_noise,gaussian_blur,0.665,0.375625
T013-S0,B,clean,brightness_dark,0.5449999999999999,0.41875
T013-S0,B,clean,contrast_low,0.55,0.31062500000000004
T013-S0,B,clean,gaussian_noise,0.78,0.44937499999999997
T013-S0,B,clean,gaussian_blur,0.66,0.365
T013-S0,B,brightness_dark,contrast_low,0.5900000000000001,0.389375
T013-S0,B,brightness_dark,gaussian_noise,0.55,0.433125
T013-S0,B,brightness_dark,gaussian_blur,0.5900000000000001,0.401875
T013-S0,B,contrast_low,gaussian_noise,0.53,0.33625
T013-S0,B,contrast_low,gaussian_blur,0.6950000000000001,0.32562500000000005
T013-S0,B,gaussian_noise,gaussian_blur,0.655,0.37875000000000003
T013-S1,A,clean,brightness_dark,0.55,0.41625
T013-S1,A,clean,contrast_low,0.535,0.318125
T013-S1,A,clean,gaussian_noise,0.785,0.43062500000000004
T013-S1,A,clean,gaussian_blur,0.6799999999999999,0.355
T013-S1,A,brightness_dark,contrast_low,0.5700000000000001,0.4
T013-S1,A,brightness_dark,gaussian_noise,0.535,0.425
T013-S1,A,brightness_dark,gaussian_blur,0.56,0.389375
T013-S1,A,contrast_low,gaussian_noise,0.52,0.33187500000000003
T013-S1,A,contrast_low,gaussian_blur,0.685,0.33875
T013-S1,A,gaussian_noise,gaussian_blur,0.635,0.36812500000000004
T013-S1,B,clean,brightness_dark,0.545,0.4275
T013-S1,B,clean,contrast_low,0.565,0.330625
T013-S1,B,clean,gaussian_noise,0.745,0.4425
T013-S1,B,clean,gaussian_blur,0.7,0.365625
T013-S1,B,brightness_dark,contrast_low,0.565,0.39125
T013-S1,B,brightness_dark,gaussian_noise,0.55,0.45
T013-S1,B,brightness_dark,gaussian_blur,0.585,0.41000000000000003
T013-S1,B,contrast_low,gaussian_noise,0.53,0.34062499999999996
T013-S1,B,contrast_low,gaussian_blur,0.705,0.341875
T013-S1,B,gaussian_noise,gaussian_blur,0.64,0.37875
T013-S2,A,clean,brightness_dark,0.5549999999999999,0.41875
T013-S2,A,clean,contrast_low,0.575,0.325625
T013-S2,A,clean,gaussian_noise,0.795,0.431875
T013-S2,A,clean,gaussian_blur,0.72,0.35250000000000004
T013-S2,A,brightness_dark,contrast_low,0.575,0.4125
T013-S2,A,brightness_dark,gaussian_noise,0.53,0.43375
T013-S2,A,brightness_dark,gaussian_blur,0.5800000000000001,0.405
T013-S2,A,contrast_low,gaussian_noise,0.535,0.355
T013-S2,A,contrast_low,gaussian_blur,0.66,0.34625
T013-S2,A,gaussian_noise,gaussian_blur,0.705,0.3775
T013-S2,B,clean,brightness_dark,0.5449999999999999,0.414375
T013-S2,B,clean,contrast_low,0.535,0.329375
T013-S2,B,clean,gaussian_noise,0.765,0.439375
T013-S2,B,clean,gaussian_blur,0.67,0.35062499999999996
T013-S2,B,brightness_dark,contrast_low,0.5900000000000001,0.39937500000000004
T013-S2,B,brightness_dark,gaussian_noise,0.525,0.434375
T013-S2,B,brightness_dark,gaussian_blur,0.5700000000000001,0.398125
T013-S2,B,contrast_low,gaussian_noise,0.525,0.34875
T013-S2,B,contrast_low,gaussian_blur,0.685,0.33999999999999997
T013-S2,B,gaussian_noise,gaussian_blur,0.68,0.36875
T013-S3,A,clean,brightness_dark,0.53,0.411875
T013-S3,A,clean,contrast_low,0.55,0.31625000000000003
T013-S3,A,clean,gaussian_noise,0.775,0.42874999999999996
T013-S3,A,clean,gaussian_blur,0.685,0.35375
T013-S3,A,brightness_dark,contrast_low,0.565,0.4075
T013-S3,A,brightness_dark,gaussian_noise,0.545,0.43500000000000005
T013-S3,A,brightness_dark,gaussian_blur,0.57,0.4275
T013-S3,A,contrast_low,gaussian_noise,0.54,0.345
T013-S3,A,contrast_low,gaussian_blur,0.705,0.355
T013-S3,A,gaussian_noise,gaussian_blur,0.71,0.39
T013-S3,B,clean,brightness_dark,0.51,0.409375
T013-S3,B,clean,contrast_low,0.525,0.315
T013-S3,B,clean,gaussian_noise,0.76,0.445625
T013-S3,B,clean,gaussian_blur,0.665,0.36
T013-S3,B,brightness_dark,contrast_low,0.575,0.38187499999999996
T013-S3,B,brightness_dark,gaussian_noise,0.535,0.43
T013-S3,B,brightness_dark,gaussian_blur,0.5800000000000001,0.416875
T013-S3,B,contrast_low,gaussian_noise,0.52,0.339375
T013-S3,B,contrast_low,gaussian_blur,0.7,0.334375
T013-S3,B,gaussian_noise,gaussian_blur,0.685,0.40125
