bank,target,composition_persistent,class_context_only,hybrid_client_plus_class_context,uniform_class_context,uniform_hybrid,T013_zero,T013_client_only,T013_context_only,T013_two_factor,T013_half_oracle
A,clean,40.41184437749511,40.41184437749511,39.857357781475365,34.725059515918105,39.857357781475365,34.13868991976854,39.857357781475365,34.13868991976854,39.857357781475365,40.995224817098695
A,brightness_dark,26.151947708113603,35.466288979673614,34.931745899248654,32.296535703287994,33.36202379582166,17.54602645421106,25.613593267840688,24.233086871490038,33.0439265915302,35.87954298283301
A,contrast_low,28.714773013232133,33.739204985335085,33.20833148840918,28.561473420506015,29.91545830564223,19.95526398771052,28.366562079817367,28.561473420506015,29.88542229575095,34.175340290243845
A,gaussian_noise,37.37438112475966,37.61540087045245,37.048923348260196,32.499557590179315,37.10236711004094,30.67664385146025,36.9123665042411,31.861083553984063,37.13069512330985,38.08263505315137
A,gaussian_blur,39.23156450063819,39.99576980741942,39.384411311203,33.04849966816344,38.6952500957313,30.901579176174376,38.46462598649693,29.798137175692325,38.55636784834644,40.66587993337135
B,clean,40.275621599016844,40.275621599016844,39.6501340387715,34.61845817206885,39.6501340387715,34.13868991976854,39.6501340387715,34.13868991976854,39.6501340387715,40.878238857635054
B,brightness_dark,26.116843987456395,35.44392685913648,34.98618758108662,32.424807666744606,33.088698971346794,17.54602645421106,25.490594750685197,20.155433064971565,33.04730669088267,35.85944177233014
B,contrast_low,28.726964980689498,33.604517441114766,33.04236153046778,28.1116255098242,29.906017243542525,19.95526398771052,28.198676036614287,28.1116255098242,29.803545597317118,34.03741276869757
B,gaussian_noise,37.423155547257515,37.65875309203384,37.017240520974696,32.40677112345036,37.016188334781155,30.67664385146025,36.77928667051334,31.432143555179625,36.99945654946258,38.15992485655243
B,gaussian_blur,39.332223448052055,39.98184639338788,39.379369387595275,33.00991908737378,38.411736399207754,30.901579176174376,38.47865364864594,28.354234985157493,38.36666591334963,40.71112300731807
