salt,bank,target,policy,macro_class,sample_weighted,macro_client,state_choice_frequency,oracle_hit_rate,regret_median,regret_p75,regret_p90,regret_gt2_fraction,regret_gt5_fraction
T013-S0,A,clean,composition_persistent,40.40429062829736,40.46811623113239,39.26281780414981,"{""clean"": 24, ""brightness_dark"": 78, ""contrast_low"": 15, ""gaussian_noise"": 71, ""gaussian_blur"": 12}",0.765,0.0,0.0,4.016666666666666,0.16,0.075
T013-S0,A,clean,class_context_only,40.40429062829736,40.46811623113239,39.26281780414981,"{""clean"": 24, ""brightness_dark"": 78, ""contrast_low"": 15, ""gaussian_noise"": 71, ""gaussian_blur"": 12}",0.765,0.0,0.0,4.016666666666666,0.16,0.075
T013-S0,A,clean,hybrid_client_plus_class_context,39.911074944274354,39.97606223818073,38.51680514817652,"{""clean"": 53, ""brightness_dark"": 68, ""contrast_low"": 14, ""gaussian_noise"": 52, ""gaussian_blur"": 13}",0.69,0.0,1.9851485148514851,5.599999999999997,0.245,0.13
T013-S0,A,clean,T013_two_factor,39.911074944274354,39.97606223818073,38.51680514817652,"{""clean"": 53, ""brightness_dark"": 68, ""contrast_low"": 14, ""gaussian_noise"": 52, ""gaussian_blur"": 13}",0.69,0.0,1.9851485148514851,5.599999999999997,0.245,0.13
T013-S0,A,clean,T013_client_only,39.911074944274354,39.97606223818073,38.51680514817652,"{""clean"": 53, ""brightness_dark"": 68, ""contrast_low"": 14, ""gaussian_noise"": 52, ""gaussian_blur"": 13}",0.69,0.0,1.9851485148514851,5.599999999999997,0.245,0.13
T013-S0,A,clean,uniform_class_context,34.725059515918105,34.80949531218831,33.81007299003429,"{""clean"": 0, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 200, ""gaussian_blur"": 0}",0.415,2.5503573749187787,8.655298263277121,20.0,0.515,0.4
T013-S0,A,clean,uniform_hybrid,39.911074944274354,39.97606223818073,38.51680514817652,"{""clean"": 53, ""brightness_dark"": 68, ""contrast_low"": 14, ""gaussian_noise"": 52, ""gaussian_blur"": 13}",0.69,0.0,1.9851485148514851,5.599999999999997,0.245,0.13
T013-S0,A,clean,mismatched_pi_persistent_7,33.2728669152008,33.31338519848394,32.19482991786197,"{""clean"": 23, ""brightness_dark"": 80, ""contrast_low"": 15, ""gaussian_noise"": 70, ""gaussian_blur"": 12}",0.34,4.850833920601362,11.11111111111111,23.740031897926634,0.585,0.5
T013-S0,A,clean,mismatched_pi_class_context_7,33.2728669152008,33.31338519848394,32.19482991786197,"{""clean"": 23, ""brightness_dark"": 80, ""contrast_low"": 15, ""gaussian_noise"": 70, ""gaussian_blur"": 12}",0.34,4.850833920601362,11.11111111111111,23.740031897926634,0.585,0.5
T013-S0,A,clean,mismatched_pi_hybrid_7,39.911074944274354,39.97606223818073,38.51680514817652,"{""clean"": 53, ""brightness_dark"": 68, ""contrast_low"": 14, ""gaussian_noise"": 52, ""gaussian_blur"": 13}",0.69,0.0,1.9851485148514851,5.599999999999997,0.245,0.13
T013-S0,A,clean,mismatched_pi_persistent_13,33.129823506093736,33.19369638938759,31.643010280076542,"{""clean"": 23, ""brightness_dark"": 80, ""contrast_low"": 15, ""gaussian_noise"": 70, ""gaussian_blur"": 12}",0.34,4.567866116721188,11.009485094850948,25.671232876712324,0.605,0.485
T013-S0,A,clean,mismatched_pi_class_context_13,33.129823506093736,33.19369638938759,31.643010280076542,"{""clean"": 23, ""brightness_dark"": 80, ""contrast_low"": 15, ""gaussian_noise"": 70, ""gaussian_blur"": 12}",0.34,4.567866116721188,11.009485094850948,25.671232876712324,0.605,0.485
