salt,bank,target1,target2,orientation,same_overlap,control_mean,control_min,control_max
T013-S0,A,clean,brightness_dark,0,0.17,0.26,0.17,0.34
T013-S0,A,clean,brightness_dark,1,0.2,0.225,0.18,0.32
T013-S0,A,clean,contrast_low,0,0.18,0.20875,0.11,0.28
T013-S0,A,clean,contrast_low,1,0.21,0.20375,0.16,0.25
T013-S0,A,clean,gaussian_noise,0,0.16,0.2375,0.17,0.33
T013-S0,A,clean,gaussian_noise,1,0.13,0.23625,0.17,0.27
T013-S0,A,clean,gaussian_blur,0,0.21,0.20625,0.16,0.26
T013-S0,A,clean,gaussian_blur,1,0.24,0.2275,0.18,0.27
T013-S0,A,brightness_dark,contrast_low,0,0.23,0.2375,0.16,0.28
T013-S0,A,brightness_dark,contrast_low,1,0.23,0.23,0.18,0.28
T013-S0,A,brightness_dark,gaussian_noise,0,0.22,0.23125,0.19,0.28
T013-S0,A,brightness_dark,gaussian_noise,1,0.19,0.2675,0.23,0.3
T013-S0,A,brightness_dark,gaussian_blur,0,0.18,0.23625,0.17,0.33
T013-S0,A,brightness_dark,gaussian_blur,1,0.21,0.23625,0.17,0.29
T013-S0,A,contrast_low,gaussian_noise,0,0.19,0.235,0.19,0.29
T013-S0,A,contrast_low,gaussian_noise,1,0.25,0.25125,0.2,0.29
T013-S0,A,contrast_low,gaussian_blur,0,0.23,0.22125,0.17,0.26
T013-S0,A,contrast_low,gaussian_blur,1,0.15,0.26375,0.19,0.31
T013-S0,A,gaussian_noise,gaussian_blur,0,0.2,0.2375,0.17,0.3
T013-S0,A,gaussian_noise,gaussian_blur,1,0.21,0.24875,0.2,0.31
T013-S0,B,clean,brightness_dark,0,0.14,0.24375,0.2,0.3
T013-S0,B,clean,brightness_dark,1,0.19,0.24,0.18,0.31
T013-S0,B,clean,contrast_low,0,0.21,0.22125,0.18,0.27
T013-S0,B,clean,contrast_low,1,0.2,0.20875,0.18,0.28
T013-S0,B,clean,gaussian_noise,0,0.17,0.2225,0.19,0.26
T013-S0,B,clean,gaussian_noise,1,0.18,0.2475,0.21,0.31
T013-S0,B,clean,gaussian_blur,0,0.19,0.2475,0.2,0.3
T013-S0,B,clean,gaussian_blur,1,0.21,0.2275,0.14,0.28
T013-S0,B,brightness_dark,contrast_low,0,0.21,0.23,0.17,0.27
T013-S0,B,brightness_dark,contrast_low,1,0.23,0.2375,0.2,0.3
T013-S0,B,brightness_dark,gaussian_noise,0,0.25,0.245,0.18,0.29
T013-S0,B,brightness_dark,gaussian_noise,1,0.17,0.25875,0.23,0.28
T013-S0,B,brightness_dark,gaussian_blur,0,0.31,0.24625,0.19,0.31
T013-S0,B,brightness_dark,gaussian_blur,1,0.17,0.23,0.18,0.28
T013-S0,B,contrast_low,gaussian_noise,0,0.21,0.22875,0.18,0.28
T013-S0,B,contrast_low,gaussian_noise,1,0.25,0.27125,0.23,0.32
T013-S0,B,contrast_low,gaussian_blur,0,0.24,0.2275,0.15,0.32
T013-S0,B,contrast_low,gaussian_blur,1,0.19,0.24875,0.15,0.32
T013-S0,B,gaussian_noise,gaussian_blur,0,0.16,0.245,0.19,0.32
T013-S0,B,gaussian_noise,gaussian_blur,1,0.19,0.24125,0.19,0.31
T013-S1,A,clean,brightness_dark,0,0.17,0.24125,0.19,0.3
T013-S1,A,clean,brightness_dark,1,0.24,0.21875,0.12,0.3
T013-S1,A,clean,contrast_low,0,0.17,0.2075,0.11,0.26
T013-S1,A,clean,contrast_low,1,0.16,0.2275,0.17,0.29
T013-S1,A,clean,gaussian_noise,0,0.16,0.24875,0.21,0.33
T013-S1,A,clean,gaussian_noise,1,0.16,0.22375,0.17,0.26
T013-S1,A,clean,gaussian_blur,0,0.2,0.23875,0.19,0.29
T013-S1,A,clean,gaussian_blur,1,0.19,0.215,0.19,0.25
T013-S1,A,brightness_dark,contrast_low,0,0.16,0.21,0.13,0.31
T013-S1,A,brightness_dark,contrast_low,1,0.2,0.25625,0.23,0.35
T013-S1,A,brightness_dark,gaussian_noise,0,0.23,0.24125,0.13,0.32
T013-S1,A,brightness_dark,gaussian_noise,1,0.13,0.24625,0.19,0.28
T013-S1,A,brightness_dark,gaussian_blur,0,0.18,0.22375,0.17,0.3
T013-S1,A,brightness_dark,gaussian_blur,1,0.2,0.23625,0.18,0.27
T013-S1,A,contrast_low,gaussian_noise,0,0.18,0.225,0.15,0.32
T013-S1,A,contrast_low,gaussian_noise,1,0.22,0.22,0.17,0.26
T013-S1,A,contrast_low,gaussian_blur,0,0.16,0.2475,0.22,0.27
T013-S1,A,contrast_low,gaussian_blur,1,0.24,0.2375,0.21,0.26
T013-S1,A,gaussian_noise,gaussian_blur,0,0.17,0.23875,0.21,0.29
T013-S1,A,gaussian_noise,gaussian_blur,1,0.11,0.2275,0.15,0.3
T013-S1,B,clean,brightness_dark,0,0.23,0.24,0.2,0.3
T013-S1,B,clean,brightness_dark,1,0.21,0.19375,0.16,0.22
T013-S1,B,clean,contrast_low,0,0.21,0.2,0.16,0.23
T013-S1,B,clean,contrast_low,1,0.17,0.21875,0.18,0.26
T013-S1,B,clean,gaussian_noise,0,0.15,0.23125,0.2,0.25
T013-S1,B,clean,gaussian_noise,1,0.16,0.21875,0.15,0.26
T013-S1,B,clean,gaussian_blur,0,0.19,0.2325,0.19,0.28
T013-S1,B,clean,gaussian_blur,1,0.18,0.2175,0.19,0.25
T013-S1,B,brightness_dark,contrast_low,0,0.19,0.225,0.15,0.28
T013-S1,B,brightness_dark,contrast_low,1,0.22,0.25125,0.2,0.34
T013-S1,B,brightness_dark,gaussian_noise,0,0.23,0.25875,0.18,0.3
T013-S1,B,brightness_dark,gaussian_noise,1,0.14,0.24,0.17,0.29
T013-S1,B,brightness_dark,gaussian_blur,0,0.19,0.2375,0.16,0.32
T013-S1,B,brightness_dark,gaussian_blur,1,0.25,0.24875,0.17,0.32
T013-S1,B,contrast_low,gaussian_noise,0,0.22,0.27375,0.21,0.33
T013-S1,B,contrast_low,gaussian_noise,1,0.19,0.23375,0.19,0.3
T013-S1,B,contrast_low,gaussian_blur,0,0.2,0.275,0.23,0.31
T013-S1,B,contrast_low,gaussian_blur,1,0.22,0.21125,0.16,0.28
T013-S1,B,gaussian_noise,gaussian_blur,0,0.17,0.245,0.22,0.31
T013-S1,B,gaussian_noise,gaussian_blur,1,0.13,0.2325,0.2,0.27
T013-S2,A,clean,brightness_dark,0,0.19,0.2475,0.22,0.32
T013-S2,A,clean,brightness_dark,1,0.23,0.23,0.2,0.25
T013-S2,A,clean,contrast_low,0,0.15,0.2075,0.17,0.24
T013-S2,A,clean,contrast_low,1,0.11,0.22125,0.18,0.29
T013-S2,A,clean,gaussian_noise,0,0.18,0.22,0.16,0.3
T013-S2,A,clean,gaussian_noise,1,0.18,0.24375,0.19,0.33
T013-S2,A,clean,gaussian_blur,0,0.2,0.19875,0.12,0.26
T013-S2,A,clean,gaussian_blur,1,0.21,0.23625,0.19,0.29
T013-S2,A,brightness_dark,contrast_low,0,0.21,0.23375,0.17,0.3
T013-S2,A,brightness_dark,contrast_low,1,0.24,0.22625,0.13,0.34
T013-S2,A,brightness_dark,gaussian_noise,0,0.22,0.2175,0.17,0.25
T013-S2,A,brightness_dark,gaussian_noise,1,0.21,0.225,0.17,0.28
T013-S2,A,brightness_dark,gaussian_blur,0,0.26,0.2225,0.18,0.3
T013-S2,A,brightness_dark,gaussian_blur,1,0.22,0.24875,0.18,0.32
T013-S2,A,contrast_low,gaussian_noise,0,0.11,0.23875,0.18,0.28
T013-S2,A,contrast_low,gaussian_noise,1,0.12,0.22875,0.17,0.29
T013-S2,A,contrast_low,gaussian_blur,0,0.18,0.22125,0.18,0.26
T013-S2,A,contrast_low,gaussian_blur,1,0.16,0.2475,0.18,0.28
T013-S2,A,gaussian_noise,gaussian_blur,0,0.19,0.2075,0.16,0.25
T013-S2,A,gaussian_noise,gaussian_blur,1,0.16,0.22625,0.15,0.29
T013-S2,B,clean,brightness_dark,0,0.2,0.23625,0.17,0.33
T013-S2,B,clean,brightness_dark,1,0.25,0.2225,0.2,0.25
T013-S2,B,clean,contrast_low,0,0.18,0.21375,0.18,0.29
T013-S2,B,clean,contrast_low,1,0.16,0.20375,0.17,0.26
T013-S2,B,clean,gaussian_noise,0,0.15,0.22,0.17,0.27
T013-S2,B,clean,gaussian_noise,1,0.22,0.25125,0.21,0.3
T013-S2,B,clean,gaussian_blur,0,0.18,0.22,0.16,0.28
T013-S2,B,clean,gaussian_blur,1,0.21,0.2325,0.19,0.26
T013-S2,B,brightness_dark,contrast_low,0,0.25,0.22375,0.15,0.28
T013-S2,B,brightness_dark,contrast_low,1,0.24,0.2325,0.17,0.34
T013-S2,B,brightness_dark,gaussian_noise,0,0.24,0.2425,0.21,0.29
T013-S2,B,brightness_dark,gaussian_noise,1,0.19,0.22125,0.18,0.29
T013-S2,B,brightness_dark,gaussian_blur,0,0.23,0.245,0.22,0.29
T013-S2,B,brightness_dark,gaussian_blur,1,0.24,0.23125,0.18,0.3
T013-S2,B,contrast_low,gaussian_noise,0,0.13,0.245,0.2,0.34
T013-S2,B,contrast_low,gaussian_noise,1,0.12,0.2375,0.17,0.27
T013-S2,B,contrast_low,gaussian_blur,0,0.2,0.215,0.17,0.26
T013-S2,B,contrast_low,gaussian_blur,1,0.09,0.2425,0.18,0.31
T013-S2,B,gaussian_noise,gaussian_blur,0,0.15,0.235,0.18,0.27
T013-S2,B,gaussian_noise,gaussian_blur,1,0.23,0.2325,0.15,0.28
T013-S3,A,clean,brightness_dark,0,0.22,0.23875,0.18,0.33
T013-S3,A,clean,brightness_dark,1,0.16,0.23125,0.17,0.29
T013-S3,A,clean,contrast_low,0,0.21,0.195,0.15,0.27
T013-S3,A,clean,contrast_low,1,0.2,0.225,0.16,0.29
T013-S3,A,clean,gaussian_noise,0,0.16,0.20375,0.15,0.27
T013-S3,A,clean,gaussian_noise,1,0.14,0.2225,0.19,0.26
T013-S3,A,clean,gaussian_blur,0,0.2,0.2175,0.16,0.26
T013-S3,A,clean,gaussian_blur,1,0.17,0.22,0.16,0.27
T013-S3,A,brightness_dark,contrast_low,0,0.15,0.2325,0.18,0.32
T013-S3,A,brightness_dark,contrast_low,1,0.22,0.2225,0.14,0.3
T013-S3,A,brightness_dark,gaussian_noise,0,0.14,0.23125,0.19,0.27
T013-S3,A,brightness_dark,gaussian_noise,1,0.15,0.245,0.19,0.29
T013-S3,A,brightness_dark,gaussian_blur,0,0.19,0.23125,0.16,0.34
T013-S3,A,brightness_dark,gaussian_blur,1,0.24,0.22375,0.18,0.27
T013-S3,A,contrast_low,gaussian_noise,0,0.17,0.23875,0.18,0.28
T013-S3,A,contrast_low,gaussian_noise,1,0.21,0.24,0.2,0.31
T013-S3,A,contrast_low,gaussian_blur,0,0.17,0.22875,0.17,0.29
T013-S3,A,contrast_low,gaussian_blur,1,0.19,0.18375,0.14,0.22
T013-S3,A,gaussian_noise,gaussian_blur,0,0.16,0.2075,0.13,0.26
T013-S3,A,gaussian_noise,gaussian_blur,1,0.14,0.22625,0.18,0.27
T013-S3,B,clean,brightness_dark,0,0.2,0.26125,0.2,0.35
T013-S3,B,clean,brightness_dark,1,0.15,0.22875,0.2,0.28
T013-S3,B,clean,contrast_low,0,0.26,0.2075,0.17,0.28
T013-S3,B,clean,contrast_low,1,0.14,0.20875,0.17,0.24
T013-S3,B,clean,gaussian_noise,0,0.15,0.23125,0.18,0.29
T013-S3,B,clean,gaussian_noise,1,0.16,0.23875,0.2,0.28
T013-S3,B,clean,gaussian_blur,0,0.19,0.2275,0.18,0.3
T013-S3,B,clean,gaussian_blur,1,0.15,0.23625,0.15,0.27
T013-S3,B,brightness_dark,contrast_low,0,0.22,0.2325,0.2,0.27
T013-S3,B,brightness_dark,contrast_low,1,0.19,0.205,0.11,0.27
T013-S3,B,brightness_dark,gaussian_noise,0,0.15,0.24875,0.19,0.3
T013-S3,B,brightness_dark,gaussian_noise,1,0.16,0.23,0.18,0.3
T013-S3,B,brightness_dark,gaussian_blur,0,0.18,0.23625,0.2,0.29
T013-S3,B,brightness_dark,gaussian_blur,1,0.21,0.22375,0.17,0.29
T013-S3,B,contrast_low,gaussian_noise,0,0.13,0.23,0.18,0.28
T013-S3,B,contrast_low,gaussian_noise,1,0.24,0.24125,0.23,0.26
T013-S3,B,contrast_low,gaussian_blur,0,0.22,0.21625,0.16,0.3
T013-S3,B,contrast_low,gaussian_blur,1,0.18,0.22375,0.16,0.26
T013-S3,B,gaussian_noise,gaussian_blur,0,0.15,0.23625,0.18,0.34
T013-S3,B,gaussian_noise,gaussian_blur,1,0.16,0.23,0.16,0.3
