salt,bank,target1,target2,orientation,same_valid,same_mean,same_median,control_mean,control_min,control_max
T013-S0,A,clean,brightness_dark,0,100,-0.05573606797749979,-0.09999999999999999,0.011363240325667198,-0.06053444185374862,0.08459126199593356
T013-S0,A,clean,brightness_dark,1,98,-0.06622545915587931,-0.09999999999999999,-0.010256236603895227,-0.12851870681077468,0.1162941600327351
T013-S0,A,clean,contrast_low,0,100,-0.011519288879789109,-0.049999999999999996,-0.020254930169605716,-0.10758250008281715,0.041519102131883985
T013-S0,A,clean,contrast_low,1,99,-0.029762086963704294,0.0,-0.023949634236345788,-0.13249998103051117,0.037820122590077866
T013-S0,A,clean,gaussian_noise,0,100,-0.08538610191707967,-0.15,0.026642493939920336,-0.10964480598156622,0.13425140769936442
T013-S0,A,clean,gaussian_noise,1,99,-0.16168794728471259,-0.19999999999999998,-0.010267385808257075,-0.04866882610436925,0.10922558119456638
T013-S0,A,clean,gaussian_blur,0,100,-0.11731689065944907,-0.19999999999999998,0.012941050957398082,-0.10624407560206764,0.09866768847509189
T013-S0,A,clean,gaussian_blur,1,100,-0.019031197461858766,0.0,0.00035848067174106815,-0.04324868003772422,0.04977428121707896
T013-S0,A,brightness_dark,contrast_low,0,98,-0.17380940061624695,-0.22651126581027037,-0.0050852483571022684,-0.05712733404837408,0.0551940911763718
T013-S0,A,brightness_dark,contrast_low,1,99,-0.11598830507638126,0.0,-0.03858435995963066,-0.13588562827557202,0.055269662470318975
T013-S0,A,brightness_dark,gaussian_noise,0,98,0.00038159934948309073,0.09999999999999999,0.01738140063603466,-0.06305716666370079,0.095499108445379
T013-S0,A,brightness_dark,gaussian_noise,1,99,-0.14125411883142816,-0.3,0.012039383568419385,-0.14515980195201952,0.11589881857325168
T013-S0,A,brightness_dark,gaussian_blur,0,98,-0.05943042121768801,-0.09999999999999999,-0.006032196837993066,-0.0853125142389415,0.07580612052211634
T013-S0,A,brightness_dark,gaussian_blur,1,100,-0.04631118395810618,0.0,-0.019652827865545203,-0.09535137430460949,0.028063814475846174
T013-S0,A,contrast_low,gaussian_noise,0,99,-0.03131313131313131,-0.09999999999999999,0.0125275939584933,-0.062459595792288554,0.10088202434154915
T013-S0,A,contrast_low,gaussian_noise,1,99,-0.04842855748484763,-0.09999999999999999,0.012449896530347511,-0.036014808027138114,0.07907487495612961
T013-S0,A,contrast_low,gaussian_blur,0,99,-0.10248935969097703,-0.09999999999999999,-0.009117431716178143,-0.1664074350733474,0.06081945498876387
T013-S0,A,contrast_low,gaussian_blur,1,100,-0.07864514374520173,-0.09999999999999999,0.04567408654020587,-0.008657001516877639,0.10744540331436583
T013-S0,A,gaussian_noise,gaussian_blur,0,99,-0.1455263311230964,-0.09999999999999999,-0.00528793044269687,-0.08086403063269221,0.08217890814498145
T013-S0,A,gaussian_noise,gaussian_blur,1,100,-0.007646086591659381,0.0,0.010439783628143202,-0.07283734140437657,0.10991753926936543
T013-S0,B,clean,brightness_dark,0,100,-0.08571817601126,-0.15,-0.005822694141054862,-0.10038417587888918,0.05530146973480829
T013-S0,B,clean,brightness_dark,1,98,-0.06523856690738454,-0.09999999999999999,-0.015850753009473608,-0.10556085674491374,0.06853956280761721
T013-S0,B,clean,contrast_low,0,100,-0.05212357940394786,0.0,-0.019410249441954634,-0.10388929810854686,0.039195504192098565
T013-S0,B,clean,contrast_low,1,99,-0.102091987688753,-0.09999999999999999,-0.023315041010072417,-0.09657579327272041,0.06866409623243418
T013-S0,B,clean,gaussian_noise,0,100,-0.10249227813415368,-0.15,0.006521820586911642,-0.09192097289156041,0.08116198306835237
T013-S0,B,clean,gaussian_noise,1,99,-0.15811670091508356,-0.3,-0.009436462481938569,-0.0867444196807719,0.06762081785215625
T013-S0,B,clean,gaussian_blur,0,100,-0.1468823825361631,-0.19999999999999998,0.009638330147975679,-0.045700534071567045,0.08607596162625153
