salt,bank,target,semantic_only_gap,context_only_gap,full_source_gap
T013-S0,A,brightness_dark,3.1814217305560106,0.0,3.1814217305560106
T013-S0,A,contrast_low,4.8788368035942975,0.0,4.8788368035942975
T013-S0,A,gaussian_noise,4.477637044608801,0.0,4.477637044608801
T013-S0,A,gaussian_blur,6.040848393830567,0.0,7.899541769317763
T013-S0,B,brightness_dark,2.8305495923063417,0.0,2.8305495923063417
T013-S0,B,contrast_low,5.148913042263016,0.0,5.148913042263016
T013-S0,B,gaussian_noise,4.625108455815771,0.0,4.625108455815771
T013-S0,B,gaussian_blur,5.821728731884487,0.0,7.275518619868042
T013-S1,A,brightness_dark,3.17423303341104,0.0,3.17423303341104
T013-S1,A,contrast_low,4.91797548205948,0.0,4.91797548205948
T013-S1,A,gaussian_noise,4.530232464122549,0.0,4.530232464122549
T013-S1,A,gaussian_blur,5.915068154883279,0.0,7.773761530370476
T013-S1,B,brightness_dark,2.8707423081317325,0.0,2.8707423081317325
T013-S1,B,contrast_low,4.981595706118262,0.0,4.981595706118262
T013-S1,B,gaussian_noise,4.665422560895818,0.0,4.665422560895818
T013-S1,B,gaussian_blur,5.737144398128182,0.0,7.190934286111737
T013-S2,A,brightness_dark,3.18130860377346,0.0,3.18130860377346
T013-S2,A,contrast_low,4.999483350030641,0.0,4.999483350030641
T013-S2,A,gaussian_noise,4.483347477648896,0.0,4.483347477648896
T013-S2,A,gaussian_blur,5.941341164199258,0.0,7.800034539686455
T013-S2,B,brightness_dark,2.9175167552740393,0.0,2.9175167552740393
T013-S2,B,contrast_low,5.069215628546414,0.0,5.069215628546414
T013-S2,B,gaussian_noise,4.658195769799798,0.0,4.658195769799798
T013-S2,B,gaussian_blur,5.749747291217719,0.0,7.203537179201275
T013-S3,A,brightness_dark,3.1879878145133813,0.0,3.1879878145133813
T013-S3,A,contrast_low,4.938878801357809,0.0,4.938878801357809
T013-S3,A,gaussian_noise,4.490921779215225,0.0,4.490921779215225
T013-S3,A,gaussian_blur,5.8620944961124115,0.0,7.720787871599608
T013-S3,B,brightness_dark,2.8506164819384487,0.0,2.8506164819384487
T013-S3,B,contrast_low,5.209109261760782,0.0,5.209109261760782
T013-S3,B,gaussian_noise,4.685971022289272,0.0,4.685971022289272
T013-S3,B,gaussian_blur,5.797283528353133,0.0,7.251073416336689
