bank,target,zero,T014_class_context,P00,P01,P10,P11,zero_soft,zero_hard,uniform
A,clean,34.13868991976854,40.41184437749511,40.31166548313375,36.24593928799451,40.176566914121814,35.40371621665946,35.577667819271134,35.80285911552866,34.32098622560271
A,brightness_dark,17.54602645421106,35.466288979673614,35.47777349885146,32.296535703287994,35.47777349885146,32.296535703287994,30.41572630037934,22.223444931680564,32.296535703287994
A,contrast_low,19.95526398771052,33.739204985335085,33.519649768123855,28.5858561588633,33.519649768123855,28.5858561588633,28.118911118728487,23.155531023636474,28.561473420506015
A,gaussian_noise,30.67664385146025,37.61540087045245,37.52839251085828,33.032857819459416,37.52839251085828,33.032857819459416,32.89887364674531,32.79300302777293,32.499557590179315
A,gaussian_blur,30.901579176174376,39.99576980741942,40.01901760384312,34.07917955158673,40.01901760384312,32.22048617609954,33.296081782192665,33.85413739608717,31.263384887993965
B,clean,34.13868991976854,40.275621599016844,40.26883915944933,36.015444421444506,40.089244812817654,35.12562842300555,35.36169691985823,35.589143664853175,34.20201827447402
B,brightness_dark,17.54602645421106,35.44392685913648,35.29216395115725,32.424807666744606,35.29216395115725,32.424807666744606,30.540208931937666,22.152905940074064,32.424807666744606
B,contrast_low,19.95526398771052,33.604517441114766,33.311370095536034,28.20916168586392,33.311370095536034,28.20916168586392,26.458302516683176,22.9437721385804,28.1116255098242
B,gaussian_noise,30.67664385146025,37.65875309203384,37.58089544907658,32.92222099687641,37.58089544907658,32.92222099687641,32.73044511266506,32.58954135413025,32.40677112345036
B,gaussian_blur,30.901579176174376,39.98184639338788,39.87985124440929,34.103375257013404,39.87985124440929,32.64958536902985,33.15825736861505,33.873780932287715,31.71666431644708
