bank,target,zero,class_context_only,P00,P01,P11,BBSE-H-01,BBSE-H-11,BBSE-S-01,BBSE-S-11,uniform,zero_hard,soft_source_minus_oracle_pp
A,clean,34.13868991976854,40.41184437749511,40.31166548313375,36.24593928799451,35.40371621665946,38.687848099462876,38.34064184993388,38.38518972947848,38.05144504410537,34.32098622560271,35.80285911552866,-0.3337446853731123
A,brightness_dark,17.54602645421106,35.466288979673614,35.47777349885146,32.296535703287994,32.296535703287994,31.796439831550167,31.796439831550167,33.3221286457501,33.3221286457501,32.296535703287994,22.223444931680564,0.0
A,contrast_low,19.95526398771052,33.739204985335085,33.519649768123855,28.5858561588633,28.5858561588633,29.300720474290415,29.300720474290415,29.733069330359125,29.733069330359125,28.561473420506015,23.155531023636474,0.0
A,gaussian_noise,30.67664385146025,37.61540087045245,37.52839251085828,33.032857819459416,33.032857819459416,35.544335869191755,35.544335869191755,35.26701559562509,35.26701559562509,32.499557590179315,32.79300302777293,0.0
A,gaussian_blur,30.901579176174376,39.99576980741942,40.01901760384312,34.07917955158673,32.22048617609954,37.14505191966893,36.298924632258945,36.95226556680215,34.863464980549736,31.263384887993965,33.85413739608717,-2.088800586252411
B,clean,34.13868991976854,40.275621599016844,40.26883915944933,36.015444421444506,35.12562842300555,38.50062594395711,37.88394944324367,38.28336801447727,37.8169020212617,34.20201827447402,35.589143664853175,-0.4664659932155715
B,brightness_dark,17.54602645421106,35.44392685913648,35.29216395115725,32.424807666744606,32.424807666744606,32.068404569556705,32.068404569556705,33.17216876475831,33.17216876475831,32.424807666744606,22.152905940074064,0.0
B,contrast_low,19.95526398771052,33.604517441114766,33.311370095536034,28.20916168586392,28.20916168586392,29.232718858747134,29.232718858747134,29.596863095283275,29.596863095283275,28.1116255098242,22.9437721385804,0.0
B,gaussian_noise,30.67664385146025,37.65875309203384,37.58089544907658,32.92222099687641,32.92222099687641,35.54285226658469,35.54285226658469,35.42856950075248,35.42856950075248,32.40677112345036,32.58954135413025,0.0
B,gaussian_blur,30.901579176174376,39.98184639338788,39.87985124440929,34.103375257013404,32.64958536902985,36.887637628067516,36.452949166977376,37.00138719089736,35.370848173439704,31.71666431644708,33.873780932287715,-1.6305390174576573
