salt,bank,target,policy,macro_class,sample_weighted,macro_client,state_choice_frequency,oracle_hit_rate,regret_median,regret_p75,regret_p90,regret_gt2_fraction,regret_gt5_fraction,gain_vs_zero_pp,capture_vs_P00,capture_vs_T014
T013-S0,A,clean,zero,34.13868991976854,34.21770064498969,33.18853079396754,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.265,4.147861594670106,10.444078947368421,20.0,0.635,0.435,0.0,0.0,0.0
T013-S0,A,brightness_dark,zero,17.54602645421106,17.64080058514529,18.259971708810973,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.085,11.180555555555555,22.76923076923077,45.115384615384606,0.845,0.735,0.0,0.0,0.0
T013-S0,A,contrast_low,zero,19.95526398771052,20.08777179333732,20.058068667099974,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.075,10.411741528762805,18.768382352941178,31.025,0.885,0.735,0.0,0.0,0.0
T013-S0,A,gaussian_noise,zero,30.67664385146025,30.746725181195558,29.49990098428897,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.235,4.733893557422969,11.11111111111111,19.499999999999996,0.655,0.485,0.0,0.0,0.0
T013-S0,A,gaussian_blur,zero,30.901579176174376,30.992752177671388,30.511363707299605,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.135,6.371753246753247,12.544014084507042,27.527777777777775,0.78,0.57,0.0,0.0,0.0
T013-S0,B,clean,zero,34.13868991976854,34.21770064498969,33.18853079396754,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.305,3.8034960819770944,10.444078947368421,20.04081632653061,0.6,0.425,0.0,0.0,0.0
T013-S0,B,brightness_dark,zero,17.54602645421106,17.64080058514529,18.259971708810973,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.085,11.189358372456963,22.792580982236153,46.15384615384615,0.83,0.72,0.0,0.0,0.0
T013-S0,B,contrast_low,zero,19.95526398771052,20.08777179333732,20.058068667099974,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.09,10.0,18.33933393339334,30.76923076923077,0.86,0.71,0.0,0.0,0.0
T013-S0,B,gaussian_noise,zero,30.67664385146025,30.746725181195558,29.49990098428897,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.245,4.669331395348838,10.777777777777777,20.0,0.66,0.455,0.0,0.0,0.0
T013-S0,B,gaussian_blur,zero,30.901579176174376,30.992752177671388,30.511363707299605,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.13,5.634920634920634,12.860700790106494,28.696741854636585,0.755,0.545,0.0,0.0,0.0
T013-S1,A,clean,zero,34.13868991976854,34.21770064498969,33.18853079396754,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.27,3.6867142371729527,11.11111111111111,20.04081632653061,0.62,0.425,0.0,0.0,0.0
T013-S1,A,brightness_dark,zero,17.54602645421106,17.64080058514529,18.259971708810973,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.105,12.5,24.27937915742794,45.07142857142857,0.85,0.715,0.0,0.0,0.0
T013-S1,A,contrast_low,zero,19.95526398771052,20.08777179333732,20.058068667099974,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.065,10.457963089542037,18.824404761904763,31.423969072164937,0.895,0.73,0.0,0.0,0.0
T013-S1,A,gaussian_noise,zero,30.67664385146025,30.746725181195558,29.49990098428897,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.25,5.025252525252525,11.142322097378276,19.499999999999996,0.68,0.5,0.0,0.0,0.0
T013-S1,A,gaussian_blur,zero,30.901579176174376,30.992752177671388,30.511363707299605,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.145,6.639118457300276,14.285714285714286,26.367137355584077,0.785,0.585,0.0,0.0,0.0
T013-S1,B,clean,zero,34.13868991976854,34.21770064498969,33.18853079396754,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.265,3.0303030303030303,11.11111111111111,22.012798138452588,0.625,0.41,0.0,0.0,0.0
T013-S1,B,brightness_dark,zero,17.54602645421106,17.64080058514529,18.259971708810973,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.115,11.942959001782532,23.291589363017934,45.74285714285714,0.845,0.705,0.0,0.0,0.0
T013-S1,B,contrast_low,zero,19.95526398771052,20.08777179333732,20.058068667099974,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.08,10.372646945831733,18.074866310160427,32.02916666666666,0.865,0.715,0.0,0.0,0.0
T013-S1,B,gaussian_noise,zero,30.67664385146025,30.746725181195558,29.49990098428897,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.245,4.571577847439917,11.11111111111111,20.412801484230055,0.675,0.485,0.0,0.0,0.0
T013-S1,B,gaussian_blur,zero,30.901579176174376,30.992752177671388,30.511363707299605,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.15,5.798319327731093,14.699014011416711,26.31578947368421,0.76,0.565,0.0,0.0,0.0
T013-S2,A,clean,zero,34.13868991976854,34.21770064498969,33.18853079396754,"{""clean"": 200, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 0, ""gaussian_blur"": 0}",0.265,3.723207686622321,10.91221927070756,20.0,0.615,0.43,0.0,0.0,0.0
