bank,target,estimator,stratum,n,L1_mean,L1_median,JS_mean,JS_median,top_class_agreement,spearman_mean,spearman_median,spearman_valid
A,clean,BBSE-H-01,all,100,1.086164267222835,1.0,0.3043980897916138,0.24964486250951345,0.46,0.35687335893967953,0.34896460082013125,100
A,clean,BBSE-H-01,quartile_1,25,0.9543326638405881,0.7629802347654383,0.27431313029171195,0.1581884938210142,0.64,0.43629753978011115,0.5570860145311556,25
A,clean,BBSE-H-01,quartile_2,25,1.1478075970850714,1.0555015066097,0.316187633588767,0.25568646971970055,0.4,0.38932023539912186,0.3831305140884606,25
A,clean,BBSE-H-01,quartile_3,25,1.0796870453304852,1.0568834953564783,0.30352402528455824,0.29371196811261546,0.48,0.34689076783779343,0.32612688823813446,25
A,clean,BBSE-H-01,quartile_4,25,1.1628297626351958,1.0,0.3235675700014181,0.2394093780263009,0.32,0.2549848927416917,0.33145202342776975,25
A,clean,BBSE-H-11,all,100,1.0892015092994363,1.0190001680682843,0.3063321398438373,0.25309045788768325,0.45,0.35025317487882845,0.34896460082013125,100
A,clean,BBSE-H-11,quartile_1,25,0.9407411927670245,0.7535115209356309,0.27502241455391896,0.1529953988936097,0.64,0.42173528692856654,0.5570860145311556,25
A,clean,BBSE-H-11,quartile_2,25,1.1478075970850714,1.0555015066097,0.316187633588767,0.25568646971970055,0.4,0.38932023539912186,0.3831305140884606,25
A,clean,BBSE-H-11,quartile_3,25,1.105427484710453,1.1673946210116368,0.3105509412312449,0.32181873985543596,0.44,0.3349722844459333,0.3154312802684078,25
A,clean,BBSE-H-11,quartile_4,25,1.1628297626351958,1.0,0.3235675700014181,0.2394093780263009,0.32,0.2549848927416917,0.33145202342776975,25
A,clean,BBSE-S-01,all,100,0.7322503284248317,0.7077914450469986,0.1727377024479685,0.1511447752318023,0.68,0.5514922116440462,0.5479509603057402,100
A,clean,BBSE-S-01,quartile_1,25,0.5195018317287148,0.3338991051342379,0.12373550123678777,0.07710803105996744,0.84,0.6481066496521294,0.7453559924999299,25
A,clean,BBSE-S-01,quartile_2,25,0.6904261122696745,0.6227817189681151,0.16345770532422121,0.11220984031794079,0.72,0.5767605425995502,0.6454972243679028,25
A,clean,BBSE-S-01,quartile_3,25,0.8021399339993244,0.8310115380771766,0.187449471034703,0.19401198198204406,0.68,0.5036280757735763,0.5000739809133293,25
A,clean,BBSE-S-01,quartile_4,25,0.9169334357016132,0.8558467261244791,0.21630813219616205,0.202044969075172,0.48,0.47747357855092937,0.4879992172885839,25
A,clean,BBSE-S-11,all,100,0.7683710454755438,0.7537786874204686,0.1818967705964387,0.1649362281569471,0.67,0.5309525472740598,0.5104584500691092,100
A,clean,BBSE-S-11,quartile_1,25,0.6167820970209599,0.49931617290749963,0.14433027680559696,0.0861843780351983,0.84,0.6067975768150595,0.6139406135149206,25
A,clean,BBSE-S-11,quartile_2,25,0.6904261122696745,0.6227817189681151,0.16345770532422121,0.11220984031794079,0.72,0.5767605425995502,0.6454972243679028,25
A,clean,BBSE-S-11,quartile_3,25,0.8493425369099272,0.9385353270671896,0.20349096805977457,0.23033204453126,0.64,0.4627784911307005,0.4116339200325736,25
A,clean,BBSE-S-11,quartile_4,25,0.9169334357016132,0.8558467261244791,0.21630813219616205,0.202044969075172,0.48,0.47747357855092937,0.4879992172885839,25
A,clean,raw_soft_01,all,100,1.2869922052452523,1.2967403799166166,0.3322309226444549,0.32530580766506934,0.27,0.2662093949321779,0.318658036487809,100
A,clean,raw_soft_01,quartile_1,25,1.4084157989160984,1.5389301407230442,0.3720321572822348,0.3998131679914467,0.48,0.30874297460436545,0.37194949554383877,25
A,clean,raw_soft_01,quartile_2,25,1.4466589147720008,1.4543962323179516,0.3861612119614541,0.39633100055710146,0.12,0.2695331911280991,0.3370999312316211,25
A,clean,raw_soft_01,quartile_3,25,1.207355312539851,1.2676771376536602,0.30453744308361375,0.3196361007738735,0.28,0.2646084635472257,0.3504633733153655,25
A,clean,raw_soft_01,quartile_4,25,1.0855387947530593,1.1578731693818953,0.26619287825051685,0.2682631213322253,0.2,0.2219529504490215,0.27589669814188345,25
A,clean,raw_hard_01,all,100,1.264,1.3,0.3609625216568672,0.34352859132378344,0.29,0.20675758208886358,0.20718243331862085,100
A,clean,raw_hard_01,quartile_1,25,1.236,1.3,0.3567732513130986,0.31452722203472117,0.44,0.2381547384402171,0.3831305140884606,25
A,clean,raw_hard_01,quartile_2,25,1.4440000000000004,1.5,0.416607526359698,0.4255591221950692,0.16,0.20474883861678214,0.31337559712098123,25
A,clean,raw_hard_01,quartile_3,25,1.196,1.2999999999999998,0.3365706347789731,0.3317910444917114,0.28,0.20461173182763873,0.16761959991370148,25
A,clean,raw_hard_01,quartile_4,25,1.18,1.2999999999999998,0.3338986741756991,0.32214171981779405,0.28,0.17951501947081636,0.16508454493605446,25
A,clean,raw_soft_11,all,100,1.295678441598479,1.3319333905189663,0.33574138308394696,0.3325728254163851,0.27,0.2491382724303512,0.29643950799448876,100
A,clean,raw_soft_11,quartile_1,25,1.4270020158337633,1.5389301407230442,0.37966551939712007,0.3998131679914467,0.48,0.27619063314700076,0.3113995776646092,25
A,clean,raw_soft_11,quartile_2,25,1.4466589147720008,1.4543962323179516,0.3861612119614541,0.39633100055710146,0.12,0.2695331911280991,0.3370999312316211,25
A,clean,raw_soft_11,quartile_3,25,1.223514041035093,1.2800817162102023,0.3109459227266964,0.3271736720846079,0.28,0.22887631499728336,0.21624335800309782,25
A,clean,raw_soft_11,quartile_4,25,1.0855387947530593,1.1578731693818953,0.26619287825051685,0.2682631213322253,0.2,0.2219529504490215,0.27589669814188345,25
A,clean,raw_hard_11,all,100,1.2710000000000001,1.3,0.3630347186034733,0.353700291762825,0.29,0.19897272958783646,0.20186493188083005,100
A,clean,raw_hard_11,quartile_1,25,1.248,1.3,0.3608836915178285,0.31452722203472117,0.44,0.2195076655372491,0.25,25
A,clean,raw_hard_11,quartile_2,25,1.4440000000000004,1.5,0.416607526359698,0.4255591221950692,0.16,0.20474883861678214,0.31337559712098123,25
A,clean,raw_hard_11,quartile_3,25,1.212,1.3,0.3407489823606676,0.35038405739880263,0.28,0.19211939472649825,0.15179742376658428,25
A,clean,raw_hard_11,quartile_4,25,1.18,1.2999999999999998,0.3338986741756991,0.32214171981779405,0.28,0.17951501947081636,0.16508454493605446,25
