bank,target,family,mode,negative_entry_fraction,episode_negative_fraction,projection_L1_mean,projection_L1_median,projection_L1_max
A,clean,H,01,0.44,1.0,1.365344110433952,1.1390263198318031,6.068671358241027
A,clean,H,11,0.438,1.0,1.3508935112346487,1.1175706472009816,6.068671358241027
A,clean,S,01,0.418,1.0,1.2694996790072994,1.0740119113838533,3.5237255771293112
A,clean,S,11,0.408,1.0,1.2644963945486511,1.0740119113838533,3.5237255771293112
A,brightness_dark,H,01,0.466,1.0,1.5784046952936002,1.1560970701471738,5.281716098615541
A,brightness_dark,H,11,0.466,1.0,1.5784046952936002,1.1560970701471738,5.281716098615541
A,brightness_dark,S,01,0.425,1.0,1.6266172550412055,1.5044011922247509,5.665000483404905
A,brightness_dark,S,11,0.425,1.0,1.6266172550412055,1.5044011922247509,5.665000483404905
A,contrast_low,H,01,0.446,1.0,1.5850128828211842,1.155195744499641,7.12824644604766
A,contrast_low,H,11,0.446,1.0,1.5850128828211842,1.155195744499641,7.12824644604766
A,contrast_low,S,01,0.444,1.0,1.6929493596675405,1.6441340677732783,4.287152828712994
A,contrast_low,S,11,0.444,1.0,1.6929493596675405,1.6441340677732783,4.287152828712994
A,gaussian_noise,H,01,0.478,1.0,1.3678807535247535,1.1672678282747797,4.4824210568061975
A,gaussian_noise,H,11,0.478,1.0,1.3678807535247535,1.1672678282747797,4.4824210568061975
A,gaussian_noise,S,01,0.424,1.0,1.3493146516808503,1.2411780211945667,3.7352708458687918
A,gaussian_noise,S,11,0.424,1.0,1.3493146516808503,1.2411780211945667,3.7352708458687918
A,gaussian_blur,H,01,0.469,1.0,1.1088975225703632,0.9040305891295863,3.50691246043849
A,gaussian_blur,H,11,0.465,1.0,1.1651430645262684,0.9475691044363332,4.25829783430547
A,gaussian_blur,S,01,0.433,1.0,1.3135215042310415,1.11032644390518,3.701031428969539
A,gaussian_blur,S,11,0.428,1.0,1.349189415139725,1.11032644390518,4.070112252567452
B,clean,H,01,0.44,1.0,1.365344110433952,1.1390263198318031,6.068671358241027
B,clean,H,11,0.439,1.0,1.355726469210215,1.1175706472009816,6.068671358241027
B,clean,S,01,0.418,1.0,1.2694996790072994,1.0740119113838533,3.5237255771293112
B,clean,S,11,0.409,1.0,1.2839988219470175,1.082164470693546,3.5237255771293112
B,brightness_dark,H,01,0.476,1.0,1.6511916948239027,1.2349985974338369,6.0955934497703925
B,brightness_dark,H,11,0.476,1.0,1.6511916948239027,1.2349985974338369,6.0955934497703925
B,brightness_dark,S,01,0.427,1.0,1.6471445808777678,1.5190284958781177,5.763591330194315
B,brightness_dark,S,11,0.427,1.0,1.6471445808777678,1.5190284958781177,5.763591330194315
B,contrast_low,H,01,0.45,1.0,1.6880665091661051,1.2108727215861053,8.273910302649135
B,contrast_low,H,11,0.45,1.0,1.6880665091661051,1.2108727215861053,8.273910302649135
B,contrast_low,S,01,0.44,1.0,1.765655070637763,1.7312679734162395,4.518200816979916
B,contrast_low,S,11,0.44,1.0,1.765655070637763,1.7312679734162395,4.518200816979916
B,gaussian_noise,H,01,0.471,1.0,1.3096037975911239,1.0958538826025244,4.071234328766357
B,gaussian_noise,H,11,0.471,1.0,1.3096037975911239,1.0958538826025244,4.071234328766357
B,gaussian_noise,S,01,0.423,1.0,1.3560158948350622,1.2444815250222923,3.792592270133496
B,gaussian_noise,S,11,0.423,1.0,1.3560158948350622,1.2444815250222923,3.792592270133496
B,gaussian_blur,H,01,0.467,1.0,1.1166087368442206,0.8966045744768222,3.430700065558309
B,gaussian_blur,H,11,0.466,1.0,1.1521044454204037,0.902665769991642,3.5479084884621335
B,gaussian_blur,S,01,0.434,1.0,1.31388626211834,1.09995878903181,3.7224329244481345
B,gaussian_blur,S,11,0.427,1.0,1.324112376808868,1.09995878903181,3.7224329244481345
