bank,context,median_D_actual,median_bootstrap_p50,median_empirical_percentile,above_p95_fraction,label
A,clean,0.1548725995772238,0.1500620231428199,0.60546875,0.1,weak
A,brightness_dark,0.15526044286879775,0.14094891677683055,0.6015625,0.07,weak
A,contrast_low,0.15723620324572513,0.14283687672739617,0.609375,0.07,weak
A,gaussian_noise,0.15063860439552615,0.14860286956675206,0.53515625,0.08,weak
A,gaussian_blur,0.15906283993747106,0.15146420952067885,0.56640625,0.1,weak
B,clean,0.1548725995772238,0.14972860424797524,0.5546875,0.08,weak
B,brightness_dark,0.1577415017794246,0.14259941763787407,0.5859375,0.07,weak
B,contrast_low,0.15749408552339322,0.14160110490360506,0.5859375,0.08,weak
B,gaussian_noise,0.14764195593703772,0.1475979912720615,0.51953125,0.08,weak
B,gaussian_blur,0.15986695619591298,0.15019819047454303,0.5546875,0.09,weak
