salt,bank,context,canonical,minimum,maximum,canonical_accuracy,minimum_accuracy,maximum_accuracy,canonical_minus_min_pp,max_minus_canonical_pp,width_pp,tied_episodes,historical_actual80_canonical,historical_actual80_min,historical_actual80_max
T013-S0,A,clean,13523389753799453496757/335859623454421469325,13523389753799453496757/335859623454421469325,13523389753799453496757/335859623454421469325,40.265006000742666,40.265006000742666,40.265006000742666,0.0,0.0,0.0,1,False,False,False
T013-S0,A,brightness_dark,4766245369865135881729/134343849381768587730,4763541624025908830999/134343849381768587730,4777046530726604189209/134343849381768587730,35.477957433844004,35.45783186909601,35.55835680390206,0.020125564747990377,0.0803993700580542,0.10052493480604457,5,True,True,True
T013-S0,A,contrast_low,12542866337431359813/374425444207827725,12542866337431359813/374425444207827725,978735341573901413581/29205184648210562550,33.49896897089437,33.49896897089437,33.512383275887615,0.0,0.013414304993252362,0.013414304993252362,2,False,False,False
T013-S0,A,gaussian_noise,25202196420302888064131/671719246908842938650,25202196420302888064131/671719246908842938650,4201863885083647866001/111953207818140489775,37.518943422091645,37.518943422091645,37.53232236015298,0.0,0.013378938061333705,0.013378938061333705,2,False,False,False
T013-S0,A,gaussian_blur,13451423574395114065151/335859623454421469325,13451423574395114065151/335859623454421469325,26916210263781783361177/671719246908842938650,40.050731421785706,40.050731421785706,40.070625320989954,0.0,0.01989389920424403,0.01989389920424403,1,False,False,False
T013-S0,B,clean,13537404214616708764177/335859623454421469325,13537404214616708764177/335859623454421469325,13537404214616708764177/335859623454421469325,40.30673313862579,40.30673313862579,40.30673313862579,0.0,0.0,0.0,1,False,False,False
T013-S0,B,brightness_dark,23681702027551911358709/671719246908842938650,23672715816890923493309/671719246908842938650,11867838726524347803992/335859623454421469325,35.255357259050946,35.24197933262954,35.33571140365105,0.013377926421404682,0.08035414460010121,0.09373207102150588,5,True,True,True
T013-S0,B,contrast_low,11205828136920145281682/335859623454421469325,11205828136920145281682/335859623454421469325,3736031465395906325269/111953207818140489775,33.36461829399048,33.36461829399048,33.37136593231707,0.0,0.006747638326585695,0.006747638326585695,2,False,False,False
T013-S0,B,gaussian_noise,841309384870398888134/22390641563628097955,25234803417799241024429/671719246908842938650,5049653687262193155179/134343849381768587730,37.574152686944096,37.56748602027743,37.58753162500543,0.006666666666666667,0.013378938061333705,0.020045604728000373,2,False,False,False
T013-S0,B,gaussian_blur,26774471615096267207867/671719246908842938650,13380482597961248453746/335859623454421469325,26774471615096267207867/671719246908842938650,39.85961655603677,39.839509317430874,39.85961655603677,0.020107238605898123,0.0,0.020107238605898123,1,False,False,False
T013-S1,A,clean,9022841016042753407613/223906415636280979550,4510678112744068079869/111953207818140489775,9022841016042753407613/223906415636280979550,40.29737598363271,40.29074468389796,40.29737598363271,0.006631299734748011,0.0,0.006631299734748011,2,False,False,False
T013-S1,A,brightness_dark,2382639806309320375097/67171924690884293865,2382186554455805636272/67171924690884293865,2383999561869864591572/67171924690884293865,35.47076873669903,35.46402109837245,35.49101165167879,0.006747638326585695,0.020242914979757085,0.02699055330634278,2,True,True,True
T013-S1,A,contrast_low,488886743559877885124/14602592324105281275,488886743559877885124/14602592324105281275,15048696221138632591/449310533049393270,33.479448902565494,33.479448902565494,33.49286320755875,0.0,0.013414304993252362,0.013414304993252362,2,False,False,False
T013-S1,A,gaussian_noise,12612064819694375418761/335859623454421469325,12612064819694375418761/335859623454421469325,25233116529587749969397/671719246908842938650,37.55159578271224,37.55159578271224,37.56497472077358,0.0,0.013378938061333705,0.013378938061333705,2,False,False,False
T013-S1,A,gaussian_blur,13453704156276790262351/335859623454421469325,8954138828365106391359/223906415636280979550,13453704156276790262351/335859623454421469325,40.057521704756375,39.99054159712166,40.057521704756375,0.06698010763471106,0.0,0.06698010763471106,3,False,False,False
T013-S1,B,clean,26998778229963330946279/671719246908842938650,13497161929149739601327/335859623454421469325,26998778229963330946279/671719246908842938650,40.19354567285052,40.18691437311577,40.19354567285052,0.006631299734748011,0.0,0.006631299734748011,1,False,False,False
T013-S1,B,brightness_dark,11854350124178681925367/335859623454421469325,11854350124178681925367/335859623454421469325,23722219657091510370859/671719246908842938650,35.29554997487634,35.29554997487634,35.315676551264254,0.0,0.0201265763879194,0.0201265763879194,2,True,True,True
T013-S1,B,contrast_low,4456336848454899744137/134343849381768587730,4456336848454899744137/134343849381768587730,3715115814853728621421/111953207818140489775,33.17112669439153,33.17112669439153,33.18454099938479,0.0,0.013414304993252362,0.013414304993252362,2,False,False,False
T013-S1,B,gaussian_noise,12619678430610023161976/335859623454421469325,8411626244302440234787/223906415636280979550,25248343751419045455827/671719246908842938650,37.57426480984132,37.56759814317465,37.587643747902646,0.006666666666666667,0.013378938061333705,0.020045604728000373,2,False,False,False
T013-S1,B,gaussian_blur,8923357707315617097433/223906415636280979550,8923357707315617097433/223906415636280979550,8923357707315617097433/223906415636280979550,39.85306844360787,39.85306844360787,39.85306844360787,0.0,0.0,0.0,0,False,False,False
T013-S2,A,clean,27069099294303830763589/671719246908842938650,13532322461319989509982/335859623454421469325,27073631812838978151839/671719246908842938650,40.29823385122877,40.29160255149402,40.30498148955535,0.006631299734748011,0.006747638326585695,0.013378938061333705,1,False,False,False
T013-S2,A,brightness_dark,794371695329616644919/22390641563628097955,125403254428175536628/3535364457414962835,794824947183131383744/22390641563628097955,35.47784430706145,35.471096668734866,35.49808722204121,0.006747638326585695,0.020242914979757085,0.02699055330634278,3,True,True,True
T013-S2,A,contrast_low,490076969727067754006/14602592324105281275,979960271120924562637/29205184648210562550,980545706708390856179/29205184648210562550,33.560956770536656,33.554325470801906,33.57437107552991,0.006631299734748011,0.013414304993252362,0.020045604728000373,3,False,False,False
T013-S2,A,gaussian_noise,4199467981605503125837/111953207818140489775,4199467981605503125837/111953207818140489775,25205794779832017886897/671719246908842938650,37.51092142377216,37.51092142377216,37.5243003618335,0.0,0.013378938061333705,0.013378938061333705,2,False,False,False
T013-S2,A,gaussian_blur,13426731301264101295226/335859623454421469325,13426731301264101295226/335859623454421469325,13433451932195526732976/335859623454421469325,39.97721179808982,39.97721179808982,39.9972220358859,0.0,0.020010237796081715,0.020010237796081715,1,False,False,False
T013-S2,B,clean,540616530836902407523/13434384938176858773,1081054886807250745301/26868769876353717546,180235727069201785096/4478128312725619591,40.24125654614955,40.2346252464148,40.24800418447613,0.006631299734748011,0.006747638326585695,0.013378938061333705,1,False,False,False
T013-S2,B,brightness_dark,7913373181588790587303/223906415636280979550,7913373181588790587303/223906415636280979550,3959703206682734004464/111953207818140489775,35.34232442201864,35.34232442201864,35.36926974986704,0.0,0.026945327848389794,0.026945327848389794,3,True,True,True
T013-S2,B,contrast_low,11179060993558996115726/335859623454421469325,22353667615454140487827/671719246908842938650,11181327252826569809851/335859623454421469325,33.28492088027388,33.27828958053913,33.29166851860047,0.006631299734748011,0.006747638326585695,0.013378938061333705,3,False,False,False
T013-S2,B,gaussian_noise,25247977609825471078999/671719246908842938650,8412981378865512959961/223906415636280979550,12630666563091769424962/335859623454421469325,37.58709866661272,37.57365037959325,37.60698125360055,0.013448287019469766,0.01988258698783453,0.0333308740073043,5,False,False,False
T013-S2,B,gaussian_blur,13398543324898350730321/335859623454421469325,13398543324898350730321/335859623454421469325,13398543324898350730321/335859623454421469325,39.89328394729362,39.89328394729362,39.89328394729362,0.0,0.0,0.0,1,False,False,False
T013-S3,A,clean,4521347411642700408494/111953207818140489775,9041210032730783569113/223906415636280979550,4521347411642700408494/111953207818140489775,40.38604609693085,40.3794147971961,40.38604609693085,0.006631299734748011,0.0,0.006631299734748011,1,False,False,False
T013-S3,A,brightness_dark,794521247143222158409/22390641563628097955,125379572026844892098/3535364457414962835,795572589731717887539/22390641563628097955,35.48452351780137,35.464397953053385,35.531478071805914,0.020125564747990377,0.04695455400454249,0.06708011875253286,5,True,True,True
T013-S3,A,contrast_low,979519242392085013373/29205184648210562550,979519242392085013373/29205184648210562550,32663700321544678718/973506154940352085,33.53922442849891,33.53922442849891,33.55263873349216,0.0,0.013414304993252362,0.013414304993252362,2,False,False,False
T013-S3,A,gaussian_noise,646436930026874068373/17223570433560075350,646436930026874068373/17223570433560075350,12610013580623543899211/335859623454421469325,37.532109414857075,37.532109414857075,37.54548835291841,0.0,0.013378938061333705,0.013378938061333705,2,False,False,False
T013-S3,A,gaussian_blur,463145851787394636394/11581366326014533425,462990605589994977769/11581366326014533425,463145851787394636394/11581366326014533425,39.99060549074056,39.977200665003295,39.99060549074056,0.013404825737265416,0.0,0.013404825737265416,1,False,False,False
T013-S3,B,clean,347346205836828738118/8611785216780037675,9029516561202929943193/223906415636280979550,694807851153775171111/17223570433560075350,40.33382128017147,40.32718998043672,40.3405236930401,0.006631299734748011,0.006702412868632708,0.013333712603380718,2,False,False,False
T013-S3,B,brightness_dark,23695181343543393156809/671719246908842938650,1029834570994887186583/29205184648210562550,11865611880461427565417/335859623454421469325,35.27542414868305,35.26204622226165,35.32908111555623,0.013377926421404682,0.05365696687317519,0.06703489329457987,5,True,True,True
T013-S3,B,contrast_low,11226045616534044694387/335859623454421469325,11226045616534044694387/335859623454421469325,3742770625267206129504/111953207818140489775,33.42481451348825,33.42481451348825,33.43156215181483,0.0,0.006747638326585695,0.006747638326585695,2,False,False,False
T013-S3,B,gaussian_noise,25248627139697245500461/671719246908842938650,2524414901138451988087/67171924690884293865,4209602338316040772056/111953207818140489775,37.58806563290818,37.581398966241515,37.60144457096952,0.006666666666666667,0.013378938061333705,0.020045604728000373,2,False,False,False
T013-S3,B,gaussian_blur,2681062319208533075203/67171924690884293865,5359423354582312090331/134343849381768587730,2681062319208533075203/67171924690884293865,39.91343603069888,39.89332879209299,39.91343603069888,0.020107238605898123,0.0,0.020107238605898123,1,False,False,False
