client,bank,context,max_error,iterations,updates,trace,converged,cap_hit,direct_KKT,objective,initial_objective,active_classes,clipped_coordinates,L1_change,differs_from_BBSE
0,A,clean,1.5265566588595902e-16,0,0,"[{'active': [1, 6, 7], 'minimum': 0.050000000000000155, 'action': 'accept'}]",True,False,2.220446049250313e-16,7.613441811405792e-33,2.192099481232628e-32,3,0,9.08995101411847e-16,False
0,A,brightness_dark,1.1102230246251565e-16,0,0,"[{'active': [1, 6, 7], 'minimum': 0.050000000000000044, 'action': 'accept'}]",True,False,2.0622890711714746e-17,1.8792863285466075e-33,6.177570759898964e-32,3,0,4.297950884080138e-15,False
0,A,contrast_low,1.5126788710517758e-15,0,0,"[{'active': [1, 6, 7], 'minimum': 0.04999999999999849, 'action': 'accept'}]",True,False,4.440892098500626e-16,1.4804533204538539e-31,3.962751323853643e-32,3,0,3.400058012914542e-15,False
0,A,gaussian_noise,4.85722573273506e-16,0,0,"[{'active': [1, 6, 7], 'minimum': 0.05000000000000049, 'action': 'accept'}]",True,False,2.220446049250313e-16,1.6785683171550002e-32,1.2813452661251329e-32,3,0,2.3619994848900204e-15,False
0,A,gaussian_blur,1.8041124150158794e-16,0,0,"[{'active': [1, 6, 7], 'minimum': 0.04999999999999982, 'action': 'accept'}]",True,False,3.129167832025407e-17,5.22558960691943e-33,9.771837518611643e-32,3,0,2.4514120891946536e-15,False
0,B,clean,1.5265566588595902e-16,0,0,"[{'active': [1, 6, 7], 'minimum': 0.050000000000000155, 'action': 'accept'}]",True,False,2.220446049250313e-16,7.613441811405792e-33,2.192099481232628e-32,3,0,9.08995101411847e-16,False
0,B,brightness_dark,6.245004513516506e-16,0,0,"[{'active': [1, 6, 7], 'minimum': 0.04999999999999938, 'action': 'accept'}]",True,False,2.220446049250313e-16,3.652195120321201e-32,1.0148748027259301e-32,3,0,1.942890293094024e-15,False
0,B,contrast_low,3.3306690738754696e-16,0,0,"[{'active': [1, 6, 7], 'minimum': 0.04999999999999982, 'action': 'accept'}]",True,False,6.661338147750939e-16,3.209080769835232e-32,7.575073675794952e-32,3,0,4.032488628727801e-15,False
0,B,gaussian_noise,4.85722573273506e-16,0,0,"[{'active': [1, 6, 7], 'minimum': 0.05000000000000049, 'action': 'accept'}]",True,False,3.9522847039366705e-17,1.560003254953661e-32,1.4853734696086557e-32,3,0,1.8665624601510444e-15,False
0,B,gaussian_blur,5.967448757360216e-16,0,0,"[{'active': [1, 6, 7], 'minimum': 0.0500000000000006, 'action': 'accept'}]",True,False,2.220446049250313e-16,3.274231368735206e-32,5.592419076014436e-32,3,0,2.192690473634684e-15,False
1,A,clean,1.6653345369377348e-16,0,0,"[{'active': [1, 7], 'minimum': 0.15000000000000016, 'action': 'accept'}]",True,False,3.5495525982861815e-17,4.972811301718605e-33,5.711585991323396e-33,2,0,1.2443749734340297e-15,False
1,A,brightness_dark,1.942890293094024e-16,0,0,"[{'active': [1, 7], 'minimum': 0.1500000000000002, 'action': 'accept'}]",True,False,3.496285932987893e-17,4.431143504859695e-33,1.9413373839423337e-31,2,0,4.354155924701786e-15,False
1,A,contrast_low,1.1102230246251565e-16,0,0,"[{'active': [1, 7], 'minimum': 0.15000000000000008, 'action': 'accept'}]",True,False,1.5535899249619037e-17,1.1089143507917131e-33,9.514093925272945e-32,2,0,3.1363800445660672e-15,False
1,A,gaussian_noise,8.326672684688674e-17,0,0,"[{'active': [1, 7], 'minimum': 0.15000000000000008, 'action': 'accept'}]",True,False,1.1748049050936267e-17,2.0222264416065976e-33,4.453712996395483e-33,2,0,9.483155002006547e-16,False
1,A,gaussian_blur,1.1102230246251565e-16,0,0,"[{'active': [1, 7], 'minimum': 0.14999999999999994, 'action': 'accept'}]",True,False,3.1234238230662136e-18,5.296307347064899e-34,2.6519152554550806e-32,2,0,3.760880495917718e-15,False
1,B,clean,1.6653345369377348e-16,0,0,"[{'active': [1, 7], 'minimum': 0.15000000000000016, 'action': 'accept'}]",True,False,3.5495525982861815e-17,4.972811301718605e-33,5.711585991323396e-33,2,0,1.2443749734340297e-15,False
1,B,brightness_dark,2.7755575615628914e-17,0,0,"[{'active': [1, 7], 'minimum': 0.15000000000000002, 'action': 'accept'}]",True,False,0.0,0.0,9.14816723583937e-34,2,0,3.885780586188048e-16,False
1,B,contrast_low,1.1102230246251565e-16,0,0,"[{'active': [1, 7], 'minimum': 0.14999999999999994, 'action': 'accept'}]",True,False,1.1966564921549844e-18,2.407412430484045e-34,4.7576488157440936e-32,2,0,1.6209256159527283e-15,False
1,B,gaussian_noise,2.7755575615628914e-17,0,0,"[{'active': [1, 7], 'minimum': 0.15000000000000002, 'action': 'accept'}]",True,False,8.168736174286095e-18,4.81482486096809e-34,3.0796823516967143e-32,2,0,2.933764342571976e-15,False
