bank,context,salt,macro_class,macro_class_exact,capture,capture_exact,delta_vs_BBSE_pp,capture_delta_vs_BBSE,clean_delta_vs_zero,L1,JS,dominant_agreement,canonical_agreement,optimal_set_agreement,true_template_regret,DU,active_classes,objective
A,clean,T013-S0,38.70632940695606,25999786439846124532933/671719246908842938650,0.7455768567627074,3068171356484693708515/4115164424237476169096,0.5684829433440469,0.09279360317524687,4.5676394871875186,0.7410552760965146,0.18156654691033197,0.68,0.61,0.61,0.0186192835705173,0.08254108195366669,4.24,0.0008396511569169107
A,clean,T013-S1,38.69273945651046,2599065780856727776474/67171924690884293865,0.7394514819423268,3059042725205846940322/4136907964766829398421,0.7153034715957388,0.11614546742246713,4.554049536741919,0.7410552760965146,0.18156654691033197,0.68,0.62,0.625,0.019606665272021942,0.08253122750098217,4.24,0.0008396511569169107
A,clean,T013-S2,38.806446873718635,26067037269222305783809/671719246908842938650,0.7578088582353082,3135422185860874959391/4137484210942399939171,0.7344722282203199,0.1192413328637791,4.667756953950098,0.7410552760965146,0.18156654691033197,0.68,0.595,0.6,0.019177271751005632,0.08249485049854548,4.24,0.0008396511569169107
A,clean,T013-S3,38.460420892009324,12917302478688816367388/335859623454421469325,0.6917695821536809,1451494937008100955179/2098234693247385813273,0.44189780961288094,0.07073357066278255,4.321730972240785,0.7410552760965146,0.18156654691033197,0.68,0.6,0.605,0.020090172357229635,0.08283193002821122,4.24,0.0008396511569169107
A,brightness_dark,T013-S0,33.65725645904361,22608226961686561507157/671719246908842938650,0.8984659835648294,901851940468439356311/1003768597771699181435,0.33363100390862993,0.018605414234951465,16.111230004832546,0.7684346693626029,0.19651327139857724,0.68,0.675,0.695,0.02273440083162813,0.12885933185524112,3.98,0.0007978106058583461
A,brightness_dark,T013-S1,33.69726020864514,870580701932401222082/25835355650340113025,0.9010580738007838,10849094574177142542707/12040394387027914519545,0.41421286134172836,0.02310844166202624,16.151233754434077,0.7684346693626029,0.19651327139857724,0.68,0.675,0.685,0.022412535948232306,0.12886248493832672,3.98,0.0007978106058583461
A,brightness_dark,T013-S2,33.53010866143379,22522819338829979773823/671719246908842938650,0.891381026641532,10736815662764690542398/12045147183823210116145,0.17955534064059622,0.010013225770752216,15.984082207222734,0.7684346693626029,0.19651327139857724,0.68,0.66,0.675,0.02323429595926888,0.12887191101206175,3.98,0.0007978106058583461
A,brightness_dark,T013-S3,33.75649545071011,22674887702432780383039/671719246908842938650,0.9036692950939224,10888884026367491151614/12049633738231375520845,0.42520699094130116,0.023703601780794774,16.210468996499053,0.7684346693626029,0.19651327139857724,0.68,0.675,0.695,0.021643825196068212,0.12889336008923963,3.98,0.0007978106058583461
A,contrast_low,T013-S0,31.249615062826653,3498494649365525705024/111953207818140489775,0.8339188640877399,3793316499250545012188/4548783655829897649377,1.5473323454259373,0.11424734571132039,11.294351075116134,0.9182003322799165,0.23881190748964248,0.59,0.645,0.655,0.025156459413006402,0.11878735037719773,3.87,0.0007674957067424587
A,contrast_low,T013-S1,31.23746173864131,6994268091474645951373/223906415636280979550,0.8342238605846344,7578469376731873648351/9084455306062318509936,1.4739742018343822,0.10898802486908973,11.282197750930793,0.9182003322799165,0.23881190748964248,0.59,0.635,0.645,0.02506281554541304,0.1188539234585841,3.87,0.0007674957067424587
