bank,context,salt,macro_class_p05,macro_class_median,macro_class_p95,capture_p05,capture_median,capture_p95,L1_p05,L1_median,L1_p95,JS_p05,JS_median,JS_p95,dominant_agreement_p05,dominant_agreement_median,dominant_agreement_p95,DU_p05,DU_median,DU_p95,true_template_regret_p05,true_template_regret_median,true_template_regret_p95,canonical_agreement_p05,canonical_agreement_median,canonical_agreement_p95,optimal_set_agreement_p05,optimal_set_agreement_median,optimal_set_agreement_p95
A,clean,T013-S0,38.91629733328194,39.35306193023667,39.83333149958217,0.7798499702538564,0.8511431570861759,0.9295376706890616,0.6008635027623992,0.6660139464241392,0.7193805081228076,0.13845424323334213,0.1566653054227693,0.1716720115448948,0.68,0.75,0.8,0.07642780311543203,0.08421325122553862,0.09359380932185034,0.007906148606299488,0.011582882740211952,0.016989901850227727,0.63,0.685,0.7464999999999999,0.63175,0.6875,0.7464999999999999
A,clean,T013-S1,38.90514890933844,39.35425254849798,39.79202785120268,0.7739408926096918,0.8468628818948132,0.9179454631735264,0.6008635027623992,0.6660139464241392,0.7193805081228076,0.13845424323334213,0.1566653054227693,0.1716720115448948,0.68,0.75,0.8,0.07638660532279601,0.084078137895399,0.09357905257336711,0.008081901669722792,0.011755880786153774,0.017454916329067725,0.63,0.69,0.745,0.64,0.7,0.755
A,clean,T013-S2,38.91960502801487,39.38528614036651,39.77461568049549,0.7761800486278747,0.8517832292421315,0.9149907563677122,0.6008635027623992,0.6660139464241392,0.7193805081228076,0.13845424323334213,0.1566653054227693,0.1716720115448948,0.68,0.75,0.8,0.07641243803412437,0.08416921390155321,0.093646269557239,0.008140752742761596,0.011622614074623241,0.017069554273625026,0.63175,0.69,0.74,0.63675,0.695,0.745
A,clean,T013-S3,38.831244077590746,39.355638100344834,39.79791206927187,0.7511264004726033,0.8350649510983951,0.9058587327213791,0.6008635027623992,0.6660139464241392,0.7193805081228076,0.13845424323334213,0.1566653054227693,0.1716720115448948,0.68,0.75,0.8,0.07650398283918056,0.08419660454216164,0.09372933322456636,0.008096893806339265,0.011821261833472178,0.016974378483230763,0.63175,0.69,0.74825,0.63675,0.695,0.75
A,brightness_dark,T013-S0,33.03212959291086,33.86517957834117,34.565113334636,0.8636048820558639,0.910061116266027,0.9490939319226241,0.6546211613398872,0.7292295326413548,0.7968940980712329,0.15854139239981413,0.1804349228513497,0.20421858297426082,0.6335000000000001,0.71,0.77,0.10818836768409633,0.12168518297276272,0.13867544281099664,0.01185479125520245,0.017909672614082675,0.024290230016555794,0.6617500000000001,0.715,0.76,0.68675,0.74,0.785
A,brightness_dark,T013-S1,33.07030760686233,33.81865495724446,34.48690293707008,0.8660811356723441,0.9078305420843542,0.9451113001167014,0.6546211613398872,0.7292295326413548,0.7968940980712329,0.15854139239981413,0.1804349228513497,0.20421858297426082,0.6335000000000001,0.71,0.77,0.10819299681824938,0.12172348064633383,0.13868368394729946,0.011906453235436177,0.017818647527080678,0.02430074303666611,0.665,0.72,0.77,0.675,0.73,0.78
A,brightness_dark,T013-S2,33.06031561605093,33.8656425285242,34.470854260780726,0.8651821744538722,0.9100926748326867,0.9438433930935418,0.6546211613398872,0.7292295326413548,0.7968940980712329,0.15854139239981413,0.1804349228513497,0.20421858297426082,0.6335000000000001,0.71,0.77,0.10822402197857306,0.12170292371900922,0.13873685496508933,0.012072038448450718,0.01786817950921603,0.02385844872958597,0.665,0.715,0.76325,0.68,0.73,0.77825
A,brightness_dark,T013-S3,33.08973713276909,33.835126616927894,34.51253594085917,0.866500165730552,0.9080526704647263,0.9458155511302541,0.6546211613398872,0.7292295326413548,0.7968940980712329,0.15854139239981413,0.1804349228513497,0.20421858297426082,0.6335000000000001,0.71,0.77,0.10824058130440997,0.12174085671724591,0.13871924840998723,0.011638815715361706,0.017875502498041505,0.0242886029287945,0.6617500000000001,0.715,0.77,0.685,0.74,0.795
A,contrast_low,T013-S0,30.678326052726323,31.547857092040175,32.26220542548274,0.7917377171408997,0.8559395762624238,0.9086835140792557,0.7558757458687483,0.8237281571864172,0.8872214038958823,0.1852826531490486,0.2069378925239738,0.2301744546269828,0.57,0.65,0.72,0.0992743581119358,0.1126205076491851,0.12654397819928698,0.017149671070058718,0.024831225380931944,0.03241424531301457,0.57175,0.63,0.69,0.58175,0.64,0.7
A,contrast_low,T013-S1,30.7014600173936,31.568778393207495,32.25131718781076,0.7945910306120889,0.8587219472828029,0.9091899643130615,0.7558757458687483,0.8237281571864172,0.8872214038958823,0.1852826531490486,0.2069378925239738,0.2301744546269828,0.57,0.65,0.72,0.09940974322845579,0.11267223471963392,0.1266532259315638,0.017396130061113145,0.024594443827552957,0.03159352635241549,0.575,0.63,0.69,0.585,0.64,0.7
