bank,context,salt,macro_class_delta_p05,macro_class_delta_median,macro_class_delta_p95,capture_delta_p05,capture_delta_median,capture_delta_p95,L1_delta_p05,L1_delta_median,L1_delta_p95,JS_delta_p05,JS_delta_median,JS_delta_p95,dominant_agreement_delta_p05,dominant_agreement_delta_median,dominant_agreement_delta_p95,DU_delta_p05,DU_delta_median,DU_delta_p95,true_template_regret_delta_p05,true_template_regret_delta_median,true_template_regret_delta_p95,canonical_agreement_delta_p05,canonical_agreement_delta_median,canonical_agreement_delta_p95,optimal_set_agreement_delta_p05,optimal_set_agreement_delta_median,optimal_set_agreement_delta_p95
A,clean,T013-S0,-0.12667291988435173,0.36085660127569597,0.9003551644124843,-0.020676850200032834,0.05890270702753547,0.1469651830744785,-0.055186541156387,-0.00540371892569802,0.04889961835907482,-0.01477470711091144,0.0020372703046945273,0.02206452311250188,-0.04999999999999993,0.019999999999999962,0.07649999999999992,-0.009591052975951742,-0.0015393977059004263,0.009277112975882225,-0.00952610895599614,-0.0038146291442893434,0.00029357580056063506,-0.05500000000000005,-0.0050000000000000044,0.05499999999999994,-0.05500000000000001,-0.0050000000000000044,0.05499999999999994
A,clean,T013-S1,-0.12936810708354507,0.35252269219805044,1.0091789470072536,-0.021005796649160025,0.05723991912275922,0.1638627032685697,-0.055186541156387,-0.00540371892569802,0.04889961835907482,-0.01477470711091144,0.0020372703046945273,0.02206452311250188,-0.04999999999999993,0.019999999999999962,0.07649999999999992,-0.0096087530748482,-0.001570694674385871,0.009236123642550317,-0.009369606849609803,-0.0038903174967726967,0.000241609424994381,-0.06324999999999999,0.0,0.058249999999999934,-0.058249999999999975,0.0024999999999999467,0.0632499999999999
A,clean,T013-S2,-0.13738905513088964,0.3602755763445309,0.9327468953297906,-0.02230506944339973,0.05849062533743882,0.15143116206473153,-0.055186541156387,-0.00540371892569802,0.04889961835907482,-0.01477470711091144,0.0020372703046945273,0.02206452311250188,-0.04999999999999993,0.019999999999999962,0.07649999999999992,-0.009578424552932412,-0.0015137903817686663,0.00931060499636247,-0.009470604121945274,-0.003636896187071365,0.0005942163765541552,-0.05499999999999994,0.0,0.058249999999999934,-0.05499999999999994,0.0,0.058249999999999934
A,clean,T013-S3,-0.14606057884167462,0.3235950980461446,0.9546912472178454,-0.02337958245051031,0.0517971264755277,0.15281524218321288,-0.055186541156387,-0.00540371892569802,0.04889961835907482,-0.01477470711091144,0.0020372703046945273,0.02206452311250188,-0.04999999999999993,0.019999999999999962,0.07649999999999992,-0.009734221552094007,-0.0015724100318024042,0.009307281432743397,-0.009853083527700476,-0.0036322919500859927,0.0006902553507849668,-0.05324999999999997,0.0,0.06000000000000001,-0.05,0.0,0.06324999999999995
A,brightness_dark,T013-S0,-0.1773122730359443,0.7826015368911818,1.9279256610801403,-0.00988807469967048,0.04364290369955459,0.1075135557497894,-0.0906170216430757,-0.012031205159118541,0.04908971053195138,-0.02232583233178209,0.0005883411182379394,0.02373649027898434,-0.06649999999999998,0.020000000000000018,0.1064999999999999,-0.011095988478662354,0.005570273820156804,0.025719727169140776,-0.01483283172038845,-0.006081943688461436,0.003390379567092996,-0.03500000000000003,0.030000000000000027,0.08499999999999996,-0.023249999999999944,0.039999999999999925,0.08999999999999997
A,brightness_dark,T013-S1,-0.32152819907706626,0.7589569863000634,1.9970917976895193,-0.017937674863598634,0.042341305349842984,0.11141537023048999,-0.0906170216430757,-0.012031205159118541,0.04908971053195138,-0.02232583233178209,0.0005883411182379394,0.02373649027898434,-0.06649999999999998,0.020000000000000018,0.1064999999999999,-0.011123736983377847,0.005554189196531091,0.025718789975824666,-0.014557419623682849,-0.005367208538287959,0.0034231511689067854,-0.038250000000000034,0.025000000000000022,0.08824999999999993,-0.036500000000000025,0.029999999999999916,0.08824999999999993
A,brightness_dark,T013-S2,-0.2904564660290774,0.749606705313095,1.9595639674762861,-0.01619782603261873,0.04180316304037973,0.10927860095148124,-0.0906170216430757,-0.012031205159118541,0.04908971053195138,-0.02232583233178209,0.0005883411182379394,0.02373649027898434,-0.06649999999999998,0.020000000000000018,0.1064999999999999,-0.011075614921635363,0.00559349685545104,0.0257199270425409,-0.015059676977658342,-0.0056528557157715115,0.002977399068777841,-0.038250000000000034,0.01749999999999996,0.07500000000000007,-0.03499999999999999,0.020000000000000018,0.07999999999999996
A,brightness_dark,T013-S3,-0.17803819374511173,0.7828937993631726,1.9611536817468433,-0.009924922534702087,0.043643221424174206,0.1093265324734137,-0.0906170216430757,-0.012031205159118541,0.04908971053195138,-0.02232583233178209,0.0005883411182379394,0.02373649027898434,-0.06649999999999998,0.020000000000000018,0.1064999999999999,-0.011057697332013866,0.0056050942145233346,0.02578096697598748,-0.015104900696480437,-0.005863287251719226,0.0030444145488401093,-0.038250000000000034,0.020000000000000018,0.08324999999999996,-0.02824999999999995,0.029999999999999916,0.08824999999999997
A,contrast_low,T013-S0,-0.4436870533788002,0.8689853982687961,2.190626193247885,-0.03275965136051704,0.06416157169310366,0.16174497273588084,-0.03294202359217779,0.040681001862350796,0.10813828809608701,-0.010296875861604767,0.01800998525187522,0.04069805933790093,-0.0965,-0.010000000000000009,0.07000000000000002,-0.009797474956196678,0.006471283840973299,0.022583097116359203,-0.02190191505980143,-0.010083947917827794,0.0038611409135594207,-0.048249999999999967,0.012500000000000011,0.10499999999999998,-0.04500000000000004,0.015000000000000013,0.10499999999999998
A,contrast_low,T013-S1,-0.4581906250707236,0.9404115512594196,2.258804732561434,-0.0338793522829939,0.06953554370781106,0.16701965750855438,-0.03294202359217779,0.040681001862350796,0.10813828809608701,-0.010296875861604767,0.01800998525187522,0.04069805933790093,-0.0965,-0.010000000000000009,0.07000000000000002,-0.009870333945801918,0.0065109996819452814,0.022611910649005765,-0.022454246190445375,-0.010595669669728365,0.0033258865819945547,-0.05499999999999994,0.012500000000000011,0.09325000000000004,-0.050000000000000044,0.015000000000000013,0.09824999999999993
