client,bank,context,max_error,iterations,updates,trace,converged,cap_hit,direct_KKT,sum_error,objective,initial_objective,active_classes,clipped_coordinates,L1_change,differs_from_BBSE
0,A,clean,3.3306690738754696e-16,0,0,"[{'active': [1, 6, 7], 'minimum': 0.050000000000000315, 'action': 'accept'}]",True,False,3.4530779651548637e-17,0.0,9.390413111656827e-33,2.192099481232628e-32,3,0,1.2628786905111156e-15,False
0,A,brightness_dark,3.3306690738754696e-16,0,0,"[{'active': [1, 6, 7], 'minimum': 0.04999999999999969, 'action': 'accept'}]",True,False,2.026305050069782e-17,0.0,4.744107120822621e-33,6.177570759898964e-32,3,0,4.304889777984045e-15,False
0,A,contrast_low,6.661338147750939e-16,0,0,"[{'active': [1, 6, 7], 'minimum': 0.04999999999999939, 'action': 'accept'}]",True,False,2.023997657100024e-17,0.0,8.668189382511614e-33,3.962751323853643e-32,3,0,2.040034807748725e-15,False
0,A,gaussian_noise,3.3306690738754696e-16,0,0,"[{'active': [1, 6, 7], 'minimum': 0.050000000000000315, 'action': 'accept'}]",True,False,2.1665566512702613e-17,0.0,4.8689916406539806e-33,1.2813452661251329e-32,3,0,2.077504834829824e-15,False
0,A,gaussian_blur,3.3306690738754696e-16,0,0,"[{'active': [1, 6, 7], 'minimum': 0.049999999999999864, 'action': 'accept'}]",True,False,2.1921878425172102e-17,0.0,4.9652881378733424e-33,9.771837518611643e-32,3,0,1.979567303728962e-15,False
0,B,clean,3.3306690738754696e-16,0,0,"[{'active': [1, 6, 7], 'minimum': 0.050000000000000315, 'action': 'accept'}]",True,False,3.4530779651548637e-17,0.0,9.390413111656827e-33,2.192099481232628e-32,3,0,1.2628786905111156e-15,False
0,B,brightness_dark,2.220446049250313e-16,0,0,"[{'active': [1, 6, 7], 'minimum': 0.04999999999999981, 'action': 'accept'}]",True,False,1.8789771585041007e-17,0.0,2.6963019221421302e-33,1.0148748027259301e-32,3,0,1.2490009027033011e-15,False
0,B,contrast_low,5.551115123125783e-16,0,0,"[{'active': [1, 6, 7], 'minimum': 0.049999999999999475, 'action': 'accept'}]",True,False,2.3700572588054325e-17,0.0,7.53520090741506e-33,7.575073675794952e-32,3,0,4.698622443502895e-15,False
0,B,gaussian_noise,5.551115123125783e-17,0,0,"[{'active': [1, 6, 7], 'minimum': 0.05000000000000006, 'action': 'accept'}]",True,False,7.207732475515422e-18,0.0,9.68983503269828e-34,1.4853734696086557e-32,3,0,1.0894063429134349e-15,False
0,B,gaussian_blur,5.551115123125783e-16,0,0,"[{'active': [1, 6, 7], 'minimum': 0.050000000000000405, 'action': 'accept'}]",True,False,2.6233527634554466e-17,0.0,1.1483357293408894e-32,5.592419076014436e-32,3,0,2.3869795029440866e-15,False
1,A,clean,1.3877787807814457e-16,0,0,"[{'active': [1, 7], 'minimum': 0.15000000000000013, 'action': 'accept'}]",True,False,2.8325257576861134e-17,0.0,3.0393581934861066e-33,5.711585991323396e-33,2,0,1.2166193978184008e-15,False
1,A,brightness_dark,2.7755575615628914e-17,0,0,"[{'active': [1, 7], 'minimum': 0.15000000000000002, 'action': 'accept'}]",True,False,0.0,0.0,0.0,1.9413373839423337e-31,2,0,4.298644773470528e-15,False
1,A,contrast_low,2.7755575615628914e-17,0,0,"[{'active': [1, 7], 'minimum': 0.15000000000000002, 'action': 'accept'}]",True,False,6.378162792594687e-18,0.0,3.866906216464997e-34,9.514093925272945e-32,2,0,2.9698465908722937e-15,False
1,A,gaussian_noise,1.3877787807814457e-16,0,0,"[{'active': [1, 7], 'minimum': 0.15000000000000013, 'action': 'accept'}]",True,False,1.6857724536242018e-17,0.0,2.744450170751811e-33,4.453712996395483e-33,2,0,8.928043489693968e-16,False
