bank,context,salt,eligible_clients,zero_gap_clients,fraction_best_class_recovers_half,best_class_histogram
A,clean,T013-S0,43,57,0.6976744186046512,"{""0"": 5, ""1"": 8, ""2"": 4, ""3"": 6, ""4"": 5, ""5"": 3, ""6"": 1, ""7"": 3, ""8"": 2, ""9"": 6}"
A,clean,T013-S1,41,59,0.7073170731707317,"{""0"": 4, ""1"": 8, ""2"": 5, ""3"": 4, ""4"": 5, ""5"": 4, ""6"": 1, ""7"": 3, ""8"": 1, ""9"": 6}"
A,clean,T013-S2,45,55,0.7555555555555555,"{""0"": 4, ""1"": 10, ""2"": 5, ""3"": 4, ""4"": 6, ""5"": 4, ""6"": 1, ""7"": 3, ""8"": 2, ""9"": 6}"
A,clean,T013-S3,43,57,0.7674418604651163,"{""0"": 6, ""1"": 8, ""2"": 4, ""3"": 5, ""4"": 5, ""5"": 4, ""6"": 1, ""7"": 3, ""8"": 1, ""9"": 6}"
A,brightness_dark,T013-S0,34,66,0.7647058823529411,"{""0"": 3, ""1"": 4, ""2"": 6, ""3"": 7, ""4"": 4, ""5"": 4, ""6"": 1, ""7"": 1, ""8"": 0, ""9"": 4}"
A,brightness_dark,T013-S1,34,66,0.7647058823529411,"{""0"": 2, ""1"": 5, ""2"": 6, ""3"": 7, ""4"": 4, ""5"": 4, ""6"": 1, ""7"": 1, ""8"": 0, ""9"": 4}"
A,brightness_dark,T013-S2,36,64,0.7777777777777778,"{""0"": 2, ""1"": 5, ""2"": 8, ""3"": 7, ""4"": 4, ""5"": 4, ""6"": 1, ""7"": 1, ""8"": 0, ""9"": 4}"
A,brightness_dark,T013-S3,34,66,0.7941176470588235,"{""0"": 3, ""1"": 4, ""2"": 6, ""3"": 7, ""4"": 4, ""5"": 3, ""6"": 2, ""7"": 1, ""8"": 0, ""9"": 4}"
A,contrast_low,T013-S0,40,60,0.65,"{""0"": 9, ""1"": 2, ""2"": 4, ""3"": 9, ""4"": 8, ""5"": 1, ""6"": 2, ""7"": 5, ""8"": 0, ""9"": 0}"
A,contrast_low,T013-S1,40,60,0.675,"{""0"": 9, ""1"": 2, ""2"": 4, ""3"": 10, ""4"": 8, ""5"": 1, ""6"": 1, ""7"": 5, ""8"": 0, ""9"": 0}"
A,contrast_low,T013-S2,42,58,0.7142857142857143,"{""0"": 9, ""1"": 2, ""2"": 5, ""3"": 8, ""4"": 7, ""5"": 3, ""6"": 2, ""7"": 5, ""8"": 0, ""9"": 1}"
A,contrast_low,T013-S3,39,61,0.717948717948718,"{""0"": 9, ""1"": 2, ""2"": 4, ""3"": 8, ""4"": 8, ""5"": 1, ""6"": 2, ""7"": 5, ""8"": 0, ""9"": 0}"
A,gaussian_noise,T013-S0,37,63,0.7567567567567568,"{""0"": 4, ""1"": 6, ""2"": 3, ""3"": 7, ""4"": 4, ""5"": 4, ""6"": 1, ""7"": 3, ""8"": 0, ""9"": 5}"
A,gaussian_noise,T013-S1,35,65,0.8571428571428571,"{""0"": 2, ""1"": 6, ""2"": 3, ""3"": 7, ""4"": 4, ""5"": 4, ""6"": 1, ""7"": 3, ""8"": 0, ""9"": 5}"
A,gaussian_noise,T013-S2,38,62,0.7368421052631579,"{""0"": 3, ""1"": 8, ""2"": 3, ""3"": 8, ""4"": 4, ""5"": 4, ""6"": 1, ""7"": 2, ""8"": 0, ""9"": 5}"
A,gaussian_noise,T013-S3,33,67,0.8787878787878788,"{""0"": 2, ""1"": 6, ""2"": 3, ""3"": 6, ""4"": 4, ""5"": 4, ""6"": 1, ""7"": 2, ""8"": 0, ""9"": 5}"
A,gaussian_blur,T013-S0,50,50,0.62,"{""0"": 9, ""1"": 4, ""2"": 7, ""3"": 8, ""4"": 6, ""5"": 4, ""6"": 1, ""7"": 4, ""8"": 2, ""9"": 5}"
A,gaussian_blur,T013-S1,49,51,0.5918367346938775,"{""0"": 10, ""1"": 3, ""2"": 7, ""3"": 8, ""4"": 5, ""5"": 3, ""6"": 2, ""7"": 4, ""8"": 2, ""9"": 5}"
A,gaussian_blur,T013-S2,50,50,0.64,"{""0"": 9, ""1"": 4, ""2"": 7, ""3"": 9, ""4"": 6, ""5"": 4, ""6"": 1, ""7"": 3, ""8"": 2, ""9"": 5}"
A,gaussian_blur,T013-S3,47,53,0.6170212765957447,"{""0"": 9, ""1"": 4, ""2"": 6, ""3"": 9, ""4"": 7, ""5"": 3, ""6"": 1, ""7"": 3, ""8"": 0, ""9"": 5}"
