bank,context,residual_L1_actual_median,residual_L1_null_median_median,residual_L1_exceedance_fraction,residual_L2_actual_median,residual_L2_null_median_median,residual_L2_exceedance_fraction,weighted_class_L1_actual_median,weighted_class_L1_null_median_median,weighted_class_L1_exceedance_fraction,prevalence_L1_actual_median,prevalence_L1_null_median_median,prevalence_L1_exceedance_fraction,prevalence_JS_actual_median,prevalence_JS_null_median_median,prevalence_JS_exceedance_fraction,dominant_agreement_actual_median,dominant_agreement_null_median_median,dominant_agreement_exceedance_fraction
A,clean,0.15487259957722382,0.14961922796649707,0.08,0.07005693777175968,0.06575951238994157,0.06,0.2294668849911509,0.21853102838931596,0.07,0.6478041898405995,0.5380628385938862,0.09,0.13517706737807367,0.11465992881865736,0.1,1.0,1.0,0.0
A,brightness_dark,0.15526044286879775,0.14026613623359524,0.05,0.06459536647005934,0.061369737809072636,0.06,0.22400566613987946,0.20793916942199678,0.08,0.720243857946579,0.6457338759798894,0.07,0.15178973269846585,0.13769653277970062,0.1,1.0,1.0,0.0
A,contrast_low,0.15723620324572513,0.14139564035624308,0.07,0.07165284199564365,0.06315843909201024,0.08,0.22325718063291566,0.21080057406453062,0.07,0.8918182971257453,0.7542770303629536,0.06,0.20996093945486996,0.16466104482235785,0.08,1.0,1.0,0.0
A,gaussian_noise,0.15063860439552615,0.14853906557422528,0.11,0.06678334409711653,0.06510472979845683,0.06,0.22629888879858742,0.21603120088491742,0.06,0.7018104435098802,0.5804128684442879,0.06,0.13666576154196208,0.11436833185504414,0.09,1.0,1.0,0.0
A,gaussian_blur,0.15906283993747106,0.1512907508406633,0.12,0.07054311030633513,0.06592053026240403,0.09,0.23250087764972283,0.2211625293660575,0.1,0.6806270184703842,0.54928333255216,0.1,0.14444179792300466,0.11568717504252532,0.09,1.0,1.0,0.0
B,clean,0.15487259957722382,0.1487073273893618,0.12,0.07005693777175968,0.06485703277622532,0.07,0.2294668849911509,0.21700657038704269,0.09,0.6478041898405995,0.568589001884277,0.08,0.13517706737807367,0.10929345010761671,0.07,1.0,1.0,0.0
B,brightness_dark,0.1577415017794246,0.14130921740092078,0.09,0.06538263465093372,0.06191361157786805,0.08,0.22558375345036927,0.2111976148146174,0.08,0.7196879305605131,0.631342468861902,0.09,0.15288161757972735,0.13671089383195298,0.11,1.0,1.0,0.0
B,contrast_low,0.15749408552339322,0.14006363893406582,0.07,0.07117189526114442,0.06295590291454392,0.08,0.2261659614042799,0.2154174162776533,0.07,0.9051355837782145,0.7486551370023999,0.04,0.20752089673863,0.16491206547041679,0.04,1.0,1.0,0.0
B,gaussian_noise,0.14764195593703777,0.14748181524564588,0.09,0.06611100359942271,0.06404477872325612,0.06,0.2228536307979643,0.21581893654649353,0.06,0.6938393865738097,0.5916429901464367,0.08,0.13550704942232072,0.11815424014903006,0.09,1.0,1.0,0.0
B,gaussian_blur,0.159866956195913,0.15003360610074712,0.1,0.07144605406081096,0.0657421150987647,0.08,0.23460576195460678,0.22091240891788638,0.1,0.6776954712448692,0.5674157480624882,0.1,0.14247991023939716,0.11359715428637718,0.09,1.0,1.0,0.0
