client,bank,context,label,count,mu_real,mu_cross,d,d_L1,d_L2,weighted_contribution,residual,residual_L1,residual_L2
0,A,clean,1,2,"[0.01683571446099861, 0.6166360783034323, 0.015502735869335116, 0.03246632986861392, 0.0078415206585239, 0.014141063766115906, 0.1344751958417577, 0.01603448333113921, 0.10982128143219375, 0.03624559646788955]","[0.044054910777312675, 0.5453476321642894, 0.03423366952326512, 0.021555414131642178, 0.007621621767992091, 0.010400335103013253, 0.06576533389952816, 0.007862171752013855, 0.23143615932635445, 0.031722751554588965]","[-0.027219196316314066, 0.07128844613914287, -0.018730933653930006, 0.01091091573697174, 0.0002198988905318085, 0.003740728663102653, 0.06870986194222956, 0.008172311579125353, -0.1216148778941607, 0.004522844913300586]",0.3351300157288093,0.16095133121924682,"[-0.0027219196316314066, 0.007128844613914287, -0.0018730933653930007, 0.0010910915736971742, 2.1989889053180853e-05, 0.0003740728663102653, 0.006870986194222956, 0.0008172311579125353, -0.012161487789416071, 0.0004522844913300586]","[-0.013173889855043554, 0.01580458702039228, -0.024981497684255644, 0.008963441819291637, -0.0042547634585014885, -0.019645913944674354, 0.06008793058432235, -0.03484278909119555, 0.0020427710211483596, 0.010000123588515824]",0.19379770806734103,0.08037769930891235
0,A,clean,6,1,"[0.012421249581517711, 0.034362391528150765, 0.17954212818132245, 0.31355262919920257, 0.021020454047664575, 0.18782614335855716, 0.13612433746651056, 0.09696828950169399, 0.012092811060857371, 0.006089566074522799]","[0.019348508863952577, 0.06474134034397978, 0.13448288573882172, 0.08952786383260855, 0.05311247666305442, 0.04904032521021361, 0.5114596595861339, 0.021178148104270548, 0.04824460041424839, 0.008864191242716452]","[-0.006927259282434865, -0.03037894881582902, 0.04505924244250073, 0.22402476536659402, -0.03209202261538985, 0.13878581814834354, -0.3753353221196234, 0.07579014139742345, -0.03615178935339102, -0.0027746251681936528]",0.9673199347097234,0.47054765911221047,"[-0.0003463629641217433, -0.001518947440791451, 0.0022529621221250365, 0.011201238268329701, -0.0016046011307694924, 0.006939290907417177, -0.018766766105981172, 0.0037895070698711723, -0.0018075894676695512, -0.00013873125840968263]","[-0.013173889855043554, 0.01580458702039228, -0.024981497684255644, 0.008963441819291637, -0.0042547634585014885, -0.019645913944674354, 0.06008793058432235, -0.03484278909119555, 0.0020427710211483596, 0.010000123588515824]",0.19379770806734103,0.08037769930891235
0,A,clean,7,17,"[0.03088947084177965, 0.11003460574251327, 0.17030224024067944, 0.11081504732349916, 0.0570591930260488, 0.062350489681102385, 0.2582988916744864, 0.08588132005141967, 0.09155058563246746, 0.022818155786003737]","[0.042778420558591886, 0.09804085298101976, 0.20013914193595905, 0.11473138617377593, 0.060202901516384306, 0.0940672869968692, 0.17361217344380336, 0.13229252866198352, 0.07271311706983923, 0.0114221906617738]","[-0.011888949716812234, 0.011993752761493504, -0.02983690169527961, -0.003916338850276771, -0.0031437084903355034, -0.03171679731576681, 0.08468671823068302, -0.046411208610563845, 0.018837468562628232, 0.011395965124229938]",0.2538278093580695,0.10962286509125446,"[-0.010105607259290399, 0.010194689847269478, -0.02536136644098767, -0.0033288880227352554, -0.0026721522167851776, -0.02695927771840179, 0.07198371049608057, -0.039449527318979265, 0.016011848278233997, 0.009686570355595447]","[-0.013173889855043554, 0.01580458702039228, -0.024981497684255644, 0.008963441819291637, -0.0042547634585014885, -0.019645913944674354, 0.06008793058432235, -0.03484278909119555, 0.0020427710211483596, 0.010000123588515824]",0.19379770806734103,0.08037769930891235
0,A,brightness_dark,1,2,"[0.03289165244845031, 0.5686757631992561, 0.02059583032480287, 0.05387012269502746, 0.007772063279407365, 0.026194557825342756, 0.10324816307604125, 0.023015220456209694, 0.13590235195070452, 0.02783427474475786]","[0.05061310215777852, 0.5531018965416948, 0.0392177961250749, 0.025739438963740903, 0.007350629709973749, 0.012338666334810431, 0.06518179063558246, 0.007227221298641411, 0.21684093870765692, 0.02238851952504591]","[-0.017721449709328208, 0.01557386665756122, -0.01862196580027203, 0.028130683731286556, 0.0004214335694336163, 0.013855891490532325, 0.03806637244045878, 0.015787999157568282, -0.0809385867569524, 0.00544575521971195]",0.23456400453310536,0.10082604881416109,"[-0.001772144970932821, 0.0015573866657561221, -0.0018621965800272031, 0.0028130683731286557, 4.2143356943361634e-05, 0.0013855891490532327, 0.0038066372440458784, 0.0015787999157568283, -0.00809385867569524, 0.000544575521971195]","[-0.011451447589380423, -0.002655771557479508, -0.026073431348820036, 0.021891091920795705, -0.008157121994744887, -0.0004111991969004414, 0.035494713440416076, -0.015393407967417866, 0.0021108119405725406, 0.004645762352958806]",0.1282847593094863,0.05372904756477761
0,A,brightness_dark,6,1,"[0.013070826240331035, 0.025675067407769227, 0.16524916851738153, 0.33228102373906887, 0.019319939171674894, 0.23091100235768866, 0.08144452395504695, 0.11633698623461773, 0.011282611590556633, 0.004428850785864447]","[0.02120512657134391, 0.05428970768396909, 0.15306240796782697, 0.1140351510494682, 0.049635621538427585, 0.06304912181320953, 0.46272263439951283, 0.02507750503894871, 0.050552800610239396, 0.006369923327053792]","[-0.008134300331012876, -0.028614640276199862, 0.01218676054955456, 0.21824587268960066, -0.03031568236675269, 0.16786188054447915, -0.3812781104444659, 0.09125948119566903, -0.039270189019682766, -0.0019410725411893445]",0.9791079899586069,0.4827096435917731,"[-0.0004067150165506438, -0.0014307320138099932, 0.0006093380274777281, 0.010912293634480034, -0.0015157841183376347, 0.008393094027223958, -0.0190639055222233, 0.004562974059783452, -0.0019635094509841385, -9.705362705946722e-05]","[-0.011451447589380423, -0.002655771557479508, -0.026073431348820036, 0.021891091920795705, -0.008157121994744887, -0.0004111991969004414, 0.035494713440416076, -0.015393407967417866, 0.0021108119405725406, 0.004645762352958806]",0.1282847593094863,0.05372904756477761
0,A,brightness_dark,7,17,"[0.03273982367568221, 0.10087410634877657, 0.17322181144390322, 0.12797397597993562, 0.053087511093141165, 0.0868260017674725, 0.2270126953646313, 0.10207220825947673, 0.08286615087350796, 0.013325715193472755]","[0.04364875026614922, 0.10414754894810085, 0.20242248532186857, 0.11836723490559795, 0.060950430191200715, 0.09881409867709323, 0.16730448157805072, 0.12740771642766277, 0.06855064491203512, 0.008386608772240903]","[-0.010908926590467008, -0.003273442599324286, -0.02920067387796535, 0.009606741074337677, -0.00786291909805955, -0.01198809690962073, 0.05970821378658059, -0.02533550816818604, 0.014315505961472838, 0.004939106421231852]",0.17713913448724594,0.07560764610777447,"[-0.009272587601896956, -0.0027824262094256432, -0.024820572796270545, 0.008165729913187024, -0.006683481233350617, -0.01018988237317762, 0.0507519817185935, -0.021535181942958136, 0.012168180067251911, 0.004198240458047074]","[-0.011451447589380423, -0.002655771557479508, -0.026073431348820036, 0.021891091920795705, -0.008157121994744887, -0.0004111991969004414, 0.035494713440416076, -0.015393407967417866, 0.0021108119405725406, 0.004645762352958806]",0.1282847593094863,0.05372904756477761
0,A,contrast_low,1,2,"[0.03750170999120743, 0.5387383039252284, 0.019926427759348584, 0.04170309526493912, 0.00534847434582883, 0.016931291376875476, 0.1086818111609409, 0.016549992012014948, 0.18667348517429416, 0.027945408989321997]","[0.061750005863953183, 0.47248907002485707, 0.053807659328677884, 0.036516835627604174, 0.01080817537890435, 0.018018571946265508, 0.07869909796883906, 0.009149979075803259, 0.23595513131210719, 0.0228054734729882]","[-0.024248295872745754, 0.0662492339003713, -0.033881231569329304, 0.005186259637334947, -0.005459701033075521, -0.0010872805693900311, 0.029982713192101842, 0.007400012936211689, -0.04928164613781302, 0.005139935516333797]",0.2279163103647072,0.09793665997054656,"[-0.0024248295872745756, 0.00662492339003713, -0.0033881231569329305, 0.0005186259637334948, -0.0005459701033075521, -0.00010872805693900312, 0.0029982713192101846, 0.0007400012936211689, -0.004928164613781302, 0.0005139935516333797]","[-0.009506775901823389, 0.03645359087246958, -0.04777064170077175, -0.0038296660494618606, -0.012477240888868028, -0.013780384808308663, 0.04536607718412039, -0.011817408431168137, 0.010610696998568592, 0.006751752725243245]",0.19836423556080363,0.08010885923869832
0,A,contrast_low,6,1,"[0.015386724571282318, 0.08351865452476495, 0.13326158269755556, 0.273320707170517, 0.024869293804336414, 0.1671104337417843, 0.17584232245991238, 0.09222443732838842, 0.02274728150138555, 0.011718562200073062]","[0.01715883394669312, 0.08858939954966877, 0.15210260813929416, 0.11044658082043775, 0.04814892677715144, 0.05770119427544436, 0.45827338330183087, 0.02143774583711973, 0.03945876077690042, 0.006682566575459542]","[-0.001772109375410804, -0.005070745024903817, -0.0188410254417386, 0.16287412635007925, -0.023279632972815028, 0.10940923946633994, -0.2824310608419185, 0.07078669149126869, -0.016711479275514873, 0.00503599562461352]",0.696212105864603,0.3528552616934801,"[-8.86054687705402e-05, -0.00025353725124519085, -0.0009420512720869301, 0.008143706317503963, -0.0011639816486407515, 0.0054704619733169976, -0.014121553042095926, 0.003539334574563435, -0.0008355739637757437, 0.00025179978123067605]","[-0.009506775901823389, 0.03645359087246958, -0.04777064170077175, -0.0038296660494618606, -0.012477240888868028, -0.013780384808308663, 0.04536607718412039, -0.011817408431168137, 0.010610696998568592, 0.006751752725243245]",0.19836423556080363,0.08010885923869832
0,A,contrast_low,7,17,"[0.029838594588281583, 0.1394765902309969, 0.1473184347521939, 0.10929152683868652, 0.047257793477095626, 0.0705806897076562, 0.3012276090616057, 0.053470665518923655, 0.08574805351006441, 0.015790042314495604]","[0.038066054406844255, 0.10408576113255259, 0.1984248668366079, 0.12398799546303868, 0.05992519246170706, 0.09310082938375813, 0.23476953975924547, 0.07240801175345629, 0.06648401165579897, 0.008747737146990679]","[-0.008227459818562672, 0.03539082909844431, -0.05110643208441401, -0.014696468624352158, -0.01266739898461143, -0.022520139676101933, 0.0664580693023602, -0.018937346234532637, 0.019264041854265446, 0.007042305167504925]",0.25631049084514973,0.10005833591596582,"[-0.006993340845778271, 0.03008220473367766, -0.04344046727175191, -0.012491998330699333, -0.010767289136919716, -0.019142118724686644, 0.05648935890700617, -0.01609674429935274, 0.01637443557612563, 0.005985959392379186]","[-0.009506775901823389, 0.03645359087246958, -0.04777064170077175, -0.0038296660494618606, -0.012477240888868028, -0.013780384808308663, 0.04536607718412039, -0.011817408431168137, 0.010610696998568592, 0.006751752725243245]",0.19836423556080363,0.08010885923869832
0,A,gaussian_noise,1,2,"[0.02963794662594326, 0.4522551447914319, 0.027717834967593707, 0.043010185925231335, 0.012205050811237239, 0.017564683294930196, 0.21315908584842977, 0.014844045547219426, 0.15211251563397696, 0.0374935065540062]","[0.046535489582257505, 0.5101503896722658, 0.039746499125025314, 0.024567917573474627, 0.009369080781629211, 0.01166969597564266, 0.07313340090327053, 0.008988912500000727, 0.24052080449068386, 0.03531780939574986]","[-0.016897542956314245, -0.05789524488083386, -0.012028664157431607, 0.01844226835175671, 0.002835970029608028, 0.0058949873192875365, 0.14002568494515924, 0.0058551330472187, -0.0884082888567069, 0.002175697158256336]",0.3504594817025732,0.1778404346224533,"[-0.0016897542956314246, -0.005789524488083387, -0.0012028664157431607, 0.0018442268351756708, 0.0002835970029608028, 0.0005894987319287536, 0.014002568494515925, 0.00058551330472187, -0.00884082888567069, 0.0002175697158256336]","[-0.012315504616994197, 0.017601849456279323, -0.03246310838379676, 0.0007187981219971967, -0.006401294413146318, -0.022336546333874836, 0.0588988158336238, -0.029673404830752315, 0.013824667806047061, 0.012145727360616941]",0.20637971715712874,0.08212177726485835
