bank,context,salt,DU_actual_median,DU_actual_p90,DU_actual_mean,DU_null_median_mean,DU_exceedance_fraction,regret_actual_median,regret_actual_p90,regret_actual_mean,regret_null_median_mean,regret_exceedance_fraction,task_exceedance_fraction,actual_optimal_agreement,null_optimal_agreement,actual_canonical_agreement,null_canonical_agreement
A,clean,T013-S0,0.06334828101083381,0.17828180922049072,0.08390957723381894,0.07295475279128819,0.05,0.0,0.04702615080671214,0.01410265346913888,0.004505037167408088,0.02,0.07,0.65,0.6935546875,0.65,0.69265625
A,clean,T013-S1,0.06331549640627683,0.17834768534429965,0.08388933680204916,0.07292259507707342,0.05,0.0,0.06101028898046248,0.015283455208744315,0.004356700910853869,0.02,0.07,0.66,0.7035546875,0.65,0.6948046875
A,clean,T013-S2,0.06331108473778789,0.17828402028551352,0.08386567198874358,0.07298981776555634,0.05,0.0,0.0609258629615014,0.015446250276702178,0.004214902551861209,0.02,0.07,0.63,0.6975390625,0.625,0.6933984375
A,clean,T013-S3,0.06327993558298978,0.1783325927527904,0.08421907952299403,0.07313695149745303,0.05,0.0,0.04710589831334664,0.01525980667712776,0.004034720887641066,0.02,0.07,0.65,0.6990625,0.645,0.6948828125
A,brightness_dark,T013-S0,0.0867799350582646,0.2955213047406055,0.12885933185524118,0.10537801791496004,0.08,0.0,0.08092787734610679,0.02273440083162813,0.009809199166457765,0.03,0.08,0.695,0.7426953125,0.675,0.7183984375
A,brightness_dark,T013-S1,0.08677171461693893,0.2954770918330684,0.12886248493832672,0.10544046826373822,0.08,0.0,0.08069375527214055,0.022412535948232306,0.009857697363944819,0.03,0.08,0.685,0.7319921875,0.675,0.7219921875
A,brightness_dark,T013-S2,0.08667511940446049,0.29535378967875475,0.12887191101206172,0.10540720520143668,0.08,0.0,0.08094459820802753,0.02323429595926889,0.009780340376100781,0.03,0.08,0.675,0.7341015625,0.66,0.719296875
A,brightness_dark,T013-S3,0.08674910694252932,0.29548597940935906,0.12889336008923963,0.10544655531341811,0.08,0.0,0.08085002902392056,0.021643825196068223,0.010108601157555241,0.03,0.08,0.695,0.742578125,0.675,0.7184765625
A,contrast_low,T013-S0,0.08549790837349856,0.22718935564846074,0.11878735037719773,0.0952363338033557,0.01,0.0,0.08551116099967067,0.025156459413006406,0.01257807668261533,0.01,0.02,0.655,0.6405859375,0.645,0.6305859375
A,contrast_low,T013-S1,0.08548661093042129,0.22718400972931915,0.11885392345858409,0.09531498469805706,0.01,0.0,0.08571420043477629,0.025062815545413043,0.01293275933151163,0.01,0.02,0.645,0.6376953125,0.635,0.6276953125
A,contrast_low,T013-S2,0.08546796433236314,0.22725622493913766,0.11888880534196593,0.09528511025949542,0.01,0.0,0.08572558111321228,0.025978350991980696,0.013039409286950496,0.01,0.02,0.65,0.6410546875,0.64,0.628671875
A,contrast_low,T013-S3,0.08544717138041796,0.2272555912769225,0.11880575997324126,0.09524164011552216,0.01,0.0,0.0856481195290849,0.025299277978226165,0.012484801477442803,0.01,0.02,0.64,0.6371484375,0.63,0.6271484375
A,gaussian_noise,T013-S0,0.08494526539198329,0.1833783975921761,0.09777299586882751,0.0813776959029145,0.07,0.0,0.04641469618190129,0.013178013494602934,0.0032916542145734733,0.02,0.09,0.685,0.70953125,0.685,0.7013671875
A,gaussian_noise,T013-S1,0.08481467294243421,0.18346675227804196,0.0976835417173722,0.08132474012132725,0.07,0.0,0.04637885816250742,0.013077970197830791,0.0034195635745261866,0.01,0.08,0.68,0.708671875,0.68,0.70046875
A,gaussian_noise,T013-S2,0.08493879122077774,0.18352924506433554,0.09768230491202289,0.0813108955524479,0.07,0.0,0.04638118009747622,0.013230630373728881,0.0032279486722880456,0.02,0.09,0.67,0.7106640625,0.67,0.7025
A,gaussian_noise,T013-S3,0.08491297583597956,0.18359313350091344,0.09771599458660321,0.08132898332903249,0.07,0.0,0.04641310230774585,0.01298121380066765,0.00338408628169239,0.01,0.08,0.69,0.7080078125,0.69,0.6998046875
A,gaussian_blur,T013-S0,0.07454268243456955,0.20213800820810304,0.09503800425867405,0.07443882484740319,0.05,0.00032169180939029695,0.06188322689908452,0.018999883230678905,0.006884840287287764,0.06,0.11,0.555,0.629140625,0.555,0.6284765625
A,gaussian_blur,T013-S1,0.07446011067046918,0.20185023105889896,0.09533423445182984,0.07461517504404246,0.05,0.0,0.06192983259754956,0.018358503483926286,0.006922630573215357,0.06,0.11,0.565,0.636171875,0.56,0.627421875
A,gaussian_blur,T013-S2,0.07447340529924738,0.20207402461484886,0.0952793479540108,0.07451490911020456,0.05,8.101851851851852e-06,0.0618582028252338,0.01861224510247813,0.006920570644372487,0.06,0.11,0.555,0.6323046875,0.555,0.631796875
A,gaussian_blur,T013-S3,0.07279641352165844,0.2018897466053886,0.09523127696250394,0.074415514046994,0.05,0.0,0.061854424706240245,0.017871097174483982,0.006645332064315022,0.06,0.11,0.57,0.6287109375,0.565,0.6251953125
B,clean,T013-S0,0.06908266306183965,0.19015697722892894,0.08887547750183263,0.07700961454482214,0.08,0.0,0.04524294546951238,0.013651751181850923,0.003989516846670249,0.02,0.1,0.63,0.683671875,0.63,0.682734375
