bank,context,cases,agreements,agreement_fraction,max_mean_utility_difference,max_vote_frequency_difference
A,clean,800,782,0.9775,0.01696336475921095,0.09375
A,brightness_dark,800,784,0.98,0.018056516786508197,0.078125
A,contrast_low,800,783,0.97875,0.01529578000539123,0.06640625
A,gaussian_noise,800,790,0.9875,0.015683789009502326,0.1171875
A,gaussian_blur,800,773,0.96625,0.021159100845524026,0.1015625
B,clean,800,788,0.985,0.016193952879748418,0.078125
B,brightness_dark,800,778,0.9725,0.02955794683885855,0.09375
B,contrast_low,800,787,0.98375,0.020850892487985648,0.09375
B,gaussian_noise,800,793,0.99125,0.019533539478861967,0.0859375
B,gaussian_blur,800,778,0.9725,0.013252256179474686,0.09375
